grain_size,T1-A_interpolated,T1-B_interpolated,T1-C_interpolated,T1-D_interpolated,T2-A_interpolated,T2-B_interpolated,T3-C_interpolated,T3-D_interpolated,T5-A_interpolated,T5-B_interpolated,T5-C_interpolated,T5-D_interpolated,T6-A_interpolated,T6-B_interpolated,T6-C_interpolated,T6-D_interpolated,T7-A_interpolated,T7-B_interpolated,T7-C_interpolated,T7-D_interpolated,T8-A_interpolated,T8-C_interpolated,T8-D_interpolated,T1-A_interpolated_kde,T1-B_interpolated_kde,T1-C_interpolated_kde,T1-D_interpolated_kde,T2-A_interpolated_kde,T2-B_interpolated_kde,T3-C_interpolated_kde,T3-D_interpolated_kde,T5-A_interpolated_kde,T5-B_interpolated_kde,T5-C_interpolated_kde,T5-D_interpolated_kde,T6-A_interpolated_kde,T6-B_interpolated_kde,T6-C_interpolated_kde,T6-D_interpolated_kde,T7-A_interpolated_kde,T7-B_interpolated_kde,T7-C_interpolated_kde,T7-D_interpolated_kde,T8-A_interpolated_kde,T8-C_interpolated_kde,T8-D_interpolated_kde
0.37,1.41E-05,2.85E-05,1.50E-05,2.58E-05,1.16E-05,1.09E-05,2.68E-05,9.59E-06,2.71E-05,1.77E-05,2.10E-05,4.84E-05,1.46E-05,1.11E-05,3.27E-05,1.23E-05,5.57E-06,1.34E-05,3.03E-05,2.09E-05,3.21E-05,1.61E-05,1.56E-05,0,0,0,0,0,0,0,0,8.11E-293,0,0,1.08E-209,0,0,8.3706099874e-314,0,0,0,3.28E-200,0,1.98E-221,0,0
0.407311485,1.45E-05,2.94E-05,1.54E-05,2.66E-05,1.20E-05,1.12E-05,2.77E-05,9.88E-06,2.80E-05,1.82E-05,2.15E-05,5.00E-05,1.51E-05,1.15E-05,3.36E-05,1.28E-05,5.69E-06,1.38E-05,3.10E-05,2.14E-05,3.31E-05,1.65E-05,1.60E-05,0,0,0,0,0,0,0,0,6.43E-281,0,0,8.57E-200,0,0,1.73E-300,0,0,0,3.34E-191,0,1.14E-211,0,0
0.448385529,1.50E-05,3.06E-05,1.59E-05,2.76E-05,1.25E-05,1.16E-05,2.89E-05,1.02E-05,2.92E-05,1.89E-05,2.23E-05,5.21E-05,1.57E-05,1.20E-05,3.50E-05,1.33E-05,5.83E-06,1.43E-05,3.19E-05,2.20E-05,3.43E-05,1.70E-05,1.66E-05,0,0,0,0,0,0,0,0,2.86E-269,0,0,3.88E-190,0,0,1.82E-287,0,0,0,2.08E-182,0,3.90E-202,0,0
0.493601556,1.57E-05,3.21E-05,1.65E-05,2.90E-05,1.31E-05,1.22E-05,3.05E-05,1.07E-05,3.07E-05,1.98E-05,2.33E-05,5.49E-05,1.66E-05,1.26E-05,3.68E-05,1.39E-05,6.01E-06,1.50E-05,3.31E-05,2.29E-05,3.59E-05,1.77E-05,1.73E-05,0,0,0,0,0,0,0,0,7.16E-258,0,0,1.00E-180,0,0,9.76E-275,0,0,0,8.00E-174,0,7.97E-193,0,0
0.543377251,1.65E-05,3.42E-05,1.74E-05,3.09E-05,1.40E-05,1.28E-05,3.27E-05,1.14E-05,3.26E-05,2.10E-05,2.46E-05,5.86E-05,1.77E-05,1.35E-05,3.90E-05,1.48E-05,6.24E-06,1.58E-05,3.46E-05,2.39E-05,3.81E-05,1.85E-05,1.83E-05,0,0,0,0,0,0,8.46092433e-316,0,1.01E-246,0,0,1.47E-171,0,0,2.67E-262,0,0,0,1.88E-165,0,9.73E-184,0,0
0.598172419,1.76E-05,3.69E-05,1.85E-05,3.33E-05,1.52E-05,1.37E-05,3.55E-05,1.21E-05,3.51E-05,2.26E-05,2.63E-05,6.32E-05,1.92E-05,1.46E-05,4.18E-05,1.60E-05,6.55E-06,1.69E-05,3.64E-05,2.53E-05,4.09E-05,1.96E-05,1.95E-05,0,5.52834986e-315,0,0,0,0,1.79E-301,0,7.94E-236,0,0,1.23E-162,0,0,3.72E-250,0,0,0,2.72E-157,0,7.08E-175,0,0
0.658493234,1.89E-05,3.99E-05,1.98E-05,3.60E-05,1.65E-05,1.48E-05,3.89E-05,1.31E-05,3.81E-05,2.44E-05,2.83E-05,6.86E-05,2.09E-05,1.58E-05,4.53E-05,1.74E-05,6.90E-06,1.81E-05,3.86E-05,2.68E-05,4.43E-05,2.09E-05,2.10E-05,0,5.25E-300,0,4.705891246e-315,0,0,1.75E-287,0,3.52E-225,0,0,5.85E-154,0,0,2.64E-238,0,0,0,2.41E-149,1.81340807e-316,3.07E-166,0,0
0.724896911,2.05E-05,4.35E-05,2.13E-05,3.93E-05,1.80E-05,1.61E-05,4.29E-05,1.42E-05,4.18E-05,2.65E-05,3.07E-05,7.49E-05,2.29E-05,1.73E-05,4.95E-05,1.90E-05,7.32E-06,1.96E-05,4.11E-05,2.87E-05,4.82E-05,2.24E-05,2.27E-05,0,2.13E-285,0,4.51E-300,0,0,7.84E-274,0,8.76E-215,0,0,1.59E-145,0,0,9.58E-227,0,0,0,1.31E-141,1.96E-302,7.96E-158,0,0
0.797996857,2.23E-05,4.79E-05,2.31E-05,4.34E-05,1.98E-05,1.77E-05,4.76E-05,1.55E-05,4.62E-05,2.91E-05,3.36E-05,8.23E-05,2.51E-05,1.91E-05,5.44E-05,2.09E-05,7.87E-06,2.13E-05,4.44E-05,3.10E-05,5.29E-05,2.43E-05,2.49E-05,0,3.69E-271,0,1.84E-285,0,0,1.62E-260,0,1.23E-204,0,0,2.45E-137,0,0,1.77E-215,0,0,0,4.39E-134,1.01E-288,1.23E-149,0,0
0.878468338,2.46E-05,5.31E-05,2.55E-05,4.82E-05,2.20E-05,1.97E-05,5.30E-05,1.71E-05,5.14E-05,3.22E-05,3.72E-05,9.08E-05,2.77E-05,2.11E-05,6.02E-05,2.31E-05,8.60E-06,2.34E-05,4.86E-05,3.40E-05,5.85E-05,2.67E-05,2.75E-05,0,2.72E-257,0,3.21E-271,0,0,1.54E-247,0,9.63E-195,0,0,2.16E-129,0,0,1.67E-204,0,0,0,9.02E-127,2.47E-275,1.13E-141,0,0
