Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.000827383,0.00088139,0.000859041,0.001267088,0.000833078,0.000637644,0.001506784,0.000826911,0.000867358,0.000877637,0.001602476,0.001151219,0.000972511,0.001350564,0.000653649,0.0008135,0.00095243,0.001907364,0.001130412,0.00230086,0.00131004,0.000891511
0.44,0.000827383,0.00091529,0.000896391,0.001314017,0.000833078,0.00066315,0.001569567,0.000855425,0.000931607,0.000953954,0.001721177,0.001243316,0.001016716,0.001411953,0.000682069,0.000890977,0.001020461,0.001980724,0.001170784,0.002519989,0.001414843,0.000941039
0.52,0.000866782,0.000949189,0.00097109,0.001360946,0.000874732,0.000714161,0.001695132,0.000912453,0.000995856,0.001068428,0.001839879,0.001335414,0.001105126,0.001534732,0.000738908,0.000968453,0.001088492,0.002200804,0.001291899,0.002848683,0.001519647,0.000990567
0.61,0.00094558,0.000983089,0.00104579,0.001454805,0.00095804,0.000790678,0.00188348,0.000997995,0.001124354,0.001182903,0.002017932,0.001565658,0.001193536,0.001657511,0.000795747,0.001084667,0.001156522,0.002420884,0.001453387,0.003286942,0.001729253,0.001089624
0.72,0.001024379,0.001016989,0.001157839,0.001595592,0.001041347,0.000867196,0.002134611,0.001112052,0.001284976,0.001373694,0.002314687,0.001795901,0.001326151,0.001841678,0.000909425,0.00123962,0.001292584,0.002714325,0.001655246,0.003834765,0.001991261,0.001188681
0.85,0.001142576,0.001152587,0.001344587,0.001830238,0.001166309,0.000994724,0.002448525,0.001254623,0.001509846,0.001602643,0.002670793,0.002118243,0.001502972,0.002087235,0.001023103,0.00143331,0.001496676,0.003154486,0.001897477,0.004601718,0.00230567,0.001386794
1.01,0.00141837,0.001423784,0.001680733,0.002205671,0.001457886,0.001224276,0.003013569,0.00151125,0.00183109,0.001984224,0.003264302,0.00257873,0.001856612,0.00257835,0.001250459,0.001743215,0.001836829,0.003888087,0.002341567,0.005697366,0.002829687,0.001683965
1.19,0.00193056,0.002000077,0.002353026,0.003097326,0.001999387,0.001708885,0.004206439,0.002081534,0.002537827,0.002709229,0.004510672,0.003591802,0.002519688,0.003499188,0.001733591,0.002440501,0.002449105,0.005355289,0.003229748,0.007779095,0.003930121,0.002327834
1.4,0.002757942,0.002881467,0.003473516,0.004505201,0.002832464,0.002448552,0.00608992,0.002965473,0.003694305,0.00393029,0.006528604,0.005203509,0.003624814,0.005033921,0.002472499,0.003525168,0.003537597,0.007849534,0.004642762,0.011285167,0.005711775,0.003318401
1.65,0.00334893,0.003559459,0.004369907,0.005584573,0.003457273,0.003035185,0.007533921,0.003621298,0.004593788,0.004884244,0.008071729,0.006492874,0.004420505,0.006077538,0.003040889,0.004377407,0.004285935,0.009683537,0.005773174,0.014024285,0.007074217,0.004011798
