grain_size,T1-A_interpolated,T1-B_interpolated,T1-C_interpolated,T1-D_interpolated,T2-A_interpolated,T2-B_interpolated,T3-C_interpolated,T3-D_interpolated,T5-A_interpolated,T5-B_interpolated,T5-C_interpolated,T5-D_interpolated,T6-A_interpolated,T6-B_interpolated,T6-C_interpolated,T6-D_interpolated,T7-A_interpolated,T7-B_interpolated,T7-C_interpolated,T7-D_interpolated,T8-A_interpolated,T8-C_interpolated,T8-D_interpolated,T1-A_interpolated_kde,T1-B_interpolated_kde,T1-C_interpolated_kde,T1-D_interpolated_kde,T2-A_interpolated_kde,T2-B_interpolated_kde,T3-C_interpolated_kde,T3-D_interpolated_kde,T5-A_interpolated_kde,T5-B_interpolated_kde,T5-C_interpolated_kde,T5-D_interpolated_kde,T6-A_interpolated_kde,T6-B_interpolated_kde,T6-C_interpolated_kde,T6-D_interpolated_kde,T7-A_interpolated_kde,T7-B_interpolated_kde,T7-C_interpolated_kde,T7-D_interpolated_kde,T8-A_interpolated_kde,T8-C_interpolated_kde,T8-D_interpolated_kde
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97E-19,1.29E-12,1.45E-17,1.32E-13,4.00E-18,1.97E-19,2.59E-15,4.36E-21,9.65E-18,1.94E-19,1.67E-18,3.42E-14,1.18E-24,1.06E-24,2.50E-16,1.57E-20,2.07E-25,8.32E-20,5.13E-17,1.90E-17,7.75E-17,3.42E-15,1.11E-16
104.0306503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91E-18,6.09E-12,1.55E-16,7.33E-13,4.66E-17,2.91E-18,1.86E-14,8.70E-20,1.06E-16,2.87E-18,2.09E-17,2.12E-13,3.91E-23,3.54E-23,2.14E-15,2.83E-19,7.81E-24,1.32E-18,4.97E-16,1.98E-16,7.27E-16,2.40E-14,1.01E-15
108.223762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86E-17,2.71E-11,1.50E-15,3.80E-12,4.93E-16,3.86E-17,1.23E-13,1.54E-18,1.07E-15,3.81E-17,2.36E-16,1.22E-12,1.13E-21,1.03E-21,1.68E-14,4.54E-18,2.56E-22,1.86E-17,4.40E-15,1.89E-15,6.24E-15,1.56E-13,8.45E-15
112.5858833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59E-16,1.13E-10,1.33E-14,1.84E-11,4.72E-15,4.59E-16,7.57E-13,2.40E-17,9.70E-15,4.54E-16,2.41E-15,6.50E-12,2.85E-20,2.62E-20,1.22E-13,6.48E-17,7.30E-21,2.36E-16,3.55E-14,1.64E-14,4.90E-14,9.40E-13,6.47E-14
117.1238265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-15,4.46E-10,1.07E-13,8.28E-11,4.10E-14,4.91E-15,4.30E-12,3.33E-16,8.03E-14,4.85E-15,2.22E-14,3.22E-11,6.27E-19,5.81E-19,8.09E-13,8.22E-16,1.80E-19,2.67E-15,2.63E-13,1.30E-13,3.52E-13,5.25E-12,4.54E-13
121.8446784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70E-14,1.65E-09,7.85E-13,3.48E-10,3.23E-13,4.70E-14,2.27E-11,4.09E-15,6.05E-13,4.65E-14,1.85E-13,1.48E-10,1.20E-17,1.12E-17,4.94E-12,9.29E-15,3.87E-18,2.71E-14,1.78E-12,9.34E-13,2.32E-12,2.72E-11,2.92E-12
126.7558112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05E-13,5.73E-09,5.24E-12,1.37E-09,2.31E-12,4.05E-13,1.11E-10,4.46E-14,4.14E-12,4.01E-13,1.39E-12,6.33E-10,2.02E-16,1.89E-16,2.77E-11,9.34E-14,7.20E-17,2.46E-13,1.10E-11,6.14E-12,1.40E-11,1.30E-10,1.73E-11
131.8648947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13E-12,1.87E-08,3.19E-11,5.02E-09,1.49E-11,3.13E-12,5.01E-10,4.31E-13,2.58E-11,3.10E-12,9.50E-12,2.51E-09,2.95E-15,2.79E-15,1.43E-10,8.37E-13,1.16E-15,2.00E-12,6.21E-11,3.68E-11,7.73E-11,5.81E-10,9.34E-11
137.1799074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18E-11,5.77E-08,1.77E-10,1.72E-08,8.78E-11,2.18E-11,2.10E-09,3.69E-12,1.46E-10,2.16E-11,5.86E-11,9.29E-09,3.77E-14,3.58E-14,6.79E-10,6.68E-12,1.64E-14,1.46E-11,3.22E-10,2.01E-10,3.92E-10,2.40E-09,4.64E-10
142.7091497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36E-10,1.67E-07,8.95E-10,5.52E-08,4.69E-10,1.36E-10,8.19E-09,2.80E-11,7.56E-10,1.35E-10,3.27E-10,3.19E-08,4.20E-13,4.01E-13,2.97E-09,4.74E-11,2.00E-13,9.54E-11,1.52E-09,1.00E-09,1.82E-09,9.20E-09,2.11E-09
