Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.00013137,0.00017194,0.000117214,0.000161408,9.86E-05,1.05E-04,0.000173966,0.000118282,0.000211947,0.000171154,0.000169874,0.000294428,0.000185386,0.000143387,0.000219317,0.00013841,8.28E-05,0.000134927,0.000218722,0.000162121,0.000224152,1.07E-04,0.000113901
0.44,0.000138618,0.000182686,0.000123419,0.000171545,1.05E-04,0.000110788,0.000185794,0.000125303,0.000225788,0.000181672,0.000179215,0.000313848,0.000197859,0.000152986,0.000232666,0.000147482,8.63E-05,0.00014266,0.000228924,0.000169657,0.000237626,0.000112482,0.000119959
0.52,0.000149943,0.0002,0.000132809,0.00018753,0.000115595,0.000120295,0.000205507,0.000136105,0.000247415,0.000197926,0.000194438,0.00034517,0.000218268,0.000168285,0.000254598,0.000161479,9.11E-05,0.00015466,0.000244228,0.00018153,0.000258449,0.000120543,0.000129956
0.61,0.000166478,0.000225671,0.000146727,0.000211702,0.000131089,0.000133458,0.000235076,0.000151948,0.000278559,0.000222149,0.00021658,0.000390901,0.000247748,0.000190783,0.000285112,0.000182474,9.84E-05,0.000171992,0.000265909,0.000198428,0.000290295,0.000132185,0.000144496
0.72,0.000189354,0.000260298,0.000165508,0.000244842,0.00015224,0.000153934,0.000276473,0.000173912,0.000324409,0.000255615,0.000247718,0.000452918,0.000288567,0.00022138,0.000329929,0.000211503,0.000108382,0.000195725,0.000295561,0.00022149,0.000334391,0.000148484,0.000164792
0.85,0.000221064,0.000308656,0.000192338,0.000290847,0.000180524,0.000182088,0.000331669,0.000204157,0.000386695,0.000301192,0.000290965,0.00053373,0.000339591,0.000262176,0.000390002,0.000250383,0.00012389,0.000227723,0.00033956,0.000255056,0.00039441,0.000171769,0.000193571
1.01,0.000274745,0.000384477,0.000238453,0.000363754,0.000225532,0.000228889,0.000413477,0.000253306,0.000483585,0.000375136,0.000363619,0.000659645,0.000417827,0.000325771,0.000485358,0.000311294,0.000153338,0.000280521,0.00041927,0.000315109,0.000491175,0.000212964,0.00024113
1.19,0.000383918,0.000536118,0.000332526,0.000505668,0.000315057,0.00031847,0.000569209,0.000351965,0.000669579,0.000521111,0.000506853,0.000909595,0.000575434,0.00045176,0.000672254,0.000432079,0.000213628,0.000387983,0.00058347,0.000437271,0.000680418,0.000296073,0.000335946
1.4,0.000561268,0.000786864,0.000482775,0.000736085,0.000463116,0.000459607,0.000824491,0.000510394,0.000969765,0.000757921,0.000736926,0.001321795,0.000833954,0.000657541,0.000970715,0.000630104,0.000307024,0.000563175,0.00084109,0.000627935,0.000986025,0.000427004,0.000486501
1.65,0.000703057,0.000988655,0.000600156,0.000920106,0.000583875,0.000571492,0.001026055,0.000633896,0.001212855,0.000944055,0.000918563,0.001641907,0.001029545,0.000818027,0.00119766,0.000786658,0.000377595,0.000697836,0.001034623,0.00077179,0.001225488,0.000526232,0.000604946
1.95,0.000820158,0.001154027,0.000695907,0.001072157,0.000685205,0.000661073,0.00118425,0.000732194,0.00140231,0.001089711,0.00106491,0.001893738,0.001179781,0.000944615,0.00137216,0.000907702,0.000433354,0.000804231,0.00118894,0.00088596,0.001414731,0.000604504,0.000700671
2.3,0.000929558,0.001318206,0.00078629,0.001223039,0.00078924,0.000748826,0.001340968,0.000823291,0.001586574,0.00122708,0.001207452,0.002126148,0.001322648,0.001067304,0.001539031,0.001022008,0.00048162,0.000907427,0.001332416,0.000988713,0.001605199,0.000674895,0.000792761
2.72,0.0010077,0.001434624,0.000854204,0.001333374,0.000866959,0.0008055,0.001444953,0.000890083,0.001711147,0.001326521,0.001310898,0.002295288,0.001422428,0.001155796,0.001653458,0.00110806,0.000519606,0.000979157,0.001438907,0.00106749,0.001740548,0.000726479,0.000858496
3.2,0.001068403,0.001530146,0.000910045,0.001424994,0.000933856,0.000854861,0.001529719,0.000943913,0.001812362,0.001407158,0.001400852,0.00241995,0.001493861,0.00122299,0.001743092,0.001180376,0.000551145,0.001036221,0.00153137,0.001133252,0.001855686,0.000769646,0.0009106
3.78,0.001136126,0.001628056,0.000977623,0.001517395,0.001002967,0.000901663,0.001613005,0.001007825,0.001909252,0.001504687,0.001502222,0.002573428,0.001570396,0.001290484,0.001825097,0.001264355,0.000592442,0.001095152,0.001645832,0.001217738,0.001965925,0.000823737,0.000965732
4.46,0.001225367,0.001751638,0.001068845,0.001634357,0.001090278,0.000967112,0.001721426,0.001095141,0.002037285,0.001639188,0.00163819,0.002776396,0.001668475,0.001375377,0.001933802,0.001376587,0.000650815,0.001174348,0.001812902,0.001337388,0.002114135,0.000900218,0.001039344
5.27,0.001313023,0.001874623,0.001165601,0.00175054,0.001178081,0.001033292,0.001827383,0.001185697,0.002165318,0.001778469,0.001779694,0.002985628,0.001766554,0.001459369,0.002042506,0.001487782,0.000715635,0.001259145,0.002010581,0.001473935,0.002267857,0.000983326,0.001115379
6.21,0.001405888,0.002008354,0.001268227,0.001878419,0.001268835,0.001108248,0.001941717,0.001281115,0.002306328,0.001920938,0.001926733,0.003216159,0.001878806,0.001553561,0.002166468,0.001595089,0.000788645,0.00135914,0.002249708,0.00163697,0.002445464,0.001075569,0.001201713
7.33,0.001499206,0.002144473,0.001371355,0.002008248,0.00135467,0.001190516,0.002059995,0.001377433,0.002451663,0.002061494,0.002075156,0.00345546,0.002000129,0.001651952,0.00230378,0.001702136,0.000871064,0.001468202,0.002521356,0.001822382,0.00263532,0.001177126,0.001295923
8.65,0.001597961,0.00228895,0.001479849,0.002145484,0.001445916,0.001282291,0.002190099,0.001479691,0.002608244,0.002212887,0.002234305,0.003711049,0.002134492,0.001757842,0.002448719,0.001824477,0.000967423,0.00158633,0.002827758,0.002032912,0.002837424,0.001294444,0.001402554
10.21,0.001726613,0.002488353,0.00160746,0.002334573,0.001566921,0.001411362,0.002378357,0.001604814,0.002833168,0.002389778,0.002420785,0.004030535,0.002323846,0.00190063,0.00264229,0.001960036,0.00108138,0.001746323,0.003198564,0.002277464,0.003103835,0.001440779,0.001547353
12.05,0.00188924,0.002726561,0.001758715,0.0025646,0.001702437,0.001565295,0.002611955,0.001758382,0.003101345,0.002588979,0.002643939,0.004414545,0.002552319,0.002067115,0.002882585,0.002128513,0.001220779,0.001935381,0.003633775,0.002559693,0.003408216,0.001623116,0.001716992
14.22,0.00214881,0.003085964,0.00200354,0.002914708,0.001907064,0.001787603,0.002965801,0.001993326,0.003514858,0.002892403,0.002998563,0.004967694,0.002889643,0.002318792,0.003256377,0.002409481,0.001435626,0.002215902,0.00427623,0.002983492,0.003857133,0.001905217,0.001955093
16.78,0.00248403,0.003562381,0.002330197,0.003379439,0.002171456,0.002068047,0.003435953,0.002286419,0.004073706,0.003271363,0.003459055,0.005617315,0.003316541,0.002657462,0.003786551,0.002762764,0.001706929,0.002590819,0.005093088,0.003509359,0.004467733,0.002270606,0.002253477
19.81,0.002904189,0.004146857,0.002754616,0.003957624,0.002491677,0.002394196,0.004014033,0.002654947,0.004765777,0.003756458,0.00407316,0.006338978,0.003814872,0.003079824,0.004488365,0.003214801,0.002056818,0.003061998,0.006127074,0.004172916,0.005293299,0.002725552,0.002628198
27.58,0.003965796,0.005647152,0.003912336,0.005438371,0.003270588,0.003145947,0.005513196,0.003548991,0.006522773,0.005133338,0.005770858,0.007816131,0.004933426,0.004142329,0.0063907,0.004230328,0.002913768,0.004275812,0.008693705,0.005923599,0.007805519,0.003803808,0.003755088
32.55,0.00456942,0.006456703,0.004618136,0.00622085,0.003613682,0.003542298,0.006343108,0.004044442,0.007379212,0.005866399,0.006671431,0.008514615,0.005429489,0.004615386,0.007328994,0.004694288,0.003355486,0.004860853,0.009824297,0.006833535,0.009088576,0.00436228,0.004446671
38.41,0.005172591,0.007215507,0.005309851,0.006937441,0.003882501,0.003948887,0.007165627,0.004507487,0.008068688,0.006418744,0.00741839,0.009087184,0.005815002,0.004932458,0.008046064,0.005010507,0.0036822,0.005360564,0.010477912,0.007512161,0.0100893,0.004812926,0.005105841
45.32,0.005603168,0.007673417,0.005859533,0.007356167,0.004056631,0.004226772,0.007706253,0.004848829,0.008457113,0.006740334,0.0080235,0.009371589,0.005960136,0.005085744,0.008378854,0.005138031,0.003824037,0.005717082,0.010764545,0.007839601,0.010823612,0.005048996,0.005500555
