grain_size,T1-A_interpolated,T1-B_interpolated,T1-C_interpolated,T1-D_interpolated,T2-A_interpolated,T2-B_interpolated,T3-C_interpolated,T3-D_interpolated,T5-A_interpolated,T5-B_interpolated,T5-C_interpolated,T5-D_interpolated,T6-B_interpolated,T6-C_interpolated,T6-D_interpolated,T7-A_interpolated,T7-B_interpolated,T7-C_interpolated,T7-D_interpolated,T8-A_interpolated,T8-C_interpolated,T8-D_interpolated,T1-A_interpolated_kde,T1-B_interpolated_kde,T1-C_interpolated_kde,T1-D_interpolated_kde,T2-A_interpolated_kde,T2-B_interpolated_kde,T3-C_interpolated_kde,T3-D_interpolated_kde,T5-A_interpolated_kde,T5-B_interpolated_kde,T5-C_interpolated_kde,T5-D_interpolated_kde,T6-B_interpolated_kde,T6-C_interpolated_kde,T6-D_interpolated_kde,T7-A_interpolated_kde,T7-B_interpolated_kde,T7-C_interpolated_kde,T7-D_interpolated_kde,T8-A_interpolated_kde,T8-C_interpolated_kde,T8-D_interpolated_kde
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36E-09,4.43E-08,3.65E-08,1.52E-08,1.11E-08,1.03E-18,4.99E-08,4.43E-10,2.41E-14,9.45E-12,6.31E-14,6.54E-13,1.34E-08,4.24E-08,7.13E-16,6.89E-11,5.42E-08,2.00E-07,6.91E-08,4.56E-07,2.32E-08,3.43E-08
104.0306503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E-08,1.01E-07,8.41E-08,3.79E-08,2.75E-08,1.35E-17,1.12E-07,1.38E-09,1.56E-13,3.84E-11,3.80E-13,3.27E-12,3.28E-08,9.68E-08,6.03E-15,2.44E-10,1.22E-07,4.15E-07,1.52E-07,8.99E-07,5.57E-08,7.94E-08
108.223762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28E-08,2.21E-07,1.88E-07,9.13E-08,6.59E-08,1.60E-16,2.46E-07,4.12E-09,9.36E-13,1.47E-10,2.13E-12,1.53E-11,7.76E-08,2.14E-07,4.68E-14,8.24E-10,2.66E-07,8.38E-07,3.27E-07,1.73E-06,1.29E-07,1.78E-07
112.5858833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26E-07,4.73E-07,4.06E-07,2.12E-07,1.53E-07,1.71E-15,5.22E-07,1.17E-08,5.21E-12,5.35E-10,1.11E-11,6.73E-11,1.77E-07,4.59E-07,3.32E-13,2.65E-09,5.63E-07,1.64E-06,6.79E-07,3.24E-06,2.90E-07,3.87E-07
117.1238265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88E-07,9.80E-07,8.50E-07,4.75E-07,3.42E-07,1.65E-14,1.08E-06,3.20E-08,2.68E-11,1.84E-09,5.35E-11,2.77E-10,3.92E-07,9.54E-07,2.15E-12,8.09E-09,1.16E-06,3.14E-06,1.37E-06,5.94E-06,6.28E-07,8.15E-07
121.8446784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38E-07,1.97E-06,1.73E-06,1.03E-06,7.40E-07,1.44E-13,2.15E-06,8.35E-08,1.28E-10,6.00E-09,2.41E-10,1.07E-09,8.39E-07,1.92E-06,1.28E-11,2.36E-08,2.30E-06,5.84E-06,2.69E-06,1.06E-05,1.32E-06,1.66E-06
126.7558112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36E-06,3.84E-06,3.40E-06,2.14E-06,1.55E-06,1.13E-12,4.16E-06,2.09E-07,5.68E-10,1.85E-08,1.01E-09,3.88E-09,1.74E-06,3.76E-06,6.98E-11,6.54E-08,4.45E-06,1.06E-05,5.12E-06,1.84E-05,2.67E-06,3.29E-06
131.8648947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81E-06,7.27E-06,6.50E-06,4.32E-06,3.14E-06,8.02E-12,7.84E-06,4.99E-07,2.34E-09,5.41E-08,3.95E-09,1.32E-08,3.48E-06,7.13E-06,3.49E-10,1.73E-07,8.35E-06,1.86E-05,9.47E-06,3.13E-05,5.23E-06,6.30E-06
137.1799074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59E-06,1.34E-05,1.21E-05,8.41E-06,6.15E-06,5.15E-11,1.43E-05,1.14E-06,8.91E-09,1.50E-07,1.43E-08,4.22E-08,6.74E-06,1.31E-05,1.60E-09,4.35E-07,1.52E-05,3.20E-05,1.70E-05,5.19E-05,9.93E-06,1.17E-05
142.7091497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-05,2.38E-05,2.17E-05,1.58E-05,1.17E-05,2.99E-10,2.54E-05,2.51E-06,3.16E-08,3.93E-07,4.86E-08,1.26E-07,1.27E-05,2.34E-05,6.70E-09,1.04E-06,2.69E-05,5.36E-05,2.98E-05,8.41E-05,1.83E-05,2.11E-05
