grain_size,T1-A_interpolated,T1-B_interpolated,T1-C_interpolated,T1-D_interpolated,T2-A_interpolated,T2-B_interpolated,T3-C_interpolated,T3-D_interpolated,T5-A_interpolated,T5-B_interpolated,T5-C_interpolated,T5-D_interpolated,T6-B_interpolated,T6-C_interpolated,T6-D_interpolated,T7-A_interpolated,T7-B_interpolated,T7-C_interpolated,T7-D_interpolated,T8-A_interpolated,T8-C_interpolated,T8-D_interpolated,T1-A_interpolated_kde,T1-B_interpolated_kde,T1-C_interpolated_kde,T1-D_interpolated_kde,T2-A_interpolated_kde,T2-B_interpolated_kde,T3-C_interpolated_kde,T3-D_interpolated_kde,T5-A_interpolated_kde,T5-B_interpolated_kde,T5-C_interpolated_kde,T5-D_interpolated_kde,T6-B_interpolated_kde,T6-C_interpolated_kde,T6-D_interpolated_kde,T7-A_interpolated_kde,T7-B_interpolated_kde,T7-C_interpolated_kde,T7-D_interpolated_kde,T8-A_interpolated_kde,T8-C_interpolated_kde,T8-D_interpolated_kde
209.9168227,0.001398159,0.001703844,0.000481176,0.00081875,0.000602649,0.000278563,0.000253423,0.000666914,0.000178484,0.000611979,2.59E-05,0,3.22E-05,0.000867617,0.000285569,0.000411982,0.002508399,0.000173091,0.000363842,0,0.000329208,0.00156852,0.003552551,0.0038794,0.003282485,0.005181295,0.00221339,0.000504252,0.005279016,0.002149252,0.001771851,0.003115923,0.004122915,0.001868178,0.001950502,0.005037872,0.000439637,0.002383783,0.005232833,0.006420421,0.004081868,0.007618853,0.00497909,0.003304406
231.0852238,0.000314971,0.000425264,5.76E-05,0.000143141,8.96E-05,4.59E-05,2.92E-05,0.000136526,9.04E-06,0.000132215,0,0,0,0.000180506,5.23E-05,6.59E-05,0.000682622,3.80E-06,3.49E-05,0,3.37E-05,0.000450358,0.004857983,0.005317696,0.005091938,0.006832744,0.003478484,0.000948765,0.007891719,0.003436851,0.002986475,0.004719445,0.00596816,0.0032791,0.003546808,0.007014858,0.000958662,0.00389711,0.006852243,0.008820662,0.006203525,0.010530413,0.007165401,0.004815932
254.3882856,0.001051556,0.001493671,0.000167505,0.000427776,0.000278331,0.000146273,0.000124989,0.00048155,2.41E-05,0.000470095,0,0,0,0.000613191,0.000192626,0.000232692,0.002435831,1.90E-05,0.000103372,0,0.000105362,0.001698173,0.007202286,0.007868293,0.007996253,0.009322879,0.005806576,0.00178886,0.011414925,0.005702005,0.004918903,0.007201175,0.008425539,0.005485904,0.006202724,0.009913955,0.001940573,0.006364851,0.009496187,0.011840498,0.009353331,0.014136269,0.010230447,0.007407351
280.0412713,0.000620538,0.000897009,0.000130285,0.000207935,0.000202863,9.69E-05,0.000245391,0.000364641,5.93E-05,0.000377545,7.71E-06,0,0,0.000425813,0.00018615,0.000215369,0.00134115,0.000105147,0.000120316,0,0.000128055,0.001109231,0.010919724,0.011885557,0.012275142,0.012738932,0.009633932,0.003233395,0.015934604,0.009333791,0.0077909,0.010780558,0.011556168,0.008748901,0.01032118,0.013849757,0.003674898,0.010085442,0.01341561,0.015468669,0.013709584,0.018417991,0.014263755,0.011480428
308.2811517,0.007668449,0.008721538,0.007259911,0.005769268,0.007586977,0.003101773,0.007274122,0.007205615,0.00448481,0.006141787,0.004144999,0.004996661,0.007238816,0.006926098,0.004332424,0.006468549,0.008918191,0.005992242,0.006999638,0.006931684,0.006340773,0.009158741,0.016299044,0.01766538,0.018132705,0.01709222,0.015397817,0.005556803,0.021443625,0.014717657,0.011803584,0.015622801,0.015375495,0.013300064,0.016285801,0.018849089,0.006563026,0.015318201,0.018780646,0.019629872,0.019357593,0.023281692,0.019270558,0.017407509
339.3687938,0.010125316,0.011504507,0.009366943,0.007378864,0.009829303,0.004040857,0.009794033,0.009523611,0.005847085,0.008255895,0.00541576,0.0065311,0.009429232,0.009147728,0.005819326,0.008523909,0.011607591,0.007853341,0.009082774,0.00901517,0.008246458,0.012332463,0.023473865,0.025325958,0.025599594,0.022282541,0.023391184,0.009055602,0.027804819,0.022114316,0.017077075,0.021774104,0.019834643,0.01927243,0.024324948,0.024806311,0.011068149,0.022191221,0.025594758,0.024174395,0.026224483,0.028547517,0.025134833,0.025401982
373.5913713,0.008293025,0.009395642,0.007464352,0.005873055,0.00785711,0.003285279,0.007892412,0.00774389,0.004723217,0.006775767,0.004368398,0.005269094,0.007530105,0.007388172,0.004799407,0.006905776,0.009570802,0.006278692,0.007261436,0.007181227,0.006581821,0.010363494,0.032299096,0.034675248,0.034436624,0.028073921,0.033569691,0.013951784,0.034728545,0.031502017,0.023584789,0.029098928,0.024807225,0.02662375,0.034346172,0.031451661,0.017557462,0.030599556,0.033614259,0.028877631,0.034026326,0.033950838,0.031595031,0.035355907
411.265017,0.023363181,0.025656067,0.024097598,0.018589413,0.024850262,0.009913655,0.023554157,0.022843734,0.01482731,0.01912575,0.01394903,0.016891834,0.024666598,0.021579478,0.013763414,0.020974171,0.024404081,0.01992723,0.023299477,0.023729775,0.020946924,0.026701101,0.042258545,0.045114792,0.044077073,0.034092287,0.045381828,0.020267234,0.041775531,0.042437112,0.031103582,0.037240389,0.030085794,0.035079389,0.045801903,0.038346446,0.02606884,0.040129439,0.042304312,0.033452226,0.042249295,0.039158008,0.038243409,0.046703201
452.7377428,0.054154482,0.058907812,0.057609403,0.044337547,0.059221695,0.02391962,0.055467898,0.05374942,0.035752171,0.044691154,0.033702509,0.040837065,0.059248559,0.050501962,0.032598097,0.049773746,0.054941383,0.047426437,0.05560509,0.056832701,0.050014995,0.060171214,0.052456079,0.055637799,0.053644207,0.039852306,0.057718552,0.027732762,0.048391621,0.054007364,0.039201589,0.045623853,0.035390797,0.044120352,0.05766048,0.04491498,0.036135774,0.050047478,0.05086122,0.037573377,0.050182348,0.043796882,0.044556183,0.058386912
498.392655,0.080267459,0.086614561,0.085675684,0.066103714,0.088204917,0.037412031,0.082280869,0.080425315,0.054912379,0.067263167,0.05162778,0.062550019,0.088543232,0.074780085,0.050236441,0.074880583,0.080476272,0.070271113,0.082631207,0.084078795,0.074552646,0.088373928,0.061722257,0.064956886,0.062061789,0.044813879,0.069048651,0.035796251,0.053973714,0.064930188,0.047276052,0.053513759,0.04039261,0.053030949,0.068529881,0.050514511,0.046813949,0.059377598,0.05831474,0.040914866,0.057006345,0.04749894,0.049954677,0.068985177
