Time,30L,30I,45L,45I,60L,60I
2023-03-21 13:00:00,5.979448626556631e-08,3.053387685073407e-07,3.7875808347159932e-06,7.197036209153667e-07,5.17281335870474e-05,3.629434307740714e-06
2023-03-21 13:15:00,,3.111575075658544e-07,,7.199300565768805e-07,,3.6920507210661584e-06
2023-03-21 13:30:00,,3.162939733937708e-07,,7.212591707401212e-07,,3.7629141174464112e-06
2023-03-21 13:45:00,,3.206367047408192e-07,,7.236249431913261e-07,,3.8347046688867184e-06
2023-03-21 14:00:00,,3.241411054070518e-07,,7.269064588746706e-07,,3.902595876394896e-06
2023-03-21 14:15:00,,3.268393389463592e-07,,7.309288175199889e-07,,3.96405620550925e-06
2023-03-21 14:30:00,,3.288714635730857e-07,,7.354950018535061e-07,,4.018566277798608e-06
2023-03-21 14:45:00,,3.304374645512685e-07,,7.403871792044558e-07,,4.06582075797187e-06
2023-03-21 15:00:00,,3.317412163020388e-07,,7.453643582291545e-07,,4.10566721625721e-06
2023-03-21 15:15:00,,3.3293833592010247e-07,,7.501800268191902e-07,,4.138188149579995e-06
2023-03-21 15:30:00,,3.3407323187183497e-07,,7.545842015486028e-07,,4.163705216467206e-06
2023-03-21 15:45:00,,3.351313997086559e-07,,7.58367617338715e-07,,4.180934072387827e-06
2023-03-21 16:00:00,,3.360762963769181e-07,,7.613774570428683e-07,,4.186773634846273e-06
2023-03-21 16:15:00,,3.368781859346677e-07,,7.635189492325858e-07,,4.177474309140189e-06
2023-03-21 16:30:00,,3.375073510697314e-07,,7.647464572118229e-07,,4.150682146303396e-06
2023-03-21 16:45:00,,3.379498607296423e-07,,7.650586491731928e-07,,4.106066191332492e-06
2023-03-21 17:00:00,,3.3821447240808626e-07,,7.644927154993234e-07,,4.045345734558883e-06
2023-03-21 17:15:00,,3.383227644874774e-07,,7.631208829720335e-07,,3.9716917335392356e-06
2023-03-21 17:30:00,,3.3830185290938887e-07,,7.610516415081832e-07,,3.888796502365807e-06
2023-03-21 17:45:00,,3.381900401329737e-07,,7.584142167411604e-07,,3.8001020951913036e-06
2023-03-21 18:00:00,,3.3803321081655275e-07,,7.553666166461846e-07,,3.708665804588401e-06
2023-03-21 18:15:00,,3.3788278104646175e-07,,7.520748870218116e-07,,3.616881157653347e-06
2023-03-21 18:30:00,,3.377957583711925e-07,,7.487186637758212e-07,,3.5266878664297526e-06
2023-03-21 18:45:00,,3.378317848599648e-07,,7.454789268139293e-07,,3.439555564236015e-06
