Time,T3,T4
2023-03-22 16:30:00,,4.42275047953141e-06
2023-03-22 16:45:00,,4.408851721499338e-06
2023-03-22 17:00:00,,4.394719149172124e-06
2023-03-22 17:15:00,,4.380067866214701e-06
2023-03-22 17:30:00,,4.3658062141298235e-06
2023-03-22 17:45:00,,4.351155205030141e-06
2023-03-22 18:00:00,,4.336178414642235e-06
2023-03-22 18:15:00,,4.320840180010336e-06
2023-03-22 18:30:00,,4.305041776854083e-06
2023-03-22 18:45:00,,4.2888462379254075e-06
2023-03-22 19:00:00,,4.272152368104879e-06
2023-03-22 19:15:00,,4.2544692704220335e-06
2023-03-22 19:30:00,,4.236316736099675e-06
2023-03-22 19:45:00,,4.2176591046967305e-06
2023-03-22 20:00:00,,4.198468888282096e-06
2023-03-22 20:15:00,,4.178754255407348e-06
2023-03-22 20:30:00,,4.158163715567549e-06
2023-03-22 20:45:00,,4.1371278894155e-06
2023-03-22 21:00:00,,4.115662461653251e-06
2023-03-22 21:15:00,,4.093837125580963e-06
2023-03-22 21:30:00,,4.071147520342208e-06
2023-03-22 21:45:00,,4.0485023008415295e-06
2023-03-22 22:00:00,,4.0254804295089405e-06
2023-03-22 22:15:00,,4.001924653681565e-06
2023-03-22 22:30:00,,3.978159049393992e-06
2023-03-22 22:45:00,,3.9543161004479686e-06
2023-03-22 23:00:00,,3.930290468279206e-06
2023-03-22 23:15:00,,3.906184603811916e-06
2023-03-22 23:30:00,,3.882235065137884e-06
2023-03-22 23:45:00,,3.8586321960975326e-06
2023-03-23 00:00:00,,3.835137150382101e-06
2023-03-23 00:15:00,,3.8119063555860767e-06
2023-03-23 00:30:00,,3.78925544018925e-06
2023-03-23 00:45:00,,3.76698914872826e-06
2023-03-23 01:00:00,,3.7451353853635206e-06
2023-03-23 01:15:00,,3.7239501954857087e-06
2023-03-23 01:30:00,,3.7031455157562473e-06
2023-03-23 01:45:00,,3.6829406243982638e-06
2023-03-23 02:00:00,,3.6629440783111386e-06
2023-03-23 02:15:00,,3.6441195863105986e-06
2023-03-23 02:30:00,,3.6255165837931248e-06
2023-03-23 02:45:00,,3.6074469308372215e-06
2023-03-23 03:00:00,,3.590287945386074e-06
2023-03-23 03:15:00,,3.5731689371682324e-06
2023-03-23 03:30:00,,3.5565867114776505e-06
2023-03-23 03:45:00,,3.540942736222088e-06
2023-03-23 04:00:00,,3.525428347503034e-06
2023-03-23 04:15:00,,3.5108536970186663e-06
2023-03-23 04:30:00,,3.4971178494962535e-06
2023-03-23 04:45:00,,3.4834656173298646e-06
2023-03-23 05:00:00,,3.4703028856735892e-06
2023-03-23 05:15:00,,3.4580409435492964e-06
2023-03-23 05:30:00,,3.4462191599367463e-06
2023-03-23 05:45:00,,3.434732654989578e-06
2023-03-23 06:00:00,,3.423639470285323e-06
2023-03-23 06:15:00,,3.4129072008345674e-06
2023-03-23 06:30:00,,3.4023811776240016e-06
2023-03-23 06:45:00,,3.3926296303320137e-06
2023-03-23 07:00:00,,3.3830558366673884e-06
2023-03-23 07:15:00,,3.3737235636614226e-06
2023-03-23 07:30:00,,3.3645892165900315e-06
2023-03-23 07:45:00,,3.3556082657099423e-06
2023-03-23 08:00:00,,3.3467269884183154e-06
2023-03-23 08:15:00,,3.3379376448698258e-06
2023-03-23 08:30:00,,3.3295391855274625e-06
2023-03-23 08:45:00,,3.3210914208839797e-06
2023-03-23 09:00:00,,3.3127942853290873e-06
2023-03-23 09:15:00,,3.3043401353805074e-06
2023-03-23 09:30:00,,3.295621048152564e-06
2023-03-23 09:45:00,,3.2866195288424866e-06
2023-03-23 10:00:00,,3.2774140952461572e-06
2023-03-23 10:15:00,,3.267507692742293e-06
2023-03-23 10:30:00,,3.2573364703456145e-06
2023-03-23 10:45:00,,3.2465642048653133e-06
2023-03-23 11:00:00,,3.2352874791084767e-06
2023-03-23 11:15:00,,3.223433387582822e-06
2023-03-23 11:30:00,,3.2107678189051248e-06
2023-03-23 11:45:00,,3.1974061737563186e-06
2023-03-23 12:00:00,,3.18310849183043e-06
2023-03-23 12:15:00,,3.1679352425704283e-06
2023-03-23 12:30:00,,3.151768536046537e-06
2023-03-23 12:45:00,,3.1347087563020518e-06
2023-03-23 13:00:00,,3.116673729492264e-06
2023-03-23 13:15:00,,3.0976728899696497e-06
2023-03-23 13:30:00,,3.0779540584660545e-06
2023-03-23 13:45:00,,3.0575651220227166e-06
2023-03-23 14:00:00,,3.036403204764009e-06
2023-03-23 14:15:00,,3.0143697825565953e-06
2023-03-23 14:30:00,,2.992010165285379e-06
2023-03-23 14:45:00,,2.968795483850042e-06
2023-03-23 15:00:00,,2.9450233820410863e-06
2023-03-23 15:15:00,,2.9208211823299244e-06
2023-03-23 15:30:00,,2.8962165400865792e-06
2023-03-23 15:45:00,,2.8713866735057405e-06
2023-03-23 16:00:00,,2.846272243158858e-06
2023-03-23 16:15:00,,2.821053900157877e-06
2023-03-23 16:30:00,,2.7961697834214376e-06
2023-03-23 16:45:00,,2.771403428914789e-06
2023-03-23 17:00:00,,2.747327776271806e-06
2023-03-23 17:15:00,,2.7236405654268607e-06
2023-03-23 17:30:00,,2.7008266394410715e-06
2023-03-23 17:45:00,,2.6784984601314982e-06
2023-03-23 18:00:00,,2.6573199222034594e-06
2023-03-23 18:15:00,,2.6368490000922213e-06
2023-03-23 18:30:00,,2.6174639940306884e-06
2023-03-23 18:45:00,,2.5985143858684847e-06
2023-03-23 19:00:00,,2.5807857737783787e-06
2023-03-23 19:15:00,,2.5641484572013436e-06
2023-03-23 19:30:00,,2.548038404043751e-06
2023-03-23 19:45:00,,2.5327582536841013e-06
2023-03-23 20:00:00,,2.518317566717603e-06
2023-03-23 20:15:00,,2.5050064628193643e-06
2023-03-23 20:30:00,,2.4927859650395292e-06
2023-03-23 20:45:00,,2.481098490666453e-06
2023-03-23 21:00:00,,2.4699780080115204e-06
2023-03-23 21:15:00,,2.4599364313028533e-06
2023-03-23 21:30:00,,2.450673936838339e-06
2023-03-23 21:45:00,,2.442188900332431e-06
2023-03-23 22:00:00,,2.434244531911526e-06
2023-03-23 22:15:00,,2.4271124480954287e-06
2023-03-23 22:30:00,,2.420681292763063e-06
2023-03-23 22:45:00,,2.415143004187778e-06
2023-03-23 23:00:00,,2.410205056301361e-06
2023-03-23 23:15:00,,2.4058111716747095e-06
2023-03-23 23:30:00,,2.4019961498354777e-06
2023-03-23 23:45:00,,2.3987748846053225e-06
2023-03-24 00:00:00,,2.3960324998758285e-06
2023-03-24 00:15:00,,2.3938909751936182e-06
2023-03-24 00:30:00,,2.392146665768222e-06
2023-03-24 00:45:00,,2.390839948944116e-06
2023-03-24 01:00:00,,2.390085793753008e-06
2023-03-24 01:15:00,,2.389547749672681e-06
2023-03-24 01:30:00,,2.3893315741428543e-06
2023-03-24 01:45:00,,2.3894014342867866e-06
2023-03-24 02:00:00,,2.3897208013166494e-06
2023-03-24 02:15:00,,2.3904239001052857e-06
2023-03-24 02:30:00,,2.3913453664876994e-06
2023-03-24 02:45:00,,2.3924501859133497e-06
2023-03-24 03:00:00,,2.3936050204797025e-06
2023-03-24 03:15:00,,2.3946442572295347e-06
2023-03-24 03:30:00,,2.3957406890617765e-06
2023-03-24 03:45:00,,2.3970270403400405e-06
2023-03-24 04:00:00,,2.398079230337499e-06
2023-03-24 04:15:00,,2.399393040356063e-06
2023-03-24 04:30:00,,2.400600423243811e-06
2023-03-24 04:45:00,,2.4021621792696226e-06
2023-03-24 05:00:00,,2.4035792797561464e-06
2023-03-24 05:15:00,,2.4049303021990604e-06
2023-03-24 05:30:00,,2.4065101515756023e-06
2023-03-24 05:45:00,,2.407920354633217e-06
2023-03-24 06:00:00,,2.40908463617956e-06
2023-03-24 06:15:00,,2.4102032538142503e-06
2023-03-24 06:30:00,,2.4115084702643125e-06
2023-03-24 06:45:00,,2.41233357901844e-06
2023-03-24 07:00:00,,2.4132684209037723e-06
2023-03-24 07:15:00,,2.4140212200695545e-06
2023-03-24 07:30:00,,2.4145424038454665e-06
2023-03-24 07:45:00,,2.4148593067581664e-06
2023-03-24 08:00:00,,2.415250538477122e-06
2023-03-24 08:15:00,,2.415376017677484e-06
2023-03-24 08:30:00,,2.4152451093646763e-06
2023-03-24 08:45:00,,2.4148235819841693e-06
2023-03-24 09:00:00,,2.414095701226577e-06
2023-03-24 09:15:00,,2.4130469140717498e-06
2023-03-24 09:30:00,,2.4116639797514415e-06
2023-03-24 09:45:00,,2.4099103821342765e-06
2023-03-24 10:00:00,,2.407781735063449e-06
2023-03-24 10:15:00,,2.4052634337142193e-06
2023-03-24 10:30:00,,2.402248524370054e-06
2023-03-24 10:45:00,,2.3987479538716954e-06
2023-03-24 11:00:00,,2.394740515074988e-06
2023-03-24 11:15:00,,2.390136420513374e-06
2023-03-24 11:30:00,,2.3849136769229935e-06
2023-03-24 11:45:00,,2.3790358526757384e-06
2023-03-24 12:00:00,,2.372565898798937e-06
2023-03-24 12:15:00,,2.3654757140532126e-06
2023-03-24 12:30:00,,2.3577447121241753e-06
2023-03-24 12:45:00,,2.3493476821812007e-06
2023-03-24 13:00:00,,2.340336200985719e-06
2023-03-24 13:15:00,,2.330806412020184e-06
