Time,T1,T2
2023-03-22 16:15:00,,2.7299232040236503e-05
2023-03-22 16:30:00,,2.7241078468833393e-05
2023-03-22 16:45:00,,2.7182413454063766e-05
2023-03-22 17:00:00,,2.7125343254999845e-05
2023-03-22 17:15:00,,2.706864294032247e-05
2023-03-22 17:30:00,,2.7012666156331237e-05
2023-03-22 17:45:00,,2.6957185755204993e-05
2023-03-22 18:00:00,,2.689884631165173e-05
2023-03-22 18:15:00,,2.683643608823632e-05
2023-03-22 18:30:00,,2.677820761623964e-05
2023-03-22 18:45:00,,2.671362661817602e-05
2023-03-22 19:00:00,,2.664760097464848e-05
2023-03-22 19:15:00,,2.6579456268137727e-05
2023-03-22 19:30:00,,2.6508335507815955e-05
2023-03-22 19:45:00,,2.643554926984556e-05
2023-03-22 20:00:00,,2.6360247911577506e-05
2023-03-22 20:15:00,,2.628332200487755e-05
2023-03-22 20:30:00,,2.6205387139602176e-05
2023-03-22 20:45:00,,2.612733907910339e-05
2023-03-22 21:00:00,,2.6048671749379377e-05
2023-03-22 21:15:00,,2.5969313354644297e-05
2023-03-22 21:30:00,,2.58890310260879e-05
2023-03-22 21:45:00,,2.5807483113083615e-05
2023-03-22 22:00:00,,2.5724895755618022e-05
2023-03-22 22:15:00,,2.5642063406754947e-05
2023-03-22 22:30:00,,2.5560326107413675e-05
2023-03-22 22:45:00,,2.5479678451067195e-05
2023-03-22 23:00:00,,2.5400552824657787e-05
2023-03-22 23:15:00,,2.532301275703862e-05
2023-03-22 23:30:00,,2.5246844846160114e-05
2023-03-22 23:45:00,,2.517233148838193e-05
2023-03-23 00:00:00,,2.5099251175886766e-05
2023-03-23 00:15:00,,2.5028637187909927e-05
2023-03-23 00:30:00,,2.4960237841659285e-05
2023-03-23 00:45:00,,2.4893457245543874e-05
2023-03-23 01:00:00,,2.4826803359046196e-05
2023-03-23 01:15:00,,2.4762402428331206e-05
2023-03-23 01:30:00,,2.4698695428434497e-05
2023-03-23 01:45:00,,2.4637898427527152e-05
2023-03-23 02:00:00,,2.457862084206745e-05
2023-03-23 02:15:00,,2.4520071729653147e-05
2023-03-23 02:30:00,,2.4462357745205893e-05
2023-03-23 02:45:00,,2.4406122850952613e-05
2023-03-23 03:00:00,,2.4352219153648333e-05
2023-03-23 03:15:00,,2.4300392685183874e-05
2023-03-23 03:30:00,,2.4249947605253462e-05
2023-03-23 03:45:00,,2.4200827953955032e-05
2023-03-23 04:00:00,,2.415399960505433e-05
2023-03-23 04:15:00,,2.4107776884865393e-05
2023-03-23 04:30:00,,2.4061816565717284e-05
2023-03-23 04:45:00,,2.4015877839708462e-05
2023-03-23 05:00:00,,2.397186224921062e-05
2023-03-23 05:15:00,,2.392834785339775e-05
2023-03-23 05:30:00,,2.388690888468919e-05
2023-03-23 05:45:00,,2.384578295569836e-05
2023-03-23 06:00:00,,2.380541731988351e-05
2023-03-23 06:15:00,,2.3765347768061802e-05
2023-03-23 06:30:00,,2.372624819606888e-05
2023-03-23 06:45:00,,2.3688302606418606e-05
2023-03-23 07:00:00,,2.3651155381565695e-05
2023-03-23 07:15:00,,2.361371695394311e-05
2023-03-23 07:30:00,,2.3577100687318507e-05
2023-03-23 07:45:00,,2.354033799476801e-05
2023-03-23 08:00:00,,2.3503965890845057e-05
2023-03-23 08:15:00,,2.346732297075998e-05
2023-03-23 08:30:00,,2.343032723294148e-05
2023-03-23 08:45:00,,2.3392764155068394e-05
2023-03-23 09:00:00,,2.3354108389550597e-05
2023-03-23 09:15:00,,2.3314736931337422e-05
2023-03-23 09:30:00,,2.3273914109794978e-05
2023-03-23 09:45:00,,2.3231528749326897e-05
2023-03-23 10:00:00,,2.3187611699472647e-05
2023-03-23 10:15:00,,2.3142385798235192e-05
2023-03-23 10:30:00,,2.309503254718364e-05
2023-03-23 10:45:00,,2.3045391028835146e-05
2023-03-23 11:00:00,,2.299300628724931e-05
2023-03-23 11:15:00,,2.2937812241324425e-05
2023-03-23 11:30:00,,2.2878949631285117e-05
2023-03-23 11:45:00,,2.281638403019016e-05
2023-03-23 12:00:00,,2.2751342382782254e-05
2023-03-23 12:15:00,,2.2683410551874055e-05
2023-03-23 12:30:00,,2.2613121181322886e-05
2023-03-23 12:45:00,,2.2540653190399583e-05
2023-03-23 13:00:00,,2.2466279709066897e-05
2023-03-23 13:15:00,,2.2392004254682617e-05
2023-03-23 13:30:00,,2.2317233754586132e-05
2023-03-23 13:45:00,,2.224177846270858e-05
2023-03-23 14:00:00,,2.216549380282962e-05
2023-03-23 14:15:00,,2.2088659407934695e-05
2023-03-23 14:30:00,,2.201082350816441e-05
2023-03-23 14:45:00,,2.1932714969058512e-05
2023-03-23 15:00:00,,2.1855280588418202e-05
2023-03-23 15:15:00,,2.178020798415814e-05
2023-03-23 15:30:00,,2.1706531279756183e-05
2023-03-23 15:45:00,,2.163660727209904e-05
2023-03-23 16:00:00,,2.156949461707051e-05
2023-03-23 16:15:00,,2.1506530361396196e-05
2023-03-23 16:30:00,,2.144753900354388e-05
2023-03-23 16:45:00,,2.1391768706556026e-05
2023-03-23 17:00:00,,2.133964793428739e-05
2023-03-23 17:15:00,,2.1290740490482704e-05
2023-03-23 17:30:00,,2.1244658258067458e-05
2023-03-23 17:45:00,,2.1201342364078516e-05
2023-03-23 18:00:00,,2.1160848924906822e-05
2023-03-23 18:15:00,,2.112218899246914e-05
2023-03-23 18:30:00,,2.1086526148220476e-05
2023-03-23 18:45:00,,2.1052830517669954e-05
2023-03-23 19:00:00,,2.1019845002288457e-05
2023-03-23 19:15:00,,2.0987841116400516e-05
2023-03-23 19:30:00,,2.0956528042687823e-05
2023-03-23 19:45:00,,2.0926808407912053e-05
2023-03-23 20:00:00,,2.089815749007652e-05
2023-03-23 20:15:00,,2.087089908888098e-05
2023-03-23 20:30:00,,2.0844221792077907e-05
2023-03-23 20:45:00,,2.08185735123316e-05
2023-03-23 21:00:00,,2.0793610153888506e-05
2023-03-23 21:15:00,,2.0769491368498855e-05
2023-03-23 21:30:00,,2.074576926831231e-05
2023-03-23 21:45:00,,2.0722821258690935e-05
2023-03-23 22:00:00,,2.070064085239786e-05
2023-03-23 22:15:00,,2.0679062731739277e-05
2023-03-23 22:30:00,,2.0657995665515092e-05
2023-03-23 22:45:00,,2.063729145132914e-05
2023-03-23 23:00:00,,2.061684430813385e-05
2023-03-23 23:15:00,,2.0596658630403235e-05
2023-03-23 23:30:00,,2.057690986810922e-05
2023-03-23 23:45:00,,2.0557317928730566e-05
2023-03-24 00:00:00,,2.053801114709092e-05
2023-03-24 00:15:00,,2.05185313220294e-05
2023-03-24 00:30:00,,2.0498745955438976e-05
2023-03-24 00:45:00,,2.0479158315941904e-05
2023-03-24 01:00:00,,2.0459503379314182e-05
2023-03-24 01:15:00,,2.0439731004779802e-05
2023-03-24 01:30:00,,2.042022140863776e-05
2023-03-24 01:45:00,,2.0400237324445453e-05
2023-03-24 02:00:00,,2.0379735806635046e-05
2023-03-24 02:15:00,,2.0359464126219963e-05
2023-03-24 02:30:00,,2.0338597425249233e-05
2023-03-24 02:45:00,,2.031753001314447e-05
2023-03-24 03:00:00,,2.0296383292347727e-05
