Time,T3,T4
2023-03-21 13:00:00,,8.143819003620604e-07
2023-03-21 13:15:00,,8.179616192139949e-07
2023-03-21 13:30:00,,8.215173466063979e-07
2023-03-21 13:45:00,,8.250280119889142e-07
2023-03-21 14:00:00,,8.284315639770238e-07
2023-03-21 14:15:00,,8.318895258862984e-07
2023-03-21 14:30:00,,8.35382529993533e-07
2023-03-21 14:45:00,,8.389913216958984e-07
2023-03-21 15:00:00,,8.428192344917006e-07
2023-03-21 15:15:00,,8.468283623918953e-07
2023-03-21 15:30:00,,8.51120462621177e-07
2023-03-21 15:45:00,,8.558554282427651e-07
2023-03-21 16:00:00,,8.610263744005327e-07
2023-03-21 16:15:00,,8.667284819344244e-07
2023-03-21 16:30:00,,8.729215204707007e-07
2023-03-21 16:45:00,,8.798079483502509e-07
2023-03-21 17:00:00,,8.87198203874768e-07
2023-03-21 17:15:00,,8.950478385089068e-07
2023-03-21 17:30:00,,9.032785934561917e-07
2023-03-21 17:45:00,,9.119519061130049e-07
2023-03-21 18:00:00,,9.21025655677337e-07
2023-03-21 18:15:00,,9.304168865826447e-07
2023-03-21 18:30:00,,9.401134564881851e-07
2023-03-21 18:45:00,,9.500672503076224e-07
2023-03-21 19:00:00,,9.60213155202366e-07
2023-03-21 19:15:00,,9.705288888204605e-07
2023-03-21 19:30:00,,9.80907820657011e-07
2023-03-21 19:45:00,,9.912574029242355e-07
2023-03-21 20:00:00,,1.001554701464995e-06
2023-03-21 20:15:00,,1.011746537255724e-06
2023-03-21 20:30:00,,1.0217390282558952e-06
2023-03-21 20:45:00,,1.0314693749604675e-06
2023-03-21 21:00:00,,1.0408717003839976e-06
2023-03-21 21:15:00,,1.0498643408629971e-06
2023-03-21 21:30:00,,1.0582427151894774e-06
2023-03-21 21:45:00,,1.0659964556239334e-06
2023-03-21 22:00:00,,1.07323744157969e-06
2023-03-21 22:15:00,,1.0799293085408596e-06
2023-03-21 22:30:00,,1.0860319070532465e-06
2023-03-21 22:45:00,,1.0912924421856435e-06
2023-03-21 23:00:00,,1.0959642457732619e-06
2023-03-21 23:15:00,,1.1000103102609336e-06
2023-03-21 23:30:00,,1.1034595765088034e-06
2023-03-21 23:45:00,,1.1061628052528243e-06
2023-03-22 00:00:00,,1.1082605089951948e-06
2023-03-22 00:15:00,,1.1098118418562375e-06
2023-03-22 00:30:00,,1.1107994396814628e-06
2023-03-22 00:45:00,,1.1112087191913238e-06
2023-03-22 01:00:00,,1.1110652559027979e-06
2023-03-22 01:15:00,,1.1104687338928148e-06
2023-03-22 01:30:00,,1.1094204904272338e-06
2023-03-22 01:45:00,,1.1079582032817538e-06
2023-03-22 02:00:00,,1.1060829227116868e-06
2023-03-22 02:15:00,,1.1039237534071455e-06
2023-03-22 02:30:00,,1.1013910248451523e-06
