Size (um),Vol Conc
0.37,0.23
0.44,0.23
0.52,0.23
0.61,0.24
0.72,0.25
0.85,0.27
1.01,0.34
1.19,0.48
1.4,0.69
1.65,0.85
1.95,0.99
2.3,1.1
2.72,1.19
3.2,1.28
3.78,1.38
4.46,1.53
5.27,1.71
6.21,1.91
7.33,2.13
8.65,2.39
10.21,2.68
12.05,3.03
14.22,3.53
16.78,4.13
19.81,4.87
23.37,5.67
27.58,6.73
32.55,8.01
38.41,9.61
45.32,11.63
53.48,13.68
63.11,16.3
74.48,18.21
87.89,19.92
103.72,20.4
122.39,20.47
144.43,20.06
170.44,19.29
201.13,17.33
237.35,16.58
280.09,16.72
330.52,16.89
390.04,15.05
460.27,12.3
TOTAL,322.51
