Size (um),Vol Conc
0.37,0.15
0.44,0.15
0.52,0.15
0.61,0.15
0.72,0.15
0.85,0.17
1.01,0.21
1.19,0.31
1.4,0.44
1.65,0.55
1.95,0.64
2.3,0.73
2.72,0.8
3.2,0.86
3.78,0.92
4.46,1.01
5.27,1.11
6.21,1.23
7.33,1.37
8.65,1.54
10.21,1.76
12.05,2.05
14.22,2.47
16.78,3.05
19.81,3.75
23.37,4.54
27.58,5.47
32.55,6.67
38.41,8.3
45.32,10
53.48,11.55
63.11,12.91
74.48,13.14
87.89,12.99
103.72,11.62
122.39,10.19
144.43,8.69
170.44,7.43
201.13,6.12
237.35,5.12
280.09,4.25
330.52,3.58
390.04,3.07
460.27,3.02
TOTAL,174.38
