Size (um),Vol Conc
0.37,0.19
0.44,0.19
0.52,0.19
0.61,0.19
0.72,0.19
0.85,0.21
1.01,0.26
1.19,0.37
1.4,0.51
1.65,0.62
1.95,0.71
2.3,0.79
2.72,0.84
3.2,0.9
3.78,0.97
4.46,1.06
5.27,1.17
6.21,1.29
7.33,1.41
8.65,1.56
10.21,1.73
12.05,1.97
14.22,2.38
16.78,2.97
19.81,3.76
23.37,4.66
27.58,5.85
32.55,7.39
38.41,9.44
45.32,12.08
53.48,14.85
63.11,18.08
74.48,20.48
87.89,22.69
103.72,22.49
122.39,21.63
144.43,19.49
170.44,17.13
201.13,13.87
237.35,12.04
280.09,11.18
330.52,10.85
390.04,9.43
460.27,7.83
TOTAL,287.89
