Size (um),Vol Conc
0.37,0.12
0.44,0.12
0.52,0.12
0.61,0.12
0.72,0.13
0.85,0.14
1.01,0.17
1.19,0.25
1.4,0.35
1.65,0.43
1.95,0.49
2.3,0.56
2.72,0.6
3.2,0.66
3.78,0.71
4.46,0.79
5.27,0.88
6.21,0.99
7.33,1.12
8.65,1.27
10.21,1.44
12.05,1.63
14.22,1.9
16.78,2.24
19.81,2.66
23.37,3.17
27.58,3.82
32.55,4.57
38.41,5.56
45.32,6.84
53.48,8.26
63.11,9.96
74.48,11.23
87.89,12.19
103.72,12.28
122.39,12.16
144.43,11.7
170.44,11.26
201.13,10.54
237.35,10.11
280.09,9.45
330.52,8.75
390.04,7.64
460.27,7
TOTAL,186.38
