Size (um),Vol Conc
0.37,0.17
0.44,0.17
0.52,0.17
0.61,0.17
0.72,0.17
0.85,0.19
1.01,0.24
1.19,0.35
1.4,0.49
1.65,0.61
1.95,0.71
2.3,0.8
2.72,0.88
3.2,0.95
3.78,1.03
4.46,1.13
5.27,1.25
6.21,1.39
7.33,1.55
8.65,1.74
10.21,1.97
12.05,2.25
14.22,2.63
16.78,3.11
19.81,3.72
23.37,4.45
27.58,5.4
32.55,6.58
38.41,8.13
45.32,10.01
53.48,12.02
63.11,14.39
74.48,15.87
87.89,16.77
103.72,16.27
122.39,15.29
144.43,14.04
170.44,12.67
201.13,10.93
237.35,9.58
280.09,8.2
330.52,7.14
390.04,6.1
460.27,5.83
TOTAL,227.51
