Size (um),Vol Conc
0.37,0.31
0.44,0.3
0.52,0.28
0.61,0.26
0.72,0.25
0.85,0.26
1.01,0.32
1.19,0.45
1.4,0.62
1.65,0.73
1.95,0.82
2.3,0.88
2.72,0.94
3.2,1
3.78,1.09
4.46,1.23
5.27,1.4
6.21,1.62
7.33,1.91
8.65,2.27
10.21,2.72
12.05,3.29
14.22,4.17
16.78,5.31
19.81,6.78
23.37,8.47
27.58,10.6
32.55,13.29
38.41,16.83
45.32,20.88
53.48,24.86
63.11,28.83
74.48,30.04
87.89,29.63
103.72,26.61
122.39,23.41
144.43,19.53
170.44,15.73
201.13,12.17
237.35,9.78
280.09,8.33
330.52,7.42
390.04,6.28
460.27,5.62
TOTAL,357.52
