Size (um),Vol Conc
0.37,0.25
0.44,0.24
0.52,0.22
0.61,0.2
0.72,0.18
0.85,0.19
1.01,0.25
1.19,0.38
1.4,0.55
1.65,0.67
1.95,0.77
2.3,0.83
2.72,0.87
3.2,0.9
3.78,0.96
4.46,1.06
5.27,1.19
6.21,1.36
7.33,1.55
8.65,1.75
10.21,2.01
12.05,2.35
14.22,2.84
16.78,3.52
19.81,4.46
23.37,5.67
27.58,7.34
32.55,9.42
38.41,12.12
45.32,15.56
53.48,18.37
63.11,20.81
74.48,21.27
87.89,20.85
103.72,18.66
122.39,16.79
144.43,14.87
170.44,13.25
201.13,10.54
237.35,8.54
280.09,6.79
330.52,5.81
390.04,5.44
460.27,6.03
TOTAL,267.68
