Size (um),Vol Conc
0.37,0.11
0.44,0.11
0.52,0.1
0.61,0.1
0.72,0.11
0.85,0.12
1.01,0.15
1.19,0.21
1.4,0.29
1.65,0.36
1.95,0.42
2.3,0.47
2.72,0.51
3.2,0.54
3.78,0.58
4.46,0.64
5.27,0.7
6.21,0.77
7.33,0.87
8.65,0.98
10.21,1.13
12.05,1.31
14.22,1.57
16.78,1.9
19.81,2.31
23.37,2.81
27.58,3.46
32.55,4.3
38.41,5.45
45.32,6.74
53.48,8.15
63.11,9.98
74.48,11.06
87.89,11.9
103.72,11.69
122.39,10.92
144.43,10.05
170.44,8.89
201.13,7.53
237.35,6.5
280.09,5.46
330.52,4.59
390.04,3.77
460.27,3.38
TOTAL,152.99
