Size (um),Vol Conc
0.37,0.15
0.44,0.15
0.52,0.15
0.61,0.15
0.72,0.15
0.85,0.16
1.01,0.2
1.19,0.29
1.4,0.42
1.65,0.51
1.95,0.6
2.3,0.67
2.72,0.73
3.2,0.79
3.78,0.85
4.46,0.93
5.27,1.03
6.21,1.14
7.33,1.28
8.65,1.44
10.21,1.65
12.05,1.89
14.22,2.24
16.78,2.71
19.81,3.3
23.37,4.05
27.58,5.04
32.55,6.29
38.41,7.92
45.32,9.8
53.48,11.64
63.11,13.57
74.48,14.47
87.89,14.73
103.72,13.78
122.39,12.37
144.43,10.92
170.44,9.52
201.13,7.94
237.35,6.73
280.09,5.63
330.52,4.85
390.04,4.25
460.27,4.36
TOTAL,191.44
