Size (um),Vol Conc
0.37,0.18
0.44,0.18
0.52,0.18
0.61,0.17
0.72,0.17
0.85,0.18
1.01,0.22
1.19,0.31
1.4,0.43
1.65,0.51
1.95,0.57
2.3,0.62
2.72,0.65
3.2,0.68
3.78,0.72
4.46,0.8
5.27,0.9
6.21,1.03
7.33,1.17
8.65,1.33
10.21,1.55
12.05,1.86
14.22,2.34
16.78,3.02
19.81,3.98
23.37,5.15
27.58,6.74
32.55,8.72
38.41,11.15
45.32,14.07
53.48,16.77
63.11,18.91
74.48,19.35
87.89,18.69
103.72,16.26
122.39,13.8
144.43,11.07
170.44,8.76
201.13,6.37
237.35,4.99
280.09,4.31
330.52,3.9
390.04,3.29
460.27,2.9
TOTAL,218.95
