Size (um),Vol Conc
0.37,0.19
0.44,0.19
0.52,0.19
0.61,0.19
0.72,0.2
0.85,0.22
1.01,0.27
1.19,0.39
1.4,0.54
1.65,0.65
1.95,0.75
2.3,0.83
2.72,0.89
3.2,0.95
3.78,1.03
4.46,1.13
5.27,1.25
6.21,1.38
7.33,1.53
8.65,1.71
10.21,1.93
12.05,2.23
14.22,2.71
16.78,3.37
19.81,4.3
23.37,5.34
27.58,6.66
32.55,8.31
38.41,10.42
45.32,12.86
53.48,15.05
63.11,16.98
74.48,17.59
87.89,17.87
103.72,16.35
122.39,14.8
144.43,12.79
170.44,11.1
201.13,8.96
237.35,7.84
280.09,7.52
330.52,7.49
390.04,6.7
460.27,5.7
TOTAL,239.35
