Size (um),Vol Conc
0.37,0.2
0.44,0.21
0.52,0.21
0.61,0.22
0.72,0.24
0.85,0.27
1.01,0.33
1.19,0.47
1.4,0.66
1.65,0.81
1.95,0.92
2.3,1.02
2.72,1.1
3.2,1.17
3.78,1.26
4.46,1.4
5.27,1.55
6.21,1.73
7.33,1.93
8.65,2.17
10.21,2.45
12.05,2.8
14.22,3.33
16.78,4.01
19.81,4.9
23.37,5.89
27.58,7.21
32.55,8.69
38.41,10.42
45.32,12.39
53.48,13.95
63.11,15.28
74.48,15.45
87.89,15.05
103.72,13.6
122.39,12.18
144.43,10.59
170.44,9.05
201.13,7.12
237.35,5.97
280.09,5.46
330.52,5.09
390.04,4.2
460.27,3.4
TOTAL,216.35
