Size,Avg,D25,D50,D75,Class
0.37,0.005345583,0.003971522,0.004286063,0.0060699,C
0.44,0.005677006,0.004220733,0.004564912,0.006424793,C
0.52,0.006200793,0.00461035,0.005001562,0.006985478,C
0.61,0.006969335,0.005191191,0.005659133,0.007804078,C
0.72,0.008039899,0.005949568,0.006558667,0.00892877,C
0.85,0.009477638,0.006985211,0.007784055,0.010455284,C
1.01,0.011771135,0.0086744,0.009730002,0.012970879,C
1.19,0.016318188,0.012060018,0.013559311,0.018048375,C
1.4,0.023699797,0.017483332,0.019835272,0.026335468,C
1.65,0.02950252,0.02171957,0.02490196,0.032901469,C
1.95,0.034109141,0.025102727,0.029121982,0.038245177,C
2.3,0.038524003,0.02826467,0.03338502,0.043219456,S
2.72,0.041688983,0.030568934,0.036537989,0.046792242,S
3.2,0.044208371,0.032419112,0.039169555,0.049525248,S
3.78,0.046928542,0.034562746,0.041599655,0.052665067,S
4.46,0.050516591,0.03747788,0.044770022,0.056807054,S
5.27,0.054168403,0.040498771,0.047989969,0.060937625,S
6.21,0.058167314,0.043730853,0.051625563,0.065369516,S
7.33,0.06232527,0.047049115,0.05542038,0.069871184,S
8.65,0.066850151,0.050624173,0.059447124,0.074649874,S
10.21,0.072785261,0.055111568,0.064864163,0.080790395,S
12.05,0.079884791,0.060555412,0.07103352,0.088427515,S
14.22,0.090615322,0.068714928,0.080128975,0.100240651,S
16.78,0.104366103,0.078904651,0.092045662,0.115088903,S
19.81,0.121301458,0.091713304,0.106682771,0.133116365,S
23.37,0.140654245,0.106212298,0.123714713,0.152617085,S
27.58,0.163518385,0.12354398,0.14327676,0.176609872,S
32.55,0.184814656,0.139943713,0.1611305,0.201947547,S
38.41,0.202637872,0.157605004,0.176497872,0.223214163,S
45.32,0.21302627,0.167675602,0.185846795,0.237021644,S
53.48,0.207121074,0.164328817,0.182236177,0.233502353,S
63.11,0.195465903,0.154899,0.173739001,0.222062131,FS
74.48,0.16791458,0.131896042,0.152651557,0.19307036,FS
87.89,0.139555182,0.107836744,0.130823295,0.160716841,FS
103.72,0.109947512,0.082655991,0.105596915,0.127145982,FS
122.39,0.086983057,0.063837917,0.086286606,0.100248298,FS
144.43,0.06801827,0.047987743,0.068626126,0.082167439,FS
170.44,0.052771052,0.035298604,0.053835807,0.067964783,FS
201.13,0.03895807,0.024427685,0.040610703,0.053116294,FS
237.35,0.030088037,0.01935005,0.031193908,0.042198548,FS
280.09,0.024201638,0.016366242,0.024393394,0.032537305,FS
330.52,0.020561321,0.012614,0.02130599,0.025787087,FS
390.04,0.017132393,0.009450425,0.018396276,0.022795165,FS
460.27,0.015463886,0.00957059,0.014731921,0.021386364,FS
