Size,Avg,D25,D50,D75,Class
0.37,0.013052193,0.009756257,0.011949125,0.015985272,C
0.44,0.013802042,0.010536869,0.012896353,0.017058126,C
0.52,0.014925564,0.01107923,0.014105992,0.018307655,C
0.61,0.016526184,0.011748393,0.015287583,0.020453363,C
0.72,0.018629476,0.01279939,0.017000968,0.023223836,C
0.85,0.02155296,0.014470215,0.019715808,0.027067163,C
1.01,0.02646753,0.017622795,0.024433558,0.03296146,C
1.19,0.036494664,0.024511098,0.033446653,0.045469556,C
1.4,0.052761038,0.035135123,0.048551011,0.066017658,C
1.65,0.065141516,0.043487373,0.059077052,0.081744316,C
1.95,0.075000988,0.050761135,0.067057708,0.093899062,C
2.3,0.08433712,0.057050664,0.074949498,0.106072343,S
2.72,0.091564507,0.061738613,0.080613827,0.114965122,S
3.2,0.097786112,0.066062825,0.085685791,0.123120286,S
3.78,0.105720078,0.071363315,0.091982042,0.133054006,S
4.46,0.116798184,0.078027591,0.101184256,0.146689601,S
5.27,0.129418139,0.08495625,0.111382066,0.162407078,S
6.21,0.144173375,0.093179585,0.123288492,0.179903111,S
7.33,0.160752294,0.103354534,0.136957418,0.199481026,S
8.65,0.179805499,0.115475338,0.152792344,0.221575112,S
10.21,0.202324416,0.130287139,0.172501887,0.249004865,S
12.05,0.228531673,0.150443358,0.197310335,0.283707405,S
14.22,0.265649297,0.181033209,0.235706883,0.33740881,S
16.78,0.307600967,0.219623185,0.284866393,0.389652901,S
19.81,0.352400095,0.264864429,0.348724051,0.421658787,S
23.37,0.390406595,0.31273601,0.366949994,0.469093358,S
27.58,0.425219134,0.352074679,0.392210227,0.507677536,S
32.55,0.444115719,0.388489547,0.421831998,0.532579342,S
38.41,0.445584443,0.355804223,0.44061335,0.557957897,S
45.32,0.426848572,0.343541033,0.443368185,0.53721504,S
53.48,0.380589737,0.300473479,0.409803217,0.48262586,S
63.11,0.324614939,0.246282035,0.351294384,0.429248197,FS
74.48,0.256317707,0.190233707,0.280831106,0.329676106,FS
87.89,0.195196272,0.14600282,0.208259637,0.242668408,FS
103.72,0.141714925,0.106482503,0.143689674,0.170686981,FS
122.39,0.107165654,0.080563328,0.104379444,0.137054393,FS
144.43,0.079714913,0.051448875,0.072279733,0.115606832,FS
170.44,0.060510396,0.028659424,0.05115952,0.078028965,FS
201.13,0.045925866,0.01331444,0.034267428,0.051417711,FS
237.35,0.039423802,0.009601675,0.027086209,0.042600276,FS
280.09,0.039622756,0.011675798,0.022308303,0.050421563,FS
330.52,0.040125709,0.010228137,0.017384229,0.060690211,FS
390.04,0.03363447,0.007361228,0.012618699,0.052800566,FS
460.27,0.024129749,0.00327377,0.006839288,0.031975264,FS
