Size,Avg,D25,D50,D75,Class
0.37,0.013279554,0.009395453,0.011215542,0.015479008,C
0.44,0.014051893,0.01005253,0.011838628,0.016332095,C
0.52,0.015184317,0.010675009,0.012461713,0.017440816,C
0.61,0.017033216,0.011452533,0.013707885,0.019402624,C
0.72,0.019291416,0.012818509,0.014954056,0.021918793,C
0.85,0.022410123,0.014562625,0.017446399,0.025288049,C
1.01,0.027422476,0.017672717,0.021184913,0.030576021,C
1.19,0.037864561,0.024659803,0.029285027,0.042260687,C
1.4,0.05457828,0.035523882,0.04174674,0.061124629,C
1.65,0.06745236,0.043866322,0.05168451,0.076007147,C
1.95,0.077533772,0.050443403,0.059460056,0.087467762,C
2.3,0.086970895,0.056442652,0.066778217,0.098629651,S
2.72,0.094294138,0.060886855,0.072266837,0.106835221,S
3.2,0.100578629,0.064753226,0.077298073,0.11427648,S
3.78,0.108671202,0.069223968,0.083244078,0.123312295,S
4.46,0.11992587,0.074711687,0.091934394,0.135537221,S
5.27,0.132732185,0.08071064,0.101082095,0.149422636,S
6.21,0.147288915,0.088642681,0.111601951,0.165368191,S
7.33,0.163310708,0.097908734,0.122579192,0.183672613,S
8.65,0.181330124,0.108908182,0.135843359,0.204801486,S
10.21,0.201983205,0.124085347,0.152766605,0.230481233,S
12.05,0.225257246,0.143863624,0.174263703,0.263769098,S
14.22,0.258192193,0.174018263,0.208110196,0.3148958,S
16.78,0.29505679,0.213351114,0.25018962,0.368105938,S
19.81,0.335135695,0.261239091,0.301416745,0.393296867,S
23.37,0.370567038,0.30672648,0.34889755,0.437614729,S
27.58,0.404885204,0.331913352,0.374358198,0.448997884,S
32.55,0.425737253,0.343693932,0.41860053,0.475294322,S
38.41,0.429841833,0.359352209,0.434913798,0.489852856,S
45.32,0.41390847,0.355993155,0.421205914,0.492200608,S
53.48,0.370365079,0.316186531,0.376343745,0.463262114,S
63.11,0.31632506,0.259324113,0.336345649,0.421161299,FS
74.48,0.249587786,0.199546693,0.280281995,0.327723789,FS
87.89,0.189370937,0.152221419,0.213095299,0.237655383,FS
103.72,0.137239752,0.110323449,0.150557983,0.170076726,FS
122.39,0.103656332,0.08256216,0.103956703,0.13391451,FS
144.43,0.077156238,0.061313638,0.068109564,0.1078427,FS
170.44,0.058538911,0.043856349,0.04711066,0.083090544,FS
201.13,0.044399459,0.026579974,0.033389108,0.060403661,FS
237.35,0.038323112,0.017443234,0.027443103,0.050797579,FS
280.09,0.039155087,0.014055354,0.022877926,0.05310487,FS
330.52,0.040696023,0.010591612,0.019265622,0.058533512,FS
390.04,0.035498757,0.006719487,0.013245115,0.051472917,FS
460.27,0.026563364,0.003603641,0.007625975,0.034829663,FS
