distance,elevation
0,2724.259
10,2724.219
20,2724.149
30,2724.099
40,2724.09
50,2724.088
60,2724.015
60,2724.488
70,2724.024
80,2724.058
90,2724.097
100,2724.129
110,2724.155
120,2724.169
130,2724.179
140,2724.179
150,2724.19
160,2724.206
170,2724.152
180,2724.192
190,2724.218
200,2724.203
210,2724.222
220,2724.227
230,2724.258
240,2724.267
250,2724.269
260,2724.325
270,2724.383
280,2724.544
290,2724.59
300,2724.636
310,2724.869
320,2724.944
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
