distance,elevation
0,2756
0.1,2755.979
0.2,2756.001
0.3,2755.922
0.4,2755.88
0.5,2755.793
0.6,2755.74
0.7,2755.65
0.8,2755.623
0.9,2755.628
1,2755.527
1.1,2755.496
1.2,2755.483
1.3,2755.487
1.4,2755.447
1.5,2755.483
1.6,2755.433
1.7,2755.46
1.8,2755.468
1.9,2755.514
2,2755.518
2.1,2755.523
2.2,2755.546
2.3,2755.535
2.4,2755.565
2.5,2755.586
2.6,2755.598
2.7,2755.603
2.8,2755.616
2.9,2755.757
3,2755.793
3.1,2755.883
