Sample,Source,d13C,d15N,%C,%N,C/N,order
490,storm7,-28.55,-5.32,16.694,1.837,9.1,1
491,storm7,-28.79,-4.56,13.891,5.341,2.6,2
492,storm7,-25.9,-5.15,14.349,1.407,10.2,3
493,storm7,-25.95,-6.69,14.528,2.433,6,4
495,storm7,-26.61,-6.39,24.973,5.349,4.7,5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
