Sample,Source,d13C,d15N,%C,%N,C/N,order,hydrograph
461,storm5,-26.76,-4.9,12.86,1.117,11.5,1,peak
462,storm5,-28.1,-2.26,17.384,1.89,9.2,2,f
463,storm5,-26.81,-3.43,19.128,1.477,13,3,f
464,storm5,-26.82,-4.02,16.996,1.182,14.4,4,f
466,storm5,-26.5,-3.1,23.226,4.888,4.8,5,f
