Sample,Source,d13C,d15N,%C,%N,C/N,order
456,storm5,-27.19,-3.36,10.213,1.359,7.5,1
457,storm5,-26.29,-1.23,11.007,2.099,5.2,2
458,storm5,-27.61,-5.74,14.872,4.627,3.2,3
459,storm5,-28.25,-1.43,17.404,3.024,5.8,4
460,storm5,-26.4,-3.17,14.019,1.121,12.5,5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
