Sample,Source,d13C,d15N,%C,%N,C/N,order,hydrograph 
439,storm4,-25.82,-6.8,16.012,3.107,5.2,1,r
440,storm4,-26.54,-1.7,8.703,1.776,4.9,2,r
441,storm4,-25.98,-8.5,13.001,3.39,3.8,3,r
442,storm4,-25.79,-12.59,9.354,7.316,1.3,4,peak
443,storm4,-26.26,-5.9,13.676,4.197,3.3,5,f
444,storm4,-26.07,-18.56,8.983,2.249,4,6,f
445,storm4,-25.52,-8.62,19.818,1.363,14.5,7,f
