Sample,Source,d13C,d15N,%C,%N,C/N,order,hydrograph
484,storm7,-26.53,-2.71,14.201,3.121,4.5,1,r
485,storm7,-26.52,-4.83,14.627,5.335,2.7,2,peak
486,storm7,-26.37,-2.17,15.613,3.05,5.1,3,f
487,storm7,-26.35,-2.39,17.416,5.591,3.1,4,f
489,storm7,-30.15,-4.1,16.269,2.258,7.2,5,f
