Sample,Source,d13C,d15N,%C,%N,C/N,order,hydrograph
95,storm2,-26.67,1.4,11.753,0.168,69.9,1,r
96,storm2,-27.46,-2.03,11.891,0.028,429,2,peak
97,storm2,-27.57,-4.98,18.073,0,0,3,f
98,storm2,-27.21,-1,18.244,0,0,4,f
101,storm2,-26.63,-4.82,12.087,0,0,5,f
