Sample,Source,d13C,d15N,%C,%N,C/N,order
215,spring,-27.98,-9.77,8.758,3.165,2.8,1
222,spring,-27.59,4.06,15.586,5.326,2.9,2
242,spring,-26.94,-20.62,15.978,8.77,1.8,3
253,spring,-26.56,-1.7,10.847,5.106,2.1,4
269,spring,-25.57,-1.43,22.919,8.871,2.6,5
338,spring,-26.03,-14.51,320.841,147,2.2,6
339,spring,-26.1,-8.71,-29.588,-17.304,1.7,7
341,spring,-26.22,-12.39,203.472,142.613,1.4,8
342,spring,-25.88,-9.24,18.319,6.802,2.7,9
343,spring,-25.62,-4.86,10.341,4.851,2.1,10
350,spring,-25.77,-4.24,15.264,4.56,3.3,11
351,spring,-30.74,-3.78,18.789,11.397,1.6,12
