Sample,Source,d13C,d15N,%C,%N,C/N,order
102,storm3,-29.66,-8.74,17.978,0,0,1
103,storm3,-29.04,-1.28,15.901,0,0,2
104,storm3,-28.24,-1.89,15.419,0,0,3
105,storm3,-26.96,7.18,10.929,0.278,39.3,4
106,storm3,-27.04,0.34,14.474,0.573,25.2,5
107,storm3,-28.42,-1.63,9.571,1.26,7.6,6
108,storm3,-28.97,-0.52,19.944,5.678,3.5,7
109,storm3,-29.73,-1.11,-226.95,-89.253,2.5,8
110,storm3,-31.79,-0.45,-18.463,-9.094,2,9
111,storm3,-29.01,-2.56,37.217,18.513,2,10
112,storm3,-29.31,-1.19,97.928,46.742,2.1,11
113,storm3,-29.94,-1.28,206.042,95.953,2.1,12
114,storm3,-28.66,-2.41,26.099,13.187,2,13
115,storm3,-29.43,-2.22,-41.37,-23.341,1.8,14
