Sample,Source,d13C,d15N,%C,%N,C/N,order
95,storm1,-26.67,1.4,11.753,0.168,69.9,1
96,storm1,-27.46,-2.03,11.891,0.028,429,2
97,storm1,-27.57,-4.98,18.073,0,0,3
98,storm1,-27.21,-1,18.244,0,0,4
99,storm1,-29.38,-7.75,9.436,0,0,5
101,storm1,-26.63,-4.82,12.087,0,0,6
