Sample,Source,d13C,d15N,%C,%N,C/N,order,hydrograph
476,storm6,-26.83,-7.96,16.265,1.531,10.6,1,peak
477,storm6,-26.51,-6.75,14.584,1.08,13.5,2,f
478,storm6,-26.51,-3.93,15.758,1.927,8.2,3,f
479,storm6,-27.8,-5.31,16.122,2.158,7.5,4,f
480,storm6,-26.54,-2.61,18.358,2.131,8.6,5,f
481,storm6,-26.79,1.47,16.749,2.305,7.3,6,f
