time,P2,P3,P4,P6
2021-07-01 00:00:00,0.049793689000125596,0.07551489699949343,0.13497449599981337,0.04564549399992757
2021-07-01 00:15:00,0.049793689000125596,0.07551489699949343,0.13497449599981337,0.04564549399992757
2021-07-01 00:30:00,0.049793689000125596,0.07551489699949343,0.13497449599981337,0.04564549399992757
2021-07-01 00:45:00,0.049808361000032164,0.07559488299989425,0.1350476559996423,0.0456670639996446
2021-07-01 01:00:00,0.04982303399992816,0.0756748679998509,0.13512081599947123,0.045688633999816375
2021-07-01 01:15:00,0.049771680000048946,0.07539491899956374,0.13486475499985318,0.045613137999680475
2021-07-01 01:30:00,0.049720326000169734,0.0751149689997419,0.13460869399978037,0.04553764299998875
2021-07-01 01:45:00,0.04973499900006573,0.07519495499968798,0.13468185499959873,0.04555921299970578
2021-07-01 02:00:00,0.049749670999972295,0.07527494099963405,0.13475501499942766,0.045580782999877556
2021-07-01 02:15:00,0.04978635299994494,0.07547490499950982,0.13493791599967153,0.04563470899984168
2021-07-01 02:30:00,0.04982303399992816,0.0756748679998509,0.13512081599947123,0.045688633999816375
2021-07-01 02:45:00,0.04984504200001538,0.07579484699977002,0.13523055699943143,0.045720988999619294
2021-07-01 03:00:00,0.04986705100009203,0.0759148249996997,0.13534029699985695,0.045753344999866385
2021-07-01 03:15:00,0.049830370000108815,0.07571486099982394,0.13515739599961307,0.045699418999902264
2021-07-01 03:30:00,0.049793689000125596,0.07551489699949343,0.13497449599981337,0.04564549399992757
2021-07-01 03:45:00,0.049830370000108815,0.07571486099982394,0.13515739599961307,0.045699418999902264
2021-07-01 04:00:00,0.04986705100009203,0.0759148249996997,0.13534029699985695,0.045753344999866385
2021-07-01 04:15:00,0.049889060000168683,0.07603480399961882,0.13545003799981714,0.045785699999669305
2021-07-01 04:30:00,0.04991106799980116,0.0761547819995485,0.1355597779997879,0.04581805499992697
2021-07-01 04:45:00,0.04987438699981794,0.07595481799967274,0.13537687699954404,0.045764129999952274
2021-07-01 05:00:00,0.049837705999834725,0.07575485399979698,0.13519397699974434,0.04571020399998815
2021-07-01 05:15:00,0.049852379000185465,0.07583483999974305,0.13526713699957327,0.04573177399970518
2021-07-01 05:30:00,0.04986705100009203,0.0759148249996997,0.13534029699985695,0.045753344999866385
2021-07-01 05:45:00,0.049881723999988026,0.07599481099964578,0.13541345699968588,0.04577491500003816
2021-07-01 06:00:00,0.049896395999894594,0.07607479599960243,0.13548661799950423,0.045796484999755194
2021-07-01 06:15:00,0.049918404999971244,0.07619477499952154,0.135596357999475,0.04582884000001286
2021-07-01 06:30:00,0.04994041300005847,0.07631475299990598,0.1357060989994352,0.04586119499981578
2021-07-01 06:45:00,0.04994041300005847,0.07631475299990598,0.1357060989994352,0.04586119499981578
2021-07-01 07:00:00,0.04994041300005847,0.07631475299990598,0.1357060989994352,0.04586119499981578
2021-07-01 07:15:00,0.0499257410001519,0.07623476699950515,0.13563293799961684,0.045839624999644
2021-07-01 07:30:00,0.04991106799980116,0.0761547819995485,0.1355597779997879,0.04581805499992697
2021-07-01 07:45:00,0.0499257410001519,0.07623476699950515,0.13563293799961684,0.045839624999644
2021-07-01 08:00:00,0.04994041300005847,0.07631475299990598,0.1357060989994352,0.04586119499981578
2021-07-01 08:15:00,0.04994041300005847,0.07631475299990598,0.1357060989994352,0.04586119499981578
2021-07-01 08:30:00,0.04994041300005847,0.07631475299990598,0.1357060989994352,0.04586119499981578
2021-07-01 08:45:00,0.0499257410001519,0.07623476699950515,0.13563293799961684,0.045839624999644
2021-07-01 09:00:00,0.04991106799980116,0.0761547819995485,0.1355597779997879,0.04581805499992697
2021-07-01 09:15:00,0.049889060000168683,0.07603480399961882,0.13545003799981714,0.045785699999669305
2021-07-01 09:30:00,0.04986705100009203,0.0759148249996997,0.13534029699985695,0.045753344999866385
2021-07-01 09:45:00,0.049852379000185465,0.07583483999974305,0.13526713699957327,0.04573177399970518
2021-07-01 10:00:00,0.049837705999834725,0.07575485399979698,0.13519397699974434,0.04571020399998815
2021-07-01 10:15:00,0.049830370000108815,0.07571486099982394,0.13515739599961307,0.045699418999902264
2021-07-01 10:30:00,0.04982303399992816,0.0756748679998509,0.13512081599947123,0.045688633999816375
2021-07-01 10:45:00,0.049771680000048946,0.07539491899956374,0.13486475499985318,0.045613137999680475
2021-07-01 11:00:00,0.049720326000169734,0.0751149689997419,0.13460869399978037,0.04553764299998875
2021-07-01 11:15:00,0.04969831800008251,0.07499499099981222,0.1344989539998096,0.045505286999741656
2021-07-01 11:30:00,0.04967630900000586,0.07487501299988253,0.1343892129998494,0.04547293199993874
2021-07-01 11:45:00,0.04962495500012665,0.07459506299960594,0.1341331519997766,0.04539743599980284
2021-07-01 12:00:00,0.04957360199978211,0.07431511399977353,0.1338770909997038,0.04532194099965636
2021-07-01 12:15:00,0.049536920999798895,0.07411514999989777,0.13369419099944935,0.04526801499969224
2021-07-01 12:30:00,0.04950023899982625,0.07391518599956726,0.13351128999966022,0.045214089999717544
2021-07-01 12:45:00,0.04946355799984303,0.0737152219996915,0.13332838899941635,0.04516016399975342
2021-07-01 13:00:00,0.049426876999859815,0.07351525799981573,0.13314548799962722,0.045106238999778725
2021-07-01 13:15:00,0.0440211120001095,0.07675467399963054,0.1361084799996206,0.04597983099984049
2021-07-01 13:30:00,0.044615346999989924,0.07999408899991067,0.139071471999614,0.046853423999891675
2021-07-01 13:45:00,0.048217437999710455,0.05863054699989334,0.13203232300020318,0.04914890399959404
