time,P2,P3,P4,P6,,,,
7/1/2021 0:00,0.049793689,0.075514897,0.134974496,0.045645494,4.9793689,7.5514897,13.4974496,4.5645494
7/1/2021 0:15,0.049793689,0.075514897,0.134974496,0.045645494,4.9793689,7.5514897,13.4974496,4.5645494
7/1/2021 0:30,0.049793689,0.075514897,0.134974496,0.045645494,4.9793689,7.5514897,13.4974496,4.5645494
7/1/2021 0:45,0.049808361,0.075594883,0.135047656,0.045667064,4.9808361,7.5594883,13.5047656,4.5667064
7/1/2021 1:00,0.049823034,0.075674868,0.135120816,0.045688634,4.9823034,7.5674868,13.5120816,4.5688634
7/1/2021 1:15,0.04977168,0.075394919,0.134864755,0.045613138,4.977168,7.5394919,13.4864755,4.5613138
7/1/2021 1:30,0.049720326,0.075114969,0.134608694,0.045537643,4.9720326,7.5114969,13.4608694,4.5537643
7/1/2021 1:45,0.049734999,0.075194955,0.134681855,0.045559213,4.9734999,7.5194955,13.4681855,4.5559213
7/1/2021 2:00,0.049749671,0.075274941,0.134755015,0.045580783,4.9749671,7.5274941,13.4755015,4.5580783
7/1/2021 2:15,0.049786353,0.075474905,0.134937916,0.045634709,4.9786353,7.5474905,13.4937916,4.5634709
7/1/2021 2:30,0.049823034,0.075674868,0.135120816,0.045688634,4.9823034,7.5674868,13.5120816,4.5688634
7/1/2021 2:45,0.049845042,0.075794847,0.135230557,0.045720989,4.9845042,7.5794847,13.5230557,4.5720989
7/1/2021 3:00,0.049867051,0.075914825,0.135340297,0.045753345,4.9867051,7.5914825,13.5340297,4.5753345
7/1/2021 3:15,0.04983037,0.075714861,0.135157396,0.045699419,4.983037,7.5714861,13.5157396,4.5699419
7/1/2021 3:30,0.049793689,0.075514897,0.134974496,0.045645494,4.9793689,7.5514897,13.4974496,4.5645494
7/1/2021 3:45,0.04983037,0.075714861,0.135157396,0.045699419,4.983037,7.5714861,13.5157396,4.5699419
7/1/2021 4:00,0.049867051,0.075914825,0.135340297,0.045753345,4.9867051,7.5914825,13.5340297,4.5753345
7/1/2021 4:15,0.04988906,0.076034804,0.135450038,0.0457857,4.988906,7.6034804,13.5450038,4.57857
7/1/2021 4:30,0.049911068,0.076154782,0.135559778,0.045818055,4.9911068,7.6154782,13.5559778,4.5818055
7/1/2021 4:45,0.049874387,0.075954818,0.135376877,0.04576413,4.9874387,7.5954818,13.5376877,4.576413
7/1/2021 5:00,0.049837706,0.075754854,0.135193977,0.045710204,4.9837706,7.5754854,13.5193977,4.5710204
7/1/2021 5:15,0.049852379,0.07583484,0.135267137,0.045731774,4.9852379,7.583484,13.5267137,4.5731774
7/1/2021 5:30,0.049867051,0.075914825,0.135340297,0.045753345,4.9867051,7.5914825,13.5340297,4.5753345
7/1/2021 5:45,0.049881724,0.075994811,0.135413457,0.045774915,4.9881724,7.5994811,13.5413457,4.5774915
7/1/2021 6:00,0.049896396,0.076074796,0.135486618,0.045796485,4.9896396,7.6074796,13.5486618,4.5796485
7/1/2021 6:15,0.049918405,0.076194775,0.135596358,0.04582884,4.9918405,7.6194775,13.5596358,4.582884
7/1/2021 6:30,0.049940413,0.076314753,0.135706099,0.045861195,4.9940413,7.6314753,13.5706099,4.5861195
7/1/2021 6:45,0.049940413,0.076314753,0.135706099,0.045861195,4.9940413,7.6314753,13.5706099,4.5861195
7/1/2021 7:00,0.049940413,0.076314753,0.135706099,0.045861195,4.9940413,7.6314753,13.5706099,4.5861195
7/1/2021 7:15,0.049925741,0.076234767,0.135632938,0.045839625,4.9925741,7.6234767,13.5632938,4.5839625
7/1/2021 7:30,0.049911068,0.076154782,0.135559778,0.045818055,4.9911068,7.6154782,13.5559778,4.5818055
7/1/2021 7:45,0.049925741,0.076234767,0.135632938,0.045839625,4.9925741,7.6234767,13.5632938,4.5839625
7/1/2021 8:00,0.049940413,0.076314753,0.135706099,0.045861195,4.9940413,7.6314753,13.5706099,4.5861195
7/1/2021 8:15,0.049940413,0.076314753,0.135706099,0.045861195,4.9940413,7.6314753,13.5706099,4.5861195
7/1/2021 8:30,0.049940413,0.076314753,0.135706099,0.045861195,4.9940413,7.6314753,13.5706099,4.5861195
7/1/2021 8:45,0.049925741,0.076234767,0.135632938,0.045839625,4.9925741,7.6234767,13.5632938,4.5839625
7/1/2021 9:00,0.049911068,0.076154782,0.135559778,0.045818055,4.9911068,7.6154782,13.5559778,4.5818055
7/1/2021 9:15,0.04988906,0.076034804,0.135450038,0.0457857,4.988906,7.6034804,13.5450038,4.57857
7/1/2021 9:30,0.049867051,0.075914825,0.135340297,0.045753345,4.9867051,7.5914825,13.5340297,4.5753345
7/1/2021 9:45,0.049852379,0.07583484,0.135267137,0.045731774,4.9852379,7.583484,13.5267137,4.5731774
7/1/2021 10:00,0.049837706,0.075754854,0.135193977,0.045710204,4.9837706,7.5754854,13.5193977,4.5710204
7/1/2021 10:15,0.04983037,0.075714861,0.135157396,0.045699419,4.983037,7.5714861,13.5157396,4.5699419
7/1/2021 10:30,0.049823034,0.075674868,0.135120816,0.045688634,4.9823034,7.5674868,13.5120816,4.5688634
7/1/2021 10:45,0.04977168,0.075394919,0.134864755,0.045613138,4.977168,7.5394919,13.4864755,4.5613138
7/1/2021 11:00,0.049720326,0.075114969,0.134608694,0.045537643,4.9720326,7.5114969,13.4608694,4.5537643
7/1/2021 11:15,0.049698318,0.074994991,0.134498954,0.045505287,4.9698318,7.4994991,13.4498954,4.5505287
7/1/2021 11:30,0.049676309,0.074875013,0.134389213,0.045472932,4.9676309,7.4875013,13.4389213,4.5472932
7/1/2021 11:45,0.049624955,0.074595063,0.134133152,0.045397436,4.9624955,7.4595063,13.4133152,4.5397436
7/1/2021 12:00,0.049573602,0.074315114,0.133877091,0.045321941,4.9573602,7.4315114,13.3877091,4.5321941
7/1/2021 12:15,0.049536921,0.07411515,0.133694191,0.045268015,4.9536921,7.411515,13.3694191,4.5268015
7/1/2021 12:30,0.049500239,0.073915186,0.13351129,0.04521409,4.9500239,7.3915186,13.351129,4.521409
7/1/2021 12:45,0.049463558,0.073715222,0.133328389,0.045160164,4.9463558,7.3715222,13.3328389,4.5160164
7/1/2021 13:00,0.049426877,0.073515258,0.133145488,0.045106239,4.9426877,7.3515258,13.3145488,4.5106239
7/1/2021 13:15,0.044021112,0.076754674,0.13610848,0.045979831,4.4021112,7.6754674,13.610848,4.5979831
7/1/2021 13:30,0.044615347,0.079994089,0.139071472,0.046853424,4.4615347,7.9994089,13.9071472,4.6853424
7/1/2021 13:45,0.048217438,0.058630547,0.132032323,0.049148904,4.8217438,5.8630547,13.2032323,4.9148904
7/1/2021 14:00,0.051819528,0.066767004,0.149993174,0.054444383,5.1819528,6.6767004,14.9993174,5.4444383
7/1/2021 14:15,0.05569306,0.076383195,0.16180749,0.060138911,5.569306,7.6383195,16.180749,6.0138911
7/1/2021 14:30,0.053566591,0.085499386,0.181121806,0.065833439,5.3566591,8.5499386,18.1121806,6.5833439
7/1/2021 14:45,0.057424411,0.085821492,0.170440404,0.062684193,5.7424411,8.5821492,17.0440404,6.2684193
