time,P2,P3,P4,P6,avg 
3/1/2023 0:00,0.071622194,0.073637973,0.103985606,0.060210083,0.072630084
3/1/2023 0:15,0.073120501,0.07500917,0.102183675,0.06114897,0.074064836
3/1/2023 0:30,0.074624411,0.076836081,0.10208282,0.062025746,0.075730246
3/1/2023 0:45,0.074624411,0.076836081,0.101071984,0.062840946,0.075730246
3/1/2023 1:00,0.073129057,0.075020049,0.101071984,0.06359506,0.074074553
3/1/2023 1:15,0.074615877,0.076834028,0.101311973,0.064288541,0.075724952
3/1/2023 1:30,0.075612688,0.077087891,0.10208282,0.06489629,0.07635029
3/1/2023 1:45,0.075612688,0.077087891,0.103232146,0.06525348,0.07635029
3/1/2023 2:00,0.078500319,0.07956575,0.104377146,0.065419376,0.079033035
3/1/2023 2:15,0.076115148,0.077226264,0.104377146,0.065725849,0.076670706
3/1/2023 2:30,0.077076308,0.077517235,0.103232146,0.066408364,0.077296772
3/1/2023 2:45,0.075612688,0.077087891,0.102845146,0.0664765,0.07635029
3/1/2023 3:00,0.077076308,0.077517235,0.103225592,0.066794856,0.077296772
3/1/2023 3:15,0.077076308,0.077517235,0.103991598,0.067340692,0.077296772
3/1/2023 3:30,0.078500319,0.07956575,0.103225592,0.068014276,0.079033035
3/1/2023 3:45,0.076106636,0.077223863,0.103225592,0.068580323,0.076665249
3/1/2023 4:00,0.077076308,0.077517235,0.105133756,0.069271332,0.077296772
3/1/2023 4:15,0.079450636,0.080959428,0.105133756,0.069384857,0.080205032
3/1/2023 4:30,0.076603173,0.077368686,0.104755685,0.068799842,0.07698593
3/1/2023 4:45,0.076603173,0.077368686,0.104755685,0.068314296,0.07698593
3/1/2023 5:00,0.078028546,0.078871626,0.104755685,0.068224885,0.078450086
3/1/2023 5:15,0.078028546,0.078871626,0.103612109,0.068038485,0.078450086
3/1/2023 5:30,0.078020408,0.078859639,0.103225592,0.068221914,0.078440023
3/1/2023 5:45,0.079442521,0.080947553,0.105511362,0.068549897,0.080195037
3/1/2023 6:00,0.080859764,0.083015034,0.105511362,0.069281802,0.081937399
3/1/2023 6:15,0.078971644,0.080257719,0.104370615,0.069914744,0.079614682
3/1/2023 6:30,0.078020408,0.078859639,0.104370615,0.070501388,0.078440023
3/1/2023 6:45,0.078020408,0.078859639,0.104370615,0.071124153,0.078440023
3/1/2023 7:00,0.078020408,0.078859639,0.105511362,0.071531556,0.078440023
3/1/2023 7:15,0.078020408,0.078859639,0.104755685,0.07240783,0.078440023
3/1/2023 7:30,0.080390228,0.082331518,0.105517868,0.073509938,0.081360873
3/1/2023 7:45,0.078971644,0.080257719,0.104377146,0.07554032,0.079614682
3/1/2023 8:00,0.080390228,0.082331518,0.104377146,0.077696082,0.081360873
3/1/2023 8:15,0.078020408,0.078859639,0.103612109,0.079937378,0.078440023
3/1/2023 8:30,0.074120685,0.076277716,0.101700936,0.081613934,0.0751992
3/1/2023 8:45,0.076595011,0.077366178,0.10207624,0.082123718,0.076980595
3/1/2023 9:00,0.074120685,0.076277716,0.100545765,0.081699414,0.0751992
3/1/2023 9:15,0.074120685,0.076277716,0.101614156,0.079890894,0.0751992
3/1/2023 9:30,0.070541769,0.072751783,0.104622082,0.077343044,0.071646776
3/1/2023 9:45,0.072119481,0.073936687,0.102771939,0.073694126,0.073028084
3/1/2023 10:00,0.074615877,0.076834028,0.102771939,0.070074765,0.075724952
3/1/2023 10:15,0.073120501,0.07500917,0.102771939,0.067686705,0.074064836
3/1/2023 10:30,0.073120501,0.07500917,0.103985606,0.066157888,0.074064836
3/1/2023 10:45,0.071622194,0.073637973,0.104633234,0.065823444,0.072630084
3/1/2023 11:00,0.070868334,0.073042645,0.104318648,0.065733106,0.07195549
3/1/2023 11:15,0.073120501,0.07500917,0.101623655,0.065429907,0.074064836
3/1/2023 11:30,0.071622194,0.073637973,0.103369107,0.065170573,0.072630084
3/1/2023 11:45,0.069880693,0.072172043,0.105144959,0.064620574,0.071026368
3/1/2023 12:00,0.072119481,0.073936687,0.102771939,0.06406157,0.073028084
3/1/2023 12:15,0.071622194,0.073637973,0.101623655,0.063339286,0.072630084
3/1/2023 12:30,0.071622194,0.073637973,0.101623655,0.062540159,0.072630084
3/1/2023 12:45,0.070541769,0.072751783,0.103369107,0.061836515,0.071646776
3/1/2023 13:00,0.071622194,0.073637973,0.104622082,0.061734504,0.072630084
