Time,VelL,Vel,VelI
2023-03-21 13:00:00,2.7200748765922454e-06,9.203442416859421e-07,3.200210437828026e-07
2023-03-21 13:15:00,,8.024284685517174e-07,3.223813405920903e-07
2023-03-21 13:30:00,,6.844895002576972e-07,3.253292226337808e-07
2023-03-21 13:45:00,,5.696850295780936e-07,3.288352133220132e-07
2023-03-21 14:00:00,,4.607239881390602e-07,3.3285388218741e-07
2023-03-21 14:15:00,,3.599293230851418e-07,3.373165557419154e-07
2023-03-21 14:30:00,,2.6965261274821023e-07,3.4219161923475287e-07
2023-03-21 14:45:00,,1.9201913203769513e-07,3.474430231504256e-07
2023-03-21 15:00:00,,1.28653747474427e-07,3.530219585656926e-07
2023-03-21 15:15:00,,8.058021434874724e-08,3.5890287580789353e-07
2023-03-21 15:30:00,,4.8253695378722766e-08,3.6511306369499473e-07
2023-03-21 15:45:00,,3.1964650073076586e-08,3.717767023188538e-07
2023-03-21 16:00:00,,3.2098031158883926e-08,3.7910720889525553e-07
2023-03-21 16:15:00,,4.890885383152975e-08,3.873252832182077e-07
2023-03-21 16:30:00,,8.250749666499334e-08,3.966351841935875e-07
2023-03-21 16:45:00,,1.3273718306861402e-07,4.0719945931519694e-07
2023-03-21 17:00:00,,1.9896747964261772e-07,4.1915984377896185e-07
2023-03-21 17:15:00,,2.7936591781262473e-07,4.325505161706298e-07
2023-03-21 17:30:00,,3.7056637895450857e-07,4.472693964730006e-07
2023-03-21 17:45:00,,4.6752961242055924e-07,4.6308176807640576e-07
2023-03-21 18:00:00,,5.638889875582657e-07,4.796283892157685e-07
2023-03-21 18:15:00,,6.529261542711876e-07,4.96466953915223e-07
2023-03-21 18:30:00,,7.289885566895986e-07,5.131528337303667e-07
2023-03-21 18:45:00,,7.888082363110305e-07,5.293534822313921e-07
2023-03-21 19:00:00,,8.329246721816953e-07,5.449384246507509e-07
2023-03-21 19:15:00,,8.652984918788977e-07,5.599876214268458e-07
2023-03-21 19:30:00,,8.916953811632172e-07,5.746988013160735e-07
2023-03-21 19:45:00,,9.176353166984921e-07,5.892410341526691e-07
2023-03-21 20:00:00,,9.471451632268601e-07,6.036771192187536e-07
2023-03-21 20:15:00,,9.82602488328146e-07,6.179648792766627e-07
2023-03-21 20:30:00,,1.0252486408643842e-06,6.32018679715518e-07
2023-03-21 20:45:00,,1.0753559977030499e-06,6.457178570805499e-07
2023-03-21 21:00:00,,1.1322373540830561e-06,6.588962511844691e-07
2023-03-21 21:15:00,,1.1949638952048143e-06,6.714245482160416e-07
2023-03-21 21:30:00,,1.262471523474684e-06,6.832134358084686e-07
2023-03-21 21:45:00,,1.3334324645255385e-06,6.941820525896622e-07
2023-03-21 22:00:00,,1.4065856590487728e-06,7.042914072251824e-07
2023-03-21 22:15:00,,1.4806174330434387e-06,7.135113124153134e-07
2023-03-21 22:30:00,,1.5543598938388625e-06,7.218431075717724e-07
2023-03-21 22:45:00,,1.6268126068184094e-06,7.292959965416466e-07
2023-03-21 23:00:00,,1.6970874535230625e-06,7.359110051751014e-07
2023-03-21 23:15:00,,1.7646296027863602e-06,7.417457356174768e-07
2023-03-21 23:30:00,,1.8293275605965471e-06,7.46891471089071e-07
2023-03-21 23:45:00,,1.8909092200242552e-06,7.514463042469818e-07
2023-03-22 00:00:00,,1.949718179602963e-06,7.555531058599122e-07
2023-03-22 00:15:00,,2.0063156313098216e-06,7.59381330405534e-07
2023-03-22 00:30:00,,2.0614430005398933e-06,7.63123538692895e-07
2023-03-22 00:45:00,,2.115938051943102e-06,7.669867395883397e-07
2023-03-22 01:00:00,,2.1701494651540765e-06,7.711472884435173e-07
2023-03-22 01:15:00,,2.224870832971037e-06,7.7580056884236e-07
2023-03-22 01:30:00,,2.2801206202746685e-06,7.810689771996723e-07
2023-03-22 01:45:00,,2.336156417963706e-06,7.870557573269961e-07
2023-03-22 02:00:00,,2.392399519795148e-06,7.937653903071283e-07
2023-03-22 02:15:00,,2.4477557492881013e-06,8.011227797586286e-07
2023-03-22 02:30:00,,2.5013362220550372e-06,8.090274371436753e-07
2023-03-22 02:45:00,,2.5522946535589758e-06,8.173558247579584e-07
2023-03-22 03:00:00,,2.599963438207436e-06,8.259852628957607e-07
2023-03-22 03:15:00,,2.644139380672904e-06,8.348213361563712e-07
2023-03-22 03:30:00,,2.6848867077968522e-06,8.4379491615775e-07
2023-03-22 03:45:00,,2.722828799192191e-06,8.528677146185719e-07
2023-03-22 04:00:00,,2.7581497634346644e-06,8.620175488718464e-07
2023-03-22 04:15:00,,2.791401294166917e-06,8.712502631959766e-07
2023-03-22 04:30:00,,2.8232119956542325e-06,8.805825347604265e-07
2023-03-22 04:45:00,,2.8542000434971808e-06,8.900296071372967e-07
2023-03-22 05:00:00,,2.8848491681156886e-06,8.996139575148971e-07
2023-03-22 05:15:00,,2.915559706890568e-06,9.093712750948162e-07
2023-03-22 05:30:00,,2.9467036670516893e-06,9.193086194525788e-07
2023-03-22 05:45:00,,2.978531990974329e-06,9.293907951298844e-07
2023-03-22 06:00:00,,3.011156376600894e-06,9.3956157704679e-07
2023-03-22 06:15:00,,3.0444611439190316e-06,9.496990644850383e-07
