Time,VelL,Vel,VelI
2023-03-21 13:00:00,5.077697705607218e-06,8.536236552568049e-07,2.836553425469881e-07
2023-03-21 13:15:00,,8.444318706423825e-07,2.855062340880392e-07
2023-03-21 13:30:00,,8.330187435583331e-07,2.874478363635381e-07
2023-03-21 13:45:00,,8.197051149671229e-07,2.89459206606622e-07
2023-03-21 14:00:00,,8.048485906228388e-07,2.9150575576783447e-07
2023-03-21 14:15:00,,7.888555268792968e-07,2.935478371971515e-07
2023-03-21 14:30:00,,7.721412706809722e-07,2.955323935694877e-07
2023-03-21 14:45:00,,7.551410111693174e-07,2.974171067667958e-07
2023-03-21 15:00:00,,7.382778366638256e-07,2.9917080883162e-07
2023-03-21 15:15:00,,7.219599470174935e-07,3.007512936827627e-07
2023-03-21 15:30:00,,7.065409236702473e-07,3.0212826103722367e-07
2023-03-21 15:45:00,,6.923874009979314e-07,3.03264958266538e-07
2023-03-21 16:00:00,,6.797245045117704e-07,3.041559184375725e-07
2023-03-21 16:15:00,,6.687074472342521e-07,3.048100605623823e-07
2023-03-21 16:30:00,,6.594375402278772e-07,3.0524436617167093e-07
2023-03-21 16:45:00,,6.518345129640866e-07,3.0549130276222396e-07
2023-03-21 17:00:00,,6.458255329527879e-07,3.0557847576634786e-07
2023-03-21 17:15:00,,6.4118579351489e-07,3.0553714438359913e-07
2023-03-21 17:30:00,,6.37712126940003e-07,3.0539195340349807e-07
2023-03-21 17:45:00,,6.350616649641572e-07,3.051674741896402e-07
2023-03-21 18:00:00,,6.329944110939978e-07,3.048817308867424e-07
2023-03-21 18:15:00,,6.311551030087498e-07,3.0455264532802465e-07
2023-03-21 18:30:00,,6.290886885249852e-07,3.0419779565597284e-07
2023-03-21 18:45:00,,6.265009255662083e-07,3.038319703005574e-07
2023-03-21 19:00:00,,6.23076867857963e-07,3.034702197951475e-07
2023-03-21 19:15:00,,6.184676502667982e-07,3.0312850407153984e-07
2023-03-21 19:30:00,,6.124027088544812e-07,3.028227987632922e-07
2023-03-21 19:45:00,,6.046591872664195e-07,3.025693442962716e-07
2023-03-21 20:00:00,,5.950724138780091e-07,3.023840297328703e-07
2023-03-21 20:15:00,,5.835147276431289e-07,3.0228209418061083e-07
2023-03-21 20:30:00,,5.699919636343077e-07,3.022741896293135e-07
2023-03-21 20:45:00,,5.544902295083691e-07,3.023689961864533e-07
2023-03-21 21:00:00,,5.370955886207663e-07,3.025679116008212e-07
2023-03-21 21:15:00,,5.178911601780277e-07,3.028703913003436e-07
2023-03-21 21:30:00,,4.971109291033441e-07,3.032701765258309e-07
