Time,VelL,Vel,VelI
2023-03-21 13:00:00,3.952018366377027e-06,8.704185600328444e-07,2.9802031888504086e-07
2023-03-21 13:15:00,,8.711091480432829e-07,2.958283462069847e-07
2023-03-21 13:30:00,,8.751991273472095e-07,2.940152786641203e-07
2023-03-21 13:45:00,,8.822364457400917e-07,2.9257649645666885e-07
2023-03-21 14:00:00,,8.916426147939431e-07,2.915156256760451e-07
2023-03-21 14:15:00,,9.028225437127922e-07,2.908271393308005e-07
2023-03-21 14:30:00,,9.152251271477829e-07,2.904942120789552e-07
2023-03-21 14:45:00,,9.283005059972109e-07,2.90491042845586e-07
2023-03-21 15:00:00,,9.415029830262627e-07,2.907828291434805e-07
2023-03-21 15:15:00,,9.54257822222499e-07,2.9132635692491103e-07
2023-03-21 15:30:00,,9.659562752032088e-07,2.9206934531426384e-07
2023-03-21 15:45:00,,9.76143152996331e-07,2.929579359102469e-07
2023-03-21 16:00:00,,9.845004497948728e-07,2.9394149709094146e-07
2023-03-21 16:15:00,,9.908777803622802e-07,2.9497869124861833e-07
2023-03-21 16:30:00,,9.952134627888754e-07,2.9603486953097215e-07
2023-03-21 16:45:00,,9.975713846691217e-07,2.970870858015793e-07
2023-03-21 17:00:00,,9.980833423150295e-07,2.9811781830182965e-07
2023-03-21 17:15:00,,9.96998319243107e-07,2.991237248527276e-07
2023-03-21 17:30:00,,9.94639393660366e-07,3.0011450098244797e-07
2023-03-21 17:45:00,,9.91366899961975e-07,3.0110146019207787e-07
2023-03-21 18:00:00,,9.875520455933892e-07,3.021015308146226e-07
2023-03-21 18:15:00,,9.835188817345774e-07,3.031327123708069e-07
2023-03-21 18:30:00,,9.79533088436688e-07,3.042076521377349e-07
2023-03-21 18:45:00,,9.757379015230316e-07,3.0533358566386634e-07
2023-03-21 19:00:00,,9.722929898356434e-07,3.065085069703479e-07
2023-03-21 19:15:00,,9.692416963329445e-07,3.0773009072974384e-07
2023-03-21 19:30:00,,9.66689963853066e-07,3.089933392314295e-07
2023-03-21 19:45:00,,9.64805980996105e-07,3.1028921785811116e-07
2023-03-21 20:00:00,,9.636955475769368e-07,3.116077723225746e-07
2023-03-21 20:15:00,,9.63472269975787e-07,3.129312943511121e-07
2023-03-21 20:30:00,,9.641348808671133e-07,3.142408742250288e-07
2023-03-21 20:45:00,,9.656888477355215e-07,3.1550710271905074e-07
2023-03-21 21:00:00,,9.680353565742564e-07,3.1670199061950607e-07
2023-03-21 21:15:00,,9.710145529726803e-07,3.178009805827735e-07
2023-03-21 21:30:00,,9.745408563029148e-07,3.1876389288141387e-07
2023-03-21 21:45:00,,9.784383691520043e-07,3.1956240036142997e-07
