Time,Turbidity,fDOM,P2 (depth),P3(depth),avg depth,q
8/3/2022 13:00,2.07,27.1,0.115056945,0.233369378,0.174213162,0.360062733
8/3/2022 13:15,2.1,27.11,0.11330414,0.233369246,0.173336693,0.317245107
8/3/2022 13:30,2.1,26.93,0.114476818,0.231035737,0.172756277,0.345361263
8/3/2022 13:45,1.99,26.85,0.114478791,0.231036781,0.172757786,0.345410355
8/3/2022 14:00,2.05,26.79,0.112728182,0.231038267,0.171883224,0.30418798
8/3/2022 14:15,2.11,26.84,0.115062236,0.232791198,0.173926717,0.360199309
8/3/2022 14:30,2.04,26.92,0.113888593,0.231617856,0.172753224,0.330995762
8/3/2022 14:45,3.04,27.4,0.119725576,0.235121837,0.177423707,0.499847644
8/3/2022 15:00,18.11,32.36,0.129656869,0.253229725,0.191443297,0.964394513
8/3/2022 15:15,22.16,45.55,0.154755326,0.291765434,0.22326038,4.149896789
8/3/2022 15:30,11.8,64.89,0.15358348,0.290013724,0.221798602,3.897742274
8/3/2022 15:45,10.98,64.42,0.150082443,0.285340206,0.217711325,3.222720205
8/3/2022 16:00,10.06,66.24,0.150082928,0.281836312,0.21595962,3.222806094
8/3/2022 16:30,17.51,71.16,0.154761079,0.290018925,0.222390002,4.151169239
8/3/2022 16:45,16.35,71.75,0.151840831,0.287098495,0.219469663,3.54765638
8/3/2022 17:00,13.79,74.38,0.151842939,0.286519887,0.219181413,3.548062582
8/3/2022 17:15,12.38,76.52,0.153596333,0.285349416,0.219472874,3.900433194
8/3/2022 17:30,11.45,70.75,0.150092524,0.283597922,0.216845223,3.224505862
8/3/2022 17:45,10.63,74.63,0.150093406,0.283598848,0.216846127,3.224662133
8/3/2022 18:00,9.73,73.45,0.150094199,0.281847353,0.215970776,3.224802641
8/3/2022 18:15,9.25,71.92,0.150094684,0.278343077,0.21421888,3.224888578
8/3/2022 18:30,8.51,70.43,0.147170833,0.27717158,0.212171206,2.741927401
8/3/2022 18:45,8.16,69.05,0.147170453,0.277171199,0.212170826,2.741869015
8/3/2022 19:00,7.63,67.8,0.145417449,0.273665774,0.209541611,2.483867645
8/3/2022 19:15,7.52,66.63,0.144835857,0.271912725,0.208374291,2.40311823
8/3/2022 19:30,7.19,65.49,0.143673704,0.271922128,0.207797916,2.248642902
8/3/2022 19:45,7.01,64.56,0.141920791,0.268997681,0.205459236,2.032139641
8/3/2022 20:00,6.63,63.37,0.14191009,0.26724481,0.20457745,2.030876333
8/3/2022 20:15,6.52,60.91,0.140157142,0.267244174,0.203700658,1.833014171
8/3/2022 20:30,6.31,61.48,0.141908701,0.267243526,0.204576113,2.030712405
8/3/2022 20:45,6.05,60.46,0.140736537,0.264319167,0.202527852,1.896449899
8/3/2022 21:00,6.04,59.73,0.138983748,0.262566461,0.200775104,1.710228983
8/3/2022 21:15,5.75,59,0.138993265,0.260813884,0.199903575,1.71119502
8/3/2022 21:30,5.64,58.2,0.138992771,0.262565646,0.200779208,1.711144864
8/3/2022 21:45,5.44,57.57,0.138982103,0.261393827,0.200187965,1.710062053
