SampleID,t0,t1,max_amp,mean_amp,median_amp,impulses_ch6,impulses_ch5,impulses_ch4,impulses_ch3,impulses_ch2,impulses_ch1,ch6_mean,ch6_median,ch5_mean,ch5_median,ch4_mean,ch4_median,ch3_mean,ch3_median,ch2_mean,ch2_median,ch1_mean,ch1_median
1.1,50.0,70.0,0.014003175693368976,0.00567849842436624,0.004666709558963304,0,1,18,151,1196,3617,,,0.056012702773475906,0.056012702773475906,0.17662425401843207,0.18804140858442572,0.371998081424883,0.29906306931781534,1.4536955966377574,1.1946776470946059,5.8147823865510295,4.7787105883784236
1.2,70.0,90.0,0.010890800850407943,0.004821241557980393,0.004113564049354585,0,1,11,103,972,3501,,,0.04356320340163177,0.04356320340163177,0.14678489544762607,0.14139775603525429,0.32808884276820244,0.2752704476803738,1.2342378388429807,1.0530723966347737,4.936951355371923,4.212289586539095
1.3,90.0,100.0,0.02319793488669741,0.009142690045513498,0.006137560808208018,0,4,35,163,788,1749,,,0.09279173954678964,0.09279173954678964,0.2223688877549276,0.1832881635395709,0.5851321629128639,0.39280389172531316,2.3405286516514554,1.5712155669012526,9.362114606605822,6.2848622676050105
2.1,120.0,140.0,0.035345925929864117,0.007850738388149866,0.0040069409325786684,0,11,56,204,1215,3424,,,0.08276625791842951,0.06563377389934018,0.28137760228112124,0.24607721814750716,0.6083721558430085,0.2861574419997874,2.0097890273663657,1.0257768787401391,8.039156109465463,4.1031075149605565
2.2,140.0,155.0,0.024016207968108213,0.006514966172754568,0.0042643556305400395,1,5,26,112,811,2808,0.024016207968108213,0.024016207968108213,0.061687066952672454,0.05011153412963365,0.19687478181427215,0.15900658401719492,0.46344710039377895,0.29196323476723235,1.6678313402251694,1.0916750414182501,6.671325360900678,4.3667001656730005
2.3,160.0,170.0,0.01942212141934298,0.0075773751595888915,0.0053544304928017485,0,3,28,147,700,1838,,,0.06674494934147539,0.06674494934147539,0.16107374150092885,0.10459838097831074,0.48495201021368906,0.3426835515393119,1.9398080408547562,1.3707342061572476,7.759232163419025,5.4829368246289905
3.1,190.0,210.0,0.12653412852816553,0.015222331559222046,0.004505268979918429,10,38,113,312,1212,3306,0.09547797280715625,0.09547797280715625,0.19248440570340328,0.07288529808757438,0.5426060335138196,0.2739119794805104,1.4445985101021082,0.3760519871544792,3.8969168791608437,1.1533488588591179,15.587667516643375,4.6133954354364715
3.2,215.0,230.0,0.051502950973668,0.013752855652249117,0.004570051462256329,2,30,110,279,1032,2570,0.028717702047744056,0.028717702047744056,0.11587567427319685,0.11487080819097623,0.42433091811820917,0.36237611642489,1.0317760232201216,0.6413860655551004,3.520731046975774,1.1699331743376202,14.082924187903096,4.679732697350481
3.3,230.0,250.0,0.050433545477615783,0.009860265591161156,0.004386403807039556,4,20,68,245,1155,3356,0.042099641834455484,0.042099641834455484,0.10745936765490136,0.07163004323413787,0.34298130321038867,0.2726322399109624,0.7598596410099063,0.30558674977872236,2.524227991337256,1.1229193746021264,10.096911965349024,4.491677498408506
4.1,270.0,285.0,0.09684071223176223,0.02941393885022819,0.009540772453244764,12,61,187,490,1019,2258,0.06966947560158873,0.07489860834352621,0.21182245741775077,0.23961231823304704,0.7187668905818616,0.7193866478897057,2.435226103897435,1.6442378151844004,7.529968345658417,2.4424377480306596,30.119873382633667,9.769750992122638
4.2,290.0,310.0,0.04166997421301593,0.009972550906419922,0.006282279574762516,0,15,82,353,1394,3355,,,0.07912050098287736,0.07868481884400413,0.25286216921415033,0.2046539264557969,0.6608468149374306,0.4163389244674229,2.5529730320435,1.6082635711392042,10.211892128174,6.433054284556817
4.3,310.0,330.0,0.06504152876567232,0.01552166752192596,0.009303799963586637,6,32,142,419,1531,3286,0.06203872282456199,0.06203872282456199,0.13350547172294938,0.09268551755362169,0.41039439745539236,0.2793880862353615,1.1778124291511531,0.7374958256973526,3.973546885613046,2.381772790678179,15.894187542452183,9.527091162712717
