SampleID,t0,t1,max_amp,mean_amp,median_amp,impulses_ch6,impulses_ch5,impulses_ch4,impulses_ch3,impulses_ch2,impulses_ch1
1.1,50.0,70.0,0.008909198885697538,0.0036147518972306164,0.002971637489455412,0,0,5,25,163,619
1.2,70.0,90.0,0.006929271561382901,0.003068877366709084,0.0026196408724870886,0,0,1,18,130,632
1.3,90.0,100.0,0.014738589642889478,0.005817317517550675,0.003906245390112088,0,1,5,31,132,313
2.1,120.0,140.0,0.02251868705659361,0.004999135416018829,0.0025500654296637484,0,2,10,46,151,608
2.2,140.0,155.0,0.015294867364859079,0.004148474353452284,0.0027142696444465413,0,1,5,18,102,452
2.3,160.0,170.0,0.012363766214190034,0.004824296627893069,0.003407436149708388,0,0,5,25,106,304
3.1,190.0,210.0,0.08092784367750303,0.009692426959784317,0.002868807676894805,2,7,28,64,172,583
3.2,215.0,230.0,0.032770825255961894,0.008753788295394267,0.00290944801247943,0,4,25,62,164,454
3.3,230.0,250.0,0.03208803277246678,0.006276138289586997,0.002792722276254679,0,3,17,48,181,623
4.1,270.0,285.0,0.06172031073150164,0.018726182693238135,0.006076017108297158,1,14,55,111,177,396
4.2,290.0,310.0,0.026521207525888917,0.006349524843329856,0.0039986183445893326,0,3,14,69,203,560
4.3,310.0,330.0,0.04147336855810919,0.009883412335306409,0.005921182970930924,0,6,34,95,226,594
