Date (MM/DD/YYYY),Time (HH:mm:ss),fDOM QSU,Turbidity FNU
7/23/2021,0:00:00,219.73,1.56
7/23/2021,0:15:00,219.5,1.5
7/23/2021,0:30:00,219.3,1.52
7/23/2021,0:45:00,218.97,1.51
7/23/2021,1:00:00,218.76,1.5
7/23/2021,1:15:00,218.55,1.5
7/23/2021,1:30:00,218.09,1.48
7/23/2021,1:45:00,217.87,1.49
7/23/2021,2:00:00,217.64,1.48
7/23/2021,2:15:00,217.43,1.45
7/23/2021,2:30:00,217.32,1.46
7/23/2021,2:45:00,216.82,1.48
7/23/2021,3:00:00,216.66,1.45
7/23/2021,3:15:00,216.38,1.44
7/23/2021,3:30:00,216.06,1.45
7/23/2021,3:45:00,215.84,1.45
7/23/2021,4:00:00,215.43,1.45
7/23/2021,4:15:00,215.15,1.44
7/23/2021,4:30:00,214.79,1.43
7/23/2021,4:45:00,214.52,1.42
7/23/2021,5:00:00,214.34,1.45
7/23/2021,5:15:00,214.32,1.42
7/23/2021,5:30:00,214.01,1.42
7/23/2021,5:45:00,213.7,1.44
7/23/2021,6:00:00,213.44,1.46
7/23/2021,6:15:00,213.28,1.47
7/23/2021,6:30:00,213.23,1.46
7/23/2021,6:45:00,213.5,1.45
7/23/2021,7:00:00,213.61,1.48
7/23/2021,7:15:00,213.98,1.48
7/23/2021,7:30:00,214.03,1.49
7/23/2021,7:45:00,213.93,1.46
7/23/2021,8:00:00,213.88,1.44
7/23/2021,8:15:00,213.72,1.45
7/23/2021,8:30:00,213.33,1.45
7/23/2021,8:45:00,212.95,1.44
7/23/2021,9:00:00,212.34,1.45
7/23/2021,9:15:00,211.42,1.49
7/23/2021,9:30:00,210.73,1.46
7/23/2021,9:45:00,209.87,1.46
7/23/2021,10:00:00,208.91,1.45
7/23/2021,10:15:00,207.89,1.44
7/23/2021,10:30:00,206.3,1.46
7/23/2021,10:45:00,204.98,1.47
7/23/2021,11:00:00,203.67,1.49
7/23/2021,11:15:00,202.09,1.47
7/23/2021,11:30:00,200.85,1.47
7/23/2021,11:45:00,199.86,1.48
7/23/2021,12:00:00,199.12,1.49
7/23/2021,12:15:00,198.42,1.5
