Date (MM/DD/YYYY),Time (HH:mm:ss),fDOM QSU,Turbidity FNU
7/29/2023,14:00:00,20.86,10.02
7/29/2023,14:05:00,21.77,9.48
7/29/2023,14:10:00,23.33,9.13
7/29/2023,14:15:00,24.16,9.09
7/29/2023,14:20:00,24.8,8.66
7/29/2023,14:25:00,25.22,8.55
7/29/2023,14:30:00,24.72,9.19
7/29/2023,14:45:00,21.77,21.34
7/29/2023,14:50:00,20.14,30.22
7/29/2023,14:55:00,19.79,34.21
7/29/2023,15:00:00,20.04,35.97
7/29/2023,15:05:00,20.82,36.4
7/29/2023,15:10:00,21.8,36.35
7/29/2023,15:15:00,22.5,34.74
7/29/2023,15:20:00,23.55,34.7
7/29/2023,15:25:00,24.51,35.12
7/29/2023,15:30:00,24.96,34.85
7/29/2023,15:35:00,26.01,34.1
7/29/2023,15:40:00,26.69,32
7/29/2023,15:45:00,27.68,29.77
7/29/2023,15:50:00,28.71,27.3
7/29/2023,15:55:00,29.56,24.92
7/29/2023,16:00:00,30.34,23.05
7/29/2023,16:05:00,31.13,20.46
7/29/2023,16:10:00,31.71,19.65
7/29/2023,16:15:00,32.12,17.87
7/29/2023,16:20:00,32.47,17.22
7/29/2023,16:25:00,32.98,16.07
7/29/2023,16:30:00,33.43,15.41
7/29/2023,16:35:00,33.68,16.65
7/29/2023,16:40:00,33.97,12.37
7/29/2023,16:45:00,34.05,13.21
7/29/2023,16:50:00,34.47,12.67
7/29/2023,16:55:00,34.83,12.04
7/29/2023,17:00:00,34.92,11.55
7/29/2023,17:05:00,35.35,11.22
7/29/2023,17:10:00,35.71,10.8
7/29/2023,17:15:00,35.86,10.58
7/29/2023,17:20:00,35.97,10.74
7/29/2023,17:25:00,36.37,10.44
7/29/2023,17:30:00,36.7,9.73
7/29/2023,17:35:00,36.88,9.71
7/29/2023,17:40:00,37.14,9.37
7/29/2023,17:45:00,37.24,9.06
7/29/2023,18:00:00,37.67,8.61
7/29/2023,18:15:00,38.19,8.09
7/29/2023,18:30:00,38.48,8.32
7/29/2023,18:45:00,43.05,9.92
7/29/2023,19:00:00,37.48,10.11
7/29/2023,19:05:00,37.69,9.19
7/29/2023,19:10:00,37.26,9.49
7/29/2023,19:15:00,34.71,16.79
7/29/2023,19:20:00,35.99,13.13
7/29/2023,19:25:00,35.08,15.37
7/29/2023,19:30:00,34.74,14.81
7/29/2023,19:35:00,35.43,10.92
7/29/2023,19:40:00,35.72,7.87
7/29/2023,19:45:00,36.4,7.43
7/29/2023,19:50:00,36,7.32
7/29/2023,19:55:00,35.15,6.94
7/29/2023,20:00:00,35.57,6.69
7/29/2023,20:15:00,34.6,6.47
7/29/2023,20:30:00,34.56,5.97
7/29/2023,20:45:00,33.67,5.74
7/29/2023,21:00:00,32.85,5.63
7/29/2023,21:15:00,31.42,5.51
7/29/2023,21:30:00,31.05,5.49
7/29/2023,21:45:00,30.61,5.31
7/29/2023,22:00:00,29.97,5.2
7/29/2023,22:15:00,29.27,5.06
7/29/2023,22:30:00,28.91,4.74
7/29/2023,22:45:00,27.78,4.7
7/29/2023,23:00:00,27.65,4.63
7/29/2023,23:15:00,27.18,4.74
7/29/2023,23:30:00,26.79,4.51
7/29/2023,23:45:00,26.16,4.46
7/30/2023,0:00:00,25.85,4.4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
