Iteration,Time (s),Head A (m),Head B (m),Flow Rate Siphon 1 (m^3/s),Flow Rate Siphon 2 (m^3/s),Flow Rate Siphon 3 (m^3/s),Flow Rate Siphon 4 (m^3/s),Total Flow Rate (m^3/s)
0,0,0.9,0.9,0.004258513874202809,0.0,0.0,0.0,0.004258513874202809
1,10,0.8941636912350357,0.9,0.004244683637392583,0.0,0.0,0.0,0.004244683637392583
2,20,0.8883463368599598,0.9,0.004230853327169382,0.0,0.0,0.0,0.004230853327169382
3,30,0.882547936975385,0.9,0.004217022943051281,0.0,0.0,0.0,0.004217022943051281
4,40,0.8767684916825847,0.9,0.004203192484551586,0.0,0.0,0.0,0.004203192484551586
5,50,0.8710080010834992,0.9,0.004189361951178778,0.0,0.0,0.0,0.004189361951178778
6,60,0.8652664652807421,0.9,0.0041755313424364495,0.0,0.0,0.0,0.0041755313424364495
7,70,0.8595438843776079,0.9,0.004161700657823232,0.0,0.0,0.0,0.004161700657823232
8,80,0.8538402584780777,0.9,0.004147869896832739,0.0,0.0,0.0,0.004147869896832739
9,90,0.8481555876868269,0.9,0.004134039058953495,0.0,0.0,0.0,0.004134039058953495
10,100,0.8424898721092319,0.9,0.004120208143668863,0.0,0.0,0.0,0.004120208143668863
11,110,0.8368431118513769,0.9,0.00410637715045698,0.0,0.0,0.0,0.00410637715045698
12,120,0.8312153070200617,0.9,0.004092546078790685,0.004092546078790685,0.0,0.0,0.00818509215758137
13,130,0.8199976084255548,0.9,0.004064836715416438,0.004064836715416438,0.0,0.0,0.008129673430832877
14,140,0.8088558613977728,0.9,0.004037126708193742,0.004037126708193742,0.0,0.0,0.008074253416387484
15,150,0.7977900677015088,0.9,0.0040094160482078535,0.0040094160482078535,0.0,0.0,0.008018832096415707
16,160,0.7868002291259918,0.9,0.003981704726357376,0.003981704726357376,0.0,0.0,0.007963409452714752
17,170,0.7758863474853972,0.9,0.003953992733349004,0.003953992733349004,0.0,0.0,0.007907985466698008
18,180,0.7650484246193738,0.9,0.003926280059692081,0.003926280059692081,0.0,0.0,0.007852560119384162
19,190,0.7542864623935842,0.9,0.003898566695692972,0.003898566695692972,0.0,0.0,0.007797133391385944
