Iteration,Time (s),Head A (m),Head B (m),Flow Rate Siphon 1 (m^3/s),Flow Rate Siphon 2 (m^3/s),Flow Rate Siphon 3 (m^3/s),Flow Rate Siphon 4 (m^3/s),Total Flow Rate (m^3/s)
20,200,0.7436004627002614,0.9,0.003870852631449227,0.003870852631449227,0.0,0.0,0.007741705262898454
21,210,0.732990427458781,0.9,0.0038431378568435314,0.0038431378568435314,0.0,0.0,0.007686275713687063
22,220,0.7224563586162502,0.9,0.0038154223615374447,0.0038154223615374447,0.0,0.0,0.007630844723074889
23,230,0.7119982581481142,0.9,0.0037877061349648974,0.0037877061349648974,0.0,0.0,0.007575412269929795
24,240,0.7016161280587796,0.9,0.003759989166325458,0.003759989166325458,0.004258513874202809,0.0,0.011778492206853725
25,250,0.6913099703822572,0.8941636912350357,0.003732271444577339,0.003732271444577339,0.004244683637392583,0.0,0.01170922652654726
26,260,0.6810797871828232,0.8883463368599598,0.0037045529584301506,0.0037045529584301506,0.004230853327169382,0.0,0.011639959244029684
27,270,0.6709255805557013,0.882547936975385,0.003676833696337367,0.003676833696337367,0.004217022943051281,0.0,0.011570690335726014
28,280,0.6608473526277637,0.8767684916825847,0.0036491136464885184,0.0036491136464885184,0.004203192484551586,0.0,0.011501419777528624
29,290,0.6508451055582558,0.8710080010834992,0.0036213927968010754,0.0036213927968010754,0.004189361951178778,0.0,0.011432147544780929
30,300,0.6409188415395408,0.8652664652807421,0.0035936711349120174,0.0035936711349120174,0.0041755313424364495,0.0,0.011362873612260484
31,310,0.6310685627978694,0.8595438843776079,0.0035659486481690763,0.0035659486481690763,0.004161700657823232,0.0,0.011293597954161384
32,320,0.6212942715941719,0.8538402584780777,0.003538225323621636,0.003538225323621636,0.004147869896832739,0.0,0.011224320544076011
33,330,0.6115959702248768,0.8481555876868269,0.0035105011480112648,0.0035105011480112648,0.004134039058953495,0.0,0.011155041354976025
34,340,0.6019736610227535,0.8424898721092319,0.003482776107761873,0.003482776107761873,0.004120208143668863,0.0,0.01108576035919261
35,350,0.592427346357784,0.8368431118513769,0.0034550501889694767,0.0034550501889694767,0.00410637715045698,0.0,0.011016477528395933
36,360,0.5829570286380611,0.8312153070200617,0.003427323377391537,0.003427323377391537,0.004092546078790685,0.004092546078790685,0.015039738912364445
37,370,0.5735627103107164,0.8199976084255548,0.0033995956584358744,0.0033995956584358744,0.004064836715416438,0.004064836715416438,0.014928864747704626
38,380,0.5642443938628788,0.8088558613977728,0.003371867017149109,0.003371867017149109,0.004037126708193742,0.004037126708193742,0.014817987450685702
39,390,0.5550020818226648,0.7977900677015088,0.0033441374382046354,0.0033441374382046354,0.0040094160482078535,0.0040094160482078535,0.014707106972824978
40,400,0.5458357767602008,0.7868002291259918,0.0033164069058900817,0.0033164069058900817,0.003981704726357376,0.003981704726357376,0.014596223264494916
41,410,0.5367454812886812,0.7758863474853972,0.0032886754040942394,0.0032886754040942394,0.003953992733349004,0.003953992733349004,0.014485336274886487
42,420,0.5277311980654612,0.7650484246193738,0.003260942916293438,0.003260942916293438,0.003926280059692081,0.003926280059692081,0.01437444595197104
43,430,0.5187929297931876,0.7542864623935842,0.003233209425537325,0.003233209425537325,0.003898566695692972,0.003898566695692972,0.014263552242460592
44,440,0.5099306792209682,0.7436004627002614,0.003205474914434037,0.003205474914434037,0.003870852631449227,0.003870852631449227,0.014152655091766529
45,450,0.5011444491455822,0.732990427458781,0.003177739365134711,0.003177739365134711,0.0038431378568435314,0.0038431378568435314,0.014041754443956484
46,460,0.4924342424127323,0.7224563586162502,0.003150002759317315,0.003150002759317315,0.0038154223615374447,0.0038154223615374447,0.013930850241709519
47,470,0.4838000619183423,0.7119982581481142,0.003122265078169757,0.003122265078169757,0.0037877061349648974,0.0037877061349648974,0.013819942426269308
48,480,0.47524191060989995,0.7016161280587796,0.0030945263023722295,0.0030945263023722295,0.003759989166325458,0.003759989166325458,0.013709030937395374
49,490,0.46675979148784885,0.6913099703822572,0.003066786412078753,0.003066786412078753,0.003732271444577339,0.003732271444577339,0.013598115713312185
50,500,0.4583537076070305,0.6810797871828232,0.0030390453868978707,0.0030390453868978707,0.0037045529584301506,0.0037045529584301506,0.013487196690656043
51,510,0.45002366207817945,0.6709255805557013,0.0030113032058724535,0.0030113032058724535,0.003676833696337367,0.003676833696337367,0.013376273804419641
52,520,0.4417696580694741,0.6608473526277637,0.0029835598474585554,0.0029835598474585554,0.0036491136464885184,0.0036491136464885184,0.013265346987894147
53,530,0.4335916988081448,0.6508451055582558,0.0029558152895032726,0.0029558152895032726,0.0036213927968010754,0.0036213927968010754,0.013154416172608697
54,540,0.4254897875821432,0.6409188415395408,0.002928069509221547,0.002928069509221547,0.0035936711349120174,0.0035936711349120174,0.013043481288267128
55,550,0.41746392774187496,0.6310685627978694,0.002900322483171856,0.002900322483171856,0.0035659486481690763,0.0035659486481690763,0.012932542262681866
56,560,0.4095141227019992,0.6212942715941719,0.0028725741872307185,0.0028725741872307185,0.003538225323621636,0.003538225323621636,0.012821599021704709
57,570,0.40164037594329766,0.6115959702248768,0.0028448245965659483,0.0028448245965659483,0.0035105011480112648,0.0035105011480112648,0.012710651489154425
58,580,0.3938426910146171,0.6019736610227535,0.0028170736856085884,0.0028170736856085884,0.003482776107761873,0.003482776107761873,0.012599699586740922
59,590,0.3861210715348892,0.592427346357784,0.002789321428023435,0.002789321428023435,0.0034550501889694767,0.0034550501889694767,0.012488743233985824
60,600,0.3784755211952306,0.5829570286380611,0.002761567796678071,0.002761567796678071,0.003427323377391537,0.003427323377391537,0.012377782348139217
61,610,0.37090604376112796,0.5735627103107164,0.002733812763610324,0.002733812763610324,0.0033995956584358744,0.0033995956584358744,0.012266816844092397
62,620,0.36341264307471255,0.5642443938628788,0.0027060562999940336,0.0027060562999940336,0.003371867017149109,0.003371867017149109,0.012155846634286285
63,630,0.3559953230571284,0.5550020818226648,0.002678298376103047,0.002678298376103047,0.0033441374382046354,0.0033441374382046354,0.012044871628615367
64,640,0.348654087710999,0.5458357767602008,0.0026505389612733058,0.0026505389612733058,0.0033164069058900817,0.0033164069058900817,0.011933891734326775
65,650,0.34138894112299834,0.5367454812886812,0.0026227780238629182,0.0026227780238629182,0.0032886754040942394,0.0032886754040942394,0.011822906855914316
66,660,0.3341998874665311,0.5277311980654612,0.0025950155312100833,0.0025950155312100833,0.003260942916293438,0.003260942916293438,0.011711916895007042
67,670,0.3270869310045281,0.5187929297931876,0.0025672514495887182,0.0025672514495887182,0.003233209425537325,0.003233209425537325,0.011600921750252086
68,680,0.32005007609236374,0.5099306792209682,0.0025394857441616504,0.0025394857441616504,0.003205474914434037,0.003205474914434037,0.011489921317191376
69,690,0.31308932718090116,0.5011444491455822,0.0025117183789312007,0.0025117183789312007,0.003177739365134711,0.003177739365134711,0.011378915488131823
70,700,0.30620468881967355,0.4924342424127323,0.002483949316686987,0.002483949316686987,0.003150002759317315,0.003150002759317315,0.011267904152008604
71,710,0.29939616566020805,0.4838000619183423,0.002456178518950756,0.002456178518950756,0.003122265078169757,0.003122265078169757,0.011156887194241027
72,720,0.2926637624595008,0.47524191060989995,0.0024284059459180364,0.0024284059459180364,0.0030945263023722295,0.0030945263023722295,0.011045864496580533
73,730,0.2860074840836525,0.46675979148784885,0.002400631556396397,0.002400631556396397,0.003066786412078753,0.003066786412078753,0.0109348359369503
74,740,0.2794273355116725,0.4583537076070305,0.0023728553077400623,0.0023728553077400623,0.0030390453868978707,0.0030390453868978707,0.010823801389275866
75,750,0.27292332183946244,0.45002366207817945,0.0023450771557806246,0.0023450771557806246,0.0030113032058724535,0.0030113032058724535,0.010712760723306156
76,760,0.2664954482839901,0.4417696580694741,0.002317297054753581,0.002317297054753581,0.0029835598474585554,0.0029835598474585554,0.010601713804424272
77,770,0.2601437201876639,0.4335916988081448,0.002289514957220369,0.002289514957220369,0.0029558152895032726,0.0029558152895032726,0.010490660493447282
78,780,0.2538681430229218,0.4254897875821432,0.0022617308139855877,0.0022617308139855877,0.002928069509221547,0.002928069509221547,0.010379600646414269
79,790,0.2476687223970467,0.41746392774187496,0.002233944574009026,0.002233944574009026,0.002900322483171856,0.002900322483171856,0.010268534114361764
80,800,0.24154546405722307,0.4095141227019992,0.002206156184312105,0.002206156184312105,0.0028725741872307185,0.0028725741872307185,0.010157460743085647
81,810,0.23549837389585007,0.40164037594329766,0.0021783655898783144,0.0021783655898783144,0.0028448245965659483,0.0028448245965659483,0.010046380372888526
82,820,0.22952745795612753,0.3938426910146171,0.002150572733547159,0.002150572733547159,0.0028170736856085884,0.0028170736856085884,0.009935292838311495
83,830,0.22363272243793256,0.3861210715348892,0.002122777555901105,0.002122777555901105,0.002789321428023435,0.002789321428023435,0.00982419796784908
84,840,0.21781417370400621,0.3784755211952306,0.0020949799951449676,0.0020949799951449676,0.002761567796678071,0.002761567796678071,0.009713095583646077
85,850,0.21207181828647056,0.37090604376112796,0.002067179986977127,0.002067179986977127,0.002733812763610324,0.002733812763610324,0.0096019855011749
86,860,0.20640566289369894,0.36341264307471255,0.0020393774644518795,0.0020393774644518795,0.0027060562999940336,0.0027060562999940336,0.009490867528891826
87,870,0.20081571441756327,0.3559953230571284,0.0020115723578322123,0.0020115723578322123,0.002678298376103047,0.002678298376103047,0.009379741467870519
88,880,0.19530197994108517,0.348654087710999,0.0019837645944321557,0.0019837645944321557,0.0026505389612733058,0.0026505389612733058,0.009268607111410924
89,890,0.18986446674651902,0.34138894112299834,0.0019559540984478417,0.0019559540984478417,0.0026227780238629182,0.0026227780238629182,0.00915746424462152
90,900,0.18450318232389817,0.3341998874665311,0.0019281407907762653,0.0019281407907762653,0.0025950155312100833,0.0025950155312100833,0.009046312643972697
91,910,0.1792181343800779,0.3270869310045281,0.0019003245888206672,0.0019003245888206672,0.0025672514495887182,0.0025672514495887182,0.008935152076818772
92,920,0.17400933084831174,0.32005007609236374,0.0018725054062813256,0.0018725054062813256,0.0025394857441616504,0.0025394857441616504,0.008823982300885953
93,930,0.16887677989840147,0.31308932718090116,0.0018446831529304291,0.0018446831529304291,0.0025117183789312007,0.0025117183789312007,0.00871280306372326
94,940,0.16382048994746387,0.30620468881967355,0.0018168577343695498,0.0018168577343695498,0.002483949316686987,0.002483949316686987,0.008601614102113074
95,950,0.1588404696713626,0.29939616566020805,0.0017890290517680767,0.0017890290517680767,0.002456178518950756,0.002456178518950756,0.008490415141437665
96,960,0.15393672801685662,0.2926637624595008,0.0017611970015807838,0.0017611970015807838,0.0024284059459180364,0.0024284059459180364,0.008379205894997641
97,970,0.14910927421452325,0.2860074840836525,0.0017333614752424985,0.0017333614752424985,0.002400631556396397,0.002400631556396397,0.00826798606327779
98,980,0.14435811779251762,0.2794273355116725,0.001705522358837609,0.001705522358837609,0.0023728553077400623,0.0023728553077400623,0.008156755333155343
99,990,0.13968326859123845,0.27292332183946244,0.0016776795327418704,0.0016776795327418704,0.0023450771557806246,0.0023450771557806246,0.00804551337704499
