Iteration,Time (s),Head A (m),Head B (m),Head C (m),Flow Rate Siphon 1 (m^3/s),Flow Rate Siphon 2 (m^3/s),Flow Rate Siphon 3 (m^3/s),Flow Rate Siphon 4 (m^3/s),Flow Rate Pump (m^3/s),Total Flow Rate (m^3/s)
0,0,0.9,0.9,0.9,0.0012775541622608428,0.0012775541622608428,0.0,0.0,0.0,0.0025551083245216855
1,10,0.8964982147410214,0.9,0.9,0.0012750663397673124,0.0012750663397673124,0.0,0.0,0.0,0.002550132679534625
2,20,0.8930032486216082,0.9,0.9,0.0012725785125382992,0.0012725785125382992,0.0,0.0,0.0,0.0025451570250765985
3,30,0.8895151016547403,0.9,0.9,0.0012700906805552423,0.0012700906805552423,0.0,0.0,0.0,0.0025401813611104847
4,40,0.8860337738534487,0.9,0.9,0.0012676028437994722,0.0012676028437994722,0.0,0.0,0.0,0.0025352056875989444
5,50,0.8825592652308154,0.9,0.9,0.0012651150022522084,0.0012651150022522084,0.0,0.0,0.0,0.002530230004504417
6,60,0.8790915757999739,0.9,0.9,0.0012626271558945602,0.0012626271558945602,0.0,0.0,0.0,0.0025252543117891203
7,70,0.8756307055741095,0.9,0.9,0.001260139304707523,0.001260139304707523,0.0,0.0,0.0,0.002520278609415046
8,80,0.8721766545664597,0.9,0.9,0.0012576514486719824,0.0012576514486719824,0.0,0.0,0.0,0.002515302897343965
9,90,0.8687294227903141,0.9,0.9,0.0012551635877687073,0.0012551635877687073,0.0,0.0,0.0,0.0025103271755374146
10,100,0.8652890102590153,0.9,0.9,0.0012526757219783538,0.0012526757219783538,0.0,0.0,0.0,0.0025053514439567076
11,110,0.8618554169859588,0.9,0.9,0.0012501878512814612,0.0012501878512814612,0.0,0.0,0.0,0.0025003757025629223
12,120,0.8584286429845934,0.9,0.9,0.001247699975658453,0.001247699975658453,0.0012775541622608428,0.0012775541622608428,0.0,0.005050508275838592
13,130,0.8550086882684217,0.8921138631959208,0.9,0.0012452120950896355,0.0012452120950896355,0.0012719446432152425,0.0012775541622608428,0.0,0.005039922995655356
14,140,0.8515955528510002,0.8842450397222291,0.9,0.0012427242095551956,0.0012427242095551956,0.0012663226725125774,0.0012775541622608428,0.0,0.005029325253883812
15,150,0.8481892367459396,0.8763935680099655,0.9,0.0012402363190352021,0.0012402363190352021,0.0012606881112118115,0.0012775541622608428,0.0,0.0050187149115430586
16,160,0.8447897399669054,0.8685594869190005,0.9,0.0012377484235096025,0.0012377484235096025,0.0012550408178104485,0.0012775541622608428,0.0,0.005008091827090496
17,170,0.8413970625276181,0.860742835745941,0.9,0.0012352605229582236,0.0012352605229582236,0.0012493806481781691,0.0012775541622608428,0.0,0.004997455856355459
18,180,0.8380112044418534,0.8529436542322404,0.9,0.00123277261736077,0.00123277261736077,0.001243707455488244,0.0012775541622608428,0.0,0.004986806852470627
19,190,0.8346321657234425,0.845161982572521,0.9,0.0012302847066968223,0.0012302847066968223,0.0012380210901466295,0.0012775541622608428,0.0,0.0049761446658011165
20,200,0.8312599463862727,0.8373978614231152,0.9,0.0012277967909458383,0.0012277967909458383,0.0012323213997186518,0.0012775541622608428,0.0,0.004965469143871171
21,210,0.8278945464442876,0.8296513319108328,0.9,0.0012253088700871489,0.0012253088700871489,0.0012266082288531785,0.0012775541622608428,0.0,0.004954780131288319
22,220,0.8245359659114876,0.8219224356419624,0.9,0.0012228209440999602,0.0012228209440999602,0.0012208814192041708,0.0012775541622608428,0.0,0.004944077469664934
23,230,0.8211842048019298,0.8142112147115148,0.9,0.0012203330129633499,0.0012203330129633499,0.0012151408093495017,0.0012775541622608428,0.0,0.004933360997537045
24,240,0.8178392631297289,0.8065177117127175,0.9,0.0012178450766562679,0.0012178450766562679,0.001209386234706933,0.0012775541622608428,0.006,0.010922630550280312
25,250,0.8145011409090571,0.7988419697467676,0.8814814814814815,0.001215357135157535,0.001215357135157535,0.001203617527447115,0.001264342285346801,0.006,0.010898674083108986
26,260,0.8111698381541449,0.791224809830737,0.862962962962963,0.001212869188445841,0.001212869188445841,0.0011978653840293066,0.001250990883868439,0.006,0.010874594644789428
27,270,0.8078453548792809,0.7836666114730279,0.8444444444444446,0.0012103812364997442,0.0012103812364997442,0.0011921303328781437,0.001237495441821062,0.006,0.010850388247698694
28,280,0.8045276910988127,0.7761677664893883,0.8259259259259261,0.0012078932792976705,0.0012078932792976705,0.0011864129213182309,0.0012238511941955494,0.006,0.010826050674109121
29,290,0.8012168468271471,0.7687286797131112,0.8074074074074076,0.0012054053168179125,0.0012054053168179125,0.0011807137164980151,0.0012100531073220876,0.006,0.010801577457455927
30,300,0.7979128220787501,0.7613497697630491,0.7888888888888891,0.001202917349038627,0.001202917349038627,0.0011750333063781815,0.0011960958571727463,0.006,0.010776963861628183
31,310,0.7946156168681479,0.7540314698755463,0.7703703703703706,0.0012004293759378356,0.0012004293759378356,0.0011693723007908318,0.0011819738053577048,0.006,0.010752204858024209
32,320,0.7913252312099266,0.7467742288071866,0.7518518518518521,0.001197941397493423,0.001197941397493423,0.0011637313325765333,0.001167680972508219,0.006,0.010727295100071598
33,330,0.7880416651187332,0.7395785118161843,0.7333333333333336,0.0011954534136831352,0.0011954534136831352,0.0011581110588072163,0.0011532110086899569,0.006,0.010702228894863445
34,340,0.7847649186092756,0.7324448017313164,0.7148148148148151,0.0011929654244845788,0.0011929654244845788,0.001152512162103987,0.0011385571604314272,0.006,0.010677000171504572
35,350,0.781494991696323,0.7253736001185528,0.6962962962962966,0.0011904774298752202,0.0011904774298752202,0.0011469353520601577,0.0011237122338818074,0.006,0.010651602445692406
36,360,0.7782318843947066,0.7183654285570035,0.6777777777777781,0.001187989429832384,0.001187989429832384,0.0011413813667812492,0.0011086685535278832,0.006,0.0106260287799739
37,370,0.7749755967193195,0.7114208300375309,0.6592592592592597,0.0011855014243332524,0.0011855014243332524,0.0011358509745554321,0.0010934179157977867,0.006,0.010600271739019724
38,380,0.7717261286851175,0.7045403704994037,0.6407407407407412,0.0011830134133548622,0.0011830134133548622,0.001130344975669873,0.0010779515367554994,0.006,0.010574323339135097
39,390,0.7684834803071192,0.6977246405227822,0.6222222222222227,0.0011805253968741063,0.0011805253968741063,0.0011248642043908403,0.001062259992939351,0.006,0.010548174991078404
40,400,0.7652476516004068,0.690974257197689,0.6037037037037042,0.0011780373748677302,0.0011780373748677302,0.0011194095311282376,0.0010463331542130724,0.006,0.01052181743507677
41,410,0.7620186425801259,0.6842898661935491,0.5851851851851857,0.001175549347312332,0.001175549347312332,0.0011139818648086192,0.00103016010727044,0.006,0.010495240666703723
42,420,0.7587964532614864,0.6776721440575026,0.5666666666666672,0.0011730613141843608,0.0011730613141843608,0.0011085821554847836,0.0010137290681525369,0.006,0.010468433852006041
43,430,0.7555810836597628,0.6711218007746714,0.5481481481481487,0.0011705732754601148,0.0011705732754601148,0.0011032113972149356,0.0009970272817848957,0.006,0.010441385229920061
44,440,0.7523725337902947,0.6646395826296102,0.5296296296296302,0.0011680852311157417,0.0011680852311157417,0.0010978706312503338,0.0009800409061000185,0.006,0.010414081999581836
45,450,0.7491708036684867,0.6582262754155659,0.5111111111111117,0.0011655971811272352,0.0011655971811272352,0.0010925609495775913,0.0009627548777520228,0.006,0.010386510189584084
46,460,0.7459758933098094,0.6518827080472646,0.49259259259259325,0.001163109125470435,0.001163109125470435,0.001087283498870691,0.0009451527557179734,0.006,0.010358654505529535
47,470,0.7427878027297997,0.6456097566442132,0.47407407407407476,0.0011606210641210265,0.0011606210641210265,0.0010820394849187915,0.0009272165381653017,0.006,0.010330498151326147
48,480,0.7396065319440612,0.6394083491655586,0.45555555555555627,0.0011581329970545367,0.0011581329970545367,0.0010768301776096208,0.0009089264467784031,0.006,0.010302022618497098
49,490,0.7364320809682643,0.6332794706952252,0.4370370370370378,0.0011556449242463352,0.0011556449242463352,0.0010716569165654887,0.0008902606711852323,0.006,0.010273207436243392
50,500,0.7332644498181471,0.6272241694984637,0.4185185185185193,0.0011531568456716315,0.0011531568456716315,0.0010665211175507775,0.0008711950640729935,0.006,0.010244029872967034
51,510,0.7301036385095157,0.6212435639996249,0.4000000000000008,0.001150668761305475,0.001150668761305475,0.001061424279797664,0.0008517027748405629,0.006,0.010214464577249177
52,520,0.7269496470582444,0.6153388508680254,0.3814814814814823,0.001148180671122752,0.001148180671122752,0.0010563679944328196,0.0008317538059288227,0.006,0.010184483142607146
53,530,0.7238024754802765,0.6095113144471561,0.3629629629629638,0.0011456925750981852,0.0011456925750981852,0.0010513539542347813,0.0008113144708946393,0.006,0.010154053575325792
54,540,0.7206621237916246,0.6037623378263863,0.34444444444444533,0.0011432044732063323,0.0011432044732063323,0.0010463839650136082,0.0007903467262467881,0.006,0.01012313963767306
55,550,0.7175285920083709,0.5980934159397802,0.32592592592592684,0.0011407163654215842,0.0011407163654215842,0.0010414599589871436,0.0007688073391266388,0.006,0.01009170002895695
56,560,0.714401880146668,0.5925061711925154,0.30740740740740835,0.001138228251718164,0.001138228251718164,0.00103658401064021,0.0007466468386733781,0.006,0.010059687352749917
57,570,0.7112819882227388,0.5870023722748808,0.28888888888888986,0.0011357401320701245,0.0011357401320701245,0.0010317583557070038,0.000723808178115526,0.006,0.010027046797962779
58,580,0.7081689162528777,0.5815839570470335,0.27037037037037137,0.001133252006451348,0.001133252006451348,0.0010269854141321494,0.0007002250036330349,0.006,0.00999371443066788
59,590,0.7050626642534505,0.5762530606959063,0.2518518518518529,0.0011307638748355446,0.0011307638748355446,0.00102226781817223,0.0006758193787683592,0.006,0.009959614946611678
60,600,0.7019632322408952,0.5710120508288057,0.23333333333333436,0.0011282757371962498,0.0011282757371962498,0.001017608447244936,0.0006504987392184691,0.006,0.009924658660855904
61,610,0.698870620231722,0.5658635718582397,0.21481481481481585,0.0011257875935068234,0.0011257875935068234,0.0010130104717955414,0.0006241517337401097,0.006,0.009888737392549298
62,620,0.6957848282425144,0.5608106020880679,0.19629629629629733,0.0011232994437404477,0.0011232994437404477,0.0010084774094626218,0.0005966424085972702,0.006,0.009851718705540788
63,630,0.6927058562899295,0.5558565285755374,0.1777777777777788,0.0011208112878701272,0.0011208112878701272,0.0010040131984189416,0.0005678018498937096,0.006,0.009813437624052906
64,640,0.6896337043906983,0.5510052475622267,0.1592592592592603,0.0011183231258686858,0.0011183231258686858,0.0009996222953632485,0.0005374157773537038,0.006,0.009773684324454324
65,650,0.6865683725616261,0.5462613028933472,0.14074074074074178,0.0011158349577087647,0.0011158349577087647,0.0009953098100572643,0.0005052053985802732,0.006,0.009732185124055067
66,660,0.6835098608195933,0.5416300831136017,0.12222222222222326,0.001113346783362822,0.001113346783362822,0.0009910816961885426,0.00047079642284178383,0.006,0.00968857168575597
67,670,0.680458169181556,0.5371181136104217,0.10370370370370474,0.001110858602803131,0.001110858602803131,0.0009869450332767827,0.0004336658261456473,0.006,0.009642328065028693
68,680,0.677413297664546,0.5327335121924512,0.08518518518518622,0.001108370416001777,0.001108370416001777,0.00098290846479369,0.0003930430329780108,0.006,0.009592692329775256
69,690,0.6743752462856718,0.5284867483104398,0.0666666666666677,0.0011058822229306577,0.0011058822229306577,0.0009789829258810639,0.00034770620181199055,0.006,0.00953845357355437
70,700,0.6713440150621188,0.524392028780523,0.04814814814814919,0.00110339402356148,0.00110339402356148,0.0009751829672921911,0.0002954934513394294,0.006,0.00947746446575458
71,710,0.6683196040111502,0.5204701879822773,0.02962962962963067,0.0011009058178657592,0.0011009058178657592,0.0009715295079290053,0.0002318041345413293,0.006,0.009405145278201854
72,720,0.665302013150107,0.5167561952586034,0.011111111111112154,0.001098417605814816,0.001098417605814816,0.0009680569617029559,0.00014195046247343366,0.006,0.009306842635806022
