Iteration,Time (s),Head A (m),Head B (m),Head C (m),Flow Rate Siphon 1 (m^3/s),Flow Rate Siphon 2 (m^3/s),Flow Rate Siphon 3 (m^3/s),Flow Rate Siphon 4 (m^3/s),Total Flow Rate (m^3/s)
0,0,0.9,0.9,0.9,0.0012775541622608428,0.0,0.0,0.0,0.0012775541622608428
1,10,0.8982491073705107,0.9,0.9,0.001276310857181278,0.0,0.0,0.0,0.001276310857181278
2,20,0.8964999186951583,0.9,0.9,0.0012750675515117958,0.0,0.0,0.0,0.0012750675515117958
3,30,0.8947524339747515,0.9,0.9,0.0012738242452512455,0.0,0.0,0.0,0.0012738242452512455
4,40,0.8930066532101002,0.9,0.9,0.0012725809383984715,0.0,0.0,0.0,0.0012725809383984715
5,50,0.8912625764020161,0.9,0.9,0.0012713376309523153,0.0,0.0,0.0,0.0012713376309523153
6,60,0.8895202035513124,0.9,0.9,0.0012700943229116146,0.0012700943229116146,0.0,0.0,0.002540188645823229
7,70,0.8860388657662955,0.9,0.9,0.0012676064861628462,0.0012676064861628462,0.0,0.0,0.0025352129723256924
8,80,0.8825643471599177,0.9,0.9,0.0012651186446226111,0.0012651186446226111,0.0,0.0,0.0025302372892452222
9,90,0.8790966477453124,0.9,0.9,0.0012626307982720193,0.0012626307982720193,0.0,0.0,0.0025252615965440386
10,100,0.8756357675356649,0.9,0.9,0.0012601429470920668,0.0012601429470920668,0.0,0.0,0.0025202858941841336
11,110,0.8721817065442125,0.9,0.9,0.0012576550910636387,0.0012576550910636387,0.0,0.0,0.0025153101821272774
12,120,0.8687344647842448,0.9,0.9,0.0012551672301675046,0.0012551672301675046,0.0012775541622608428,0.0,0.003787888622595852
13,130,0.8652940422691043,0.8960569315979604,0.9,0.00125267936438432,0.00125267936438432,0.0012747524883117418,0.0,0.003780111217080382
14,140,0.8618604390121866,0.8921225103377389,0.9,0.0012501914936946252,0.0012501914936946252,0.0012719508075959994,0.0,0.0037723337949852496
15,150,0.8584336550269401,0.8881967362402204,0.9,0.0012477036180788437,0.0012477036180788437,0.0012691491200837247,0.0,0.003764556356241412
16,160,0.8550136903268676,0.8842796093263818,0.9,0.0012452157375172817,0.0012452157375172817,0.0012663474257448273,0.0,0.003756778900779391
17,170,0.8516005449255254,0.8803711296172929,0.9,0.0012427278519901263,0.0012427278519901263,0.0012635457245490167,0.0,0.0037490014285292694
18,180,0.8481942188365241,0.876471297134117,0.9,0.0012402399614774462,0.0012402399614774462,0.0012607440164658001,0.0012775541622608428,0.005018778101681535
19,190,0.8447947120735293,0.8725801118981115,0.8960569315979604,0.00123775206595919,0.00123775206595919,0.0012579423014644822,0.0012747524883117418,0.0050081989216946045
20,200,0.8414020246502611,0.8686975739306285,0.8921225103377389,0.0012352641654151842,0.0012352641654151842,0.0012551405795141594,0.0012719508075959994,0.004997619717940527
21,210,0.8380161565804953,0.8648236832531156,0.8881967362402204,0.001232776259825133,0.001232776259825133,0.0012523388505837226,0.0012691491200837247,0.004987040490317713
22,220,0.834637107878063,0.8609584398871165,0.8842796093263818,0.0012302883491686185,0.0012302883491686185,0.001249537114641852,0.0012663474257448273,0.004976461238723916
