Iteration,Time (s),Head A (m),Head B (m),Flow Rate Siphon 1 (m^3/s),Flow Rate Siphon 2 (m^3/s),Flow Rate Siphon 3 (m^3/s),Flow Rate Siphon 4 (m^3/s),Total Flow Rate (m^3/s)
0,0,0.9,0.9,0.0012775541622608428,0.0,0.0,0.0,0.0012775541622608428
1,10,0.8982491073705107,0.9,0.001276310857181278,0.0,0.0,0.0,0.001276310857181278
2,20,0.8964999186951583,0.9,0.0012750675515117958,0.0,0.0,0.0,0.0012750675515117958
3,30,0.8947524339747515,0.9,0.0012738242452512455,0.0,0.0,0.0,0.0012738242452512455
4,40,0.8930066532101002,0.9,0.0012725809383984715,0.0,0.0,0.0,0.0012725809383984715
5,50,0.8912625764020161,0.9,0.0012713376309523153,0.0,0.0,0.0,0.0012713376309523153
6,60,0.8895202035513124,0.9,0.0012700943229116146,0.0012700943229116146,0.0,0.0,0.002540188645823229
7,70,0.8860388657662955,0.9,0.0012676064861628462,0.0012676064861628462,0.0,0.0,0.0025352129723256924
8,80,0.8825643471599177,0.9,0.0012651186446226111,0.0012651186446226111,0.0,0.0,0.0025302372892452222
9,90,0.8790966477453124,0.9,0.0012626307982720193,0.0012626307982720193,0.0,0.0,0.0025252615965440386
10,100,0.8756357675356649,0.9,0.0012601429470920668,0.0012601429470920668,0.0,0.0,0.0025202858941841336
11,110,0.8721817065442125,0.9,0.0012576550910636387,0.0012576550910636387,0.0,0.0,0.0025153101821272774
12,120,0.8687344647842448,0.9,0.0012551672301675046,0.0012551672301675046,0.0012775541622608428,0.0,0.003787888622595852
13,130,0.8652940422691043,0.8982491073705107,0.00125267936438432,0.00125267936438432,0.001276310857181278,0.0,0.003781669585949918
14,140,0.8618604390121866,0.8964999186951583,0.0012501914936946252,0.0012501914936946252,0.0012750675515117958,0.0,0.0037754505389010463
15,150,0.8584336550269401,0.8947524339747515,0.0012477036180788437,0.0012477036180788437,0.0012738242452512455,0.0,0.003769231481408933
16,160,0.8550136903268676,0.8930066532101002,0.0012452157375172817,0.0012452157375172817,0.0012725809383984715,0.0,0.003763012413433035
17,170,0.8516005449255254,0.8912625764020161,0.0012427278519901263,0.0012427278519901263,0.0012713376309523153,0.0,0.0037567933349325682
18,180,0.8481942188365241,0.8895202035513124,0.0012402399614774462,0.0012402399614774462,0.0012700943229116146,0.0012700943229116146,0.005020668568778122
19,190,0.8447947120735293,0.8860388657662955,0.00123775206595919,0.00123775206595919,0.0012676064861628462,0.0012676064861628462,0.005010717104244073
20,200,0.8414020246502611,0.8825643471599177,0.0012352641654151842,0.0012352641654151842,0.0012651186446226111,0.0012651186446226111,0.005000765620075591
21,210,0.8380161565804953,0.8790966477453124,0.001232776259825133,0.001232776259825133,0.0012626307982720193,0.0012626307982720193,0.004990814116194305
22,220,0.834637107878063,0.8756357675356649,0.0012302883491686185,0.0012302883491686185,0.0012601429470920668,0.0012601429470920668,0.0049808625925213705
23,230,0.8312648785568515,0.8721817065442125,0.001227800433425097,0.001227800433425097,0.0012576550910636387,0.0012576550910636387,0.004970911048977471
24,240,0.8278994686308043,0.8687344647842448,0.0012253125125739007,0.0012253125125739007,0.0012551672301675046,0.0012551672301675046,0.004960959485482811
25,250,0.8245408781139216,0.8652940422691043,0.0012228245865942356,0.0012228245865942356,0.00125267936438432,0.00125267936438432,0.004951007901957112
26,260,0.8211891070202605,0.8618604390121866,0.00122033665546518,0.00122033665546518,0.0012501914936946252,0.0012501914936946252,0.00494105629831961
27,270,0.8178441553639355,0.8584336550269401,0.0012178487191656835,0.0012178487191656835,0.0012477036180788437,0.0012477036180788437,0.004931104674489054
