Iteration,Time (s),Head A (m),Head B (m),Head C (m),Flow Rate Siphon 1 (m^3/s),Flow Rate Siphon 2 (m^3/s),Flow Rate Siphon 3 (m^3/s),Flow Rate Siphon 4 (m^3/s),Total Flow Rate (m^3/s)
0,0,0.9,0.9,0.9,0.0012775541622608428,0.0012775541622608428,0.0,0.0,0.0025551083245216855
1,10,0.8964982147410214,0.9,0.9,0.0012750663397673124,0.0012750663397673124,0.0,0.0,0.002550132679534625
2,20,0.8930032486216082,0.9,0.9,0.0012725785125382992,0.0012725785125382992,0.0,0.0,0.0025451570250765985
3,30,0.8895151016547403,0.9,0.9,0.0012700906805552423,0.0012700906805552423,0.0,0.0,0.0025401813611104847
4,40,0.8860337738534487,0.9,0.9,0.0012676028437994722,0.0012676028437994722,0.0,0.0,0.0025352056875989444
5,50,0.8825592652308154,0.9,0.9,0.0012651150022522084,0.0012651150022522084,0.0,0.0,0.002530230004504417
6,60,0.8790915757999739,0.9,0.9,0.0012626271558945602,0.0012626271558945602,0.0,0.0,0.0025252543117891203
7,70,0.8756307055741095,0.9,0.9,0.001260139304707523,0.001260139304707523,0.0,0.0,0.002520278609415046
8,80,0.8721766545664597,0.9,0.9,0.0012576514486719824,0.0012576514486719824,0.0,0.0,0.002515302897343965
9,90,0.8687294227903141,0.9,0.9,0.0012551635877687073,0.0012551635877687073,0.0,0.0,0.0025103271755374146
10,100,0.8652890102590153,0.9,0.9,0.0012526757219783538,0.0012526757219783538,0.0,0.0,0.0025053514439567076
11,110,0.8618554169859588,0.9,0.9,0.0012501878512814612,0.0012501878512814612,0.0,0.0,0.0025003757025629223
12,120,0.8584286429845934,0.9,0.9,0.001247699975658453,0.001247699975658453,0.0012775541622608428,0.0012775541622608428,0.005050508275838592
13,130,0.8550086882684217,0.8960569315979604,0.8960569315979604,0.0012452120950896355,0.0012452120950896355,0.0012747524883117418,0.0012747524883117418,0.005039929166802754
14,140,0.8515955528510002,0.8921225103377389,0.8921225103377389,0.0012427242095551956,0.0012427242095551956,0.0012719508075959994,0.0012719508075959994,0.00502935003430239
15,150,0.8481892367459396,0.8881967362402204,0.8881967362402204,0.0012402363190352021,0.0012402363190352021,0.0012691491200837247,0.0012691491200837247,0.005018770878237854
16,160,0.8447897399669054,0.8842796093263818,0.8842796093263818,0.0012377484235096025,0.0012377484235096025,0.0012663474257448273,0.0012663474257448273,0.00500819169850886
17,170,0.8413970625276181,0.8803711296172929,0.8803711296172929,0.0012352605229582236,0.0012352605229582236,0.0012635457245490167,0.0012635457245490167,0.004997612495014481
18,180,0.8380112044418534,0.876471297134117,0.876471297134117,0.00123277261736077,0.00123277261736077,0.0012607440164658001,0.0012607440164658001,0.00498703326765314
19,190,0.8346321657234425,0.8725801118981115,0.8725801118981115,0.0012302847066968223,0.0012302847066968223,0.0012579423014644822,0.0012579423014644822,0.004976454016322609
20,200,0.8312599463862727,0.8686975739306285,0.8686975739306285,0.0012277967909458383,0.0012277967909458383,0.0012551405795141594,0.0012551405795141594,0.004965874740919996
21,210,0.8278945464442876,0.8648236832531156,0.8648236832531156,0.0012253088700871489,0.0012253088700871489,0.0012523388505837226,0.0012523388505837226,0.004955295441341743
22,220,0.8245359659114876,0.8609584398871165,0.8609584398871165,0.0012228209440999602,0.0012228209440999602,0.001249537114641852,0.001249537114641852,0.004944716117483624
23,230,0.8211842048019298,0.8571018438542712,0.8571018438542712,0.0012203330129633499,0.0012203330129633499,0.0012467353716570178,0.0012467353716570178,0.004934136769240736
24,240,0.8178392631297289,0.8532538951763174,0.8532538951763174,0.0012178450766562679,0.0012178450766562679,0.0012439336215974753,0.0012439336215974753,0.004923557396507487
25,250,0.8145011409090571,0.8494145938750907,0.8494145938750907,0.001215357135157535,0.001215357135157535,0.0012411318644312659,0.0012411318644312659,0.0049129779991776016
26,260,0.8111698381541449,0.845583939972525,0.845583939972525,0.001212869188445841,0.001212869188445841,0.0012383301001262133,0.0012383301001262133,0.004902398577144108
27,270,0.8078453548792809,0.841761933490654,0.841761933490654,0.0012103812364997442,0.0012103812364997442,0.0012355283286499227,0.0012355283286499227,0.004891819130299334
28,280,0.8045276910988127,0.837948574451611,0.837948574451611,0.0012078932792976705,0.0012078932792976705,0.0012327265499697767,0.0012327265499697767,0.004881239658534894
29,290,0.8012168468271471,0.8341438628776302,0.8341438628776302,0.0012054053168179125,0.0012054053168179125,0.0012299247640529364,0.0012299247640529364,0.004870660161741698
30,300,0.7979128220787501,0.830347798791047,0.830347798791047,0.001202917349038627,0.001202917349038627,0.0012271229708663376,0.0012271229708663376,0.004860080639809929
31,310,0.7946156168681479,0.8265603822142991,0.8265603822142991,0.0012004293759378356,0.0012004293759378356,0.0012243211703766874,0.0012243211703766874,0.004849501092629046
32,320,0.7913252312099266,0.8227816131699266,0.8227816131699266,0.001197941397493423,0.001197941397493423,0.001221519362550466,0.001221519362550466,0.004838921520087778
33,330,0.7880416651187332,0.8190114916805733,0.8190114916805733,0.0011954534136831352,0.0011954534136831352,0.0012187175473539192,0.0012187175473539192,0.004828341922074109
34,340,0.7847649186092756,0.8152500177689871,0.8152500177689871,0.0011929654244845788,0.0011929654244845788,0.0012159157247530622,0.0012159157247530622,0.0048177622984752816
35,350,0.781494991696323,0.8114971914580208,0.8114971914580208,0.0011904774298752202,0.0011904774298752202,0.0012131138947136725,0.0012131138947136725,0.0048071826491777854
36,360,0.7782318843947066,0.8077530127706329,0.8077530127706329,0.001187989429832384,0.001187989429832384,0.001210312057201291,0.001210312057201291,0.004796602974067351
37,370,0.7749755967193195,0.8040174817298882,0.8040174817298882,0.0011855014243332524,0.0011855014243332524,0.001207510212181217,0.001207510212181217,0.004786023273028939
38,380,0.7717261286851175,0.8002905983589585,0.8002905983589585,0.0011830134133548622,0.0011830134133548622,0.0012047083596185089,0.0012047083596185089,0.0047754435459467426
39,390,0.7684834803071192,0.7965723626811236,0.7965723626811236,0.0011805253968741063,0.0011805253968741063,0.00120190649947798,0.00120190649947798,0.0047648637927041725
40,400,0.7652476516004068,0.7928627747197718,0.7928627747197718,0.0011780373748677302,0.0011780373748677302,0.0011991046317241963,0.0011991046317241963,0.0047542840131838526
41,410,0.7620186425801259,0.7891618344984008,0.7891618344984008,0.001175549347312332,0.001175549347312332,0.001196302756321475,0.001196302756321475,0.004743704207267614
42,420,0.7587964532614864,0.7854695420406185,0.7854695420406185,0.0011730613141843608,0.0011730613141843608,0.0011935008732338816,0.0011935008732338816,0.004733124374836485
43,430,0.7555810836597628,0.7817858973701435,0.7817858973701435,0.0011705732754601148,0.0011705732754601148,0.0011906989824252282,0.0011906989824252282,0.004722544515770686
44,440,0.7523725337902947,0.7781109005108063,0.7781109005108063,0.0011680852311157417,0.0011680852311157417,0.0011878970838590695,0.0011878970838590695,0.004711964629949622
45,450,0.7491708036684867,0.77444455148655,0.77444455148655,0.0011655971811272352,0.0011655971811272352,0.0011850951774987025,0.0011850951774987025,0.004701384717251875
46,460,0.7459758933098094,0.7707868503214306,0.7707868503214306,0.001163109125470435,0.001163109125470435,0.0011822932633071624,0.0011822932633071624,0.004690804777555195
47,470,0.7427878027297997,0.7671377970396184,0.7671377970396184,0.0011606210641210265,0.0011606210641210265,0.0011794913412472208,0.0011794913412472208,0.004680224810736495
48,480,0.7396065319440612,0.7634973916653985,0.7634973916653985,0.0011581329970545367,0.0011581329970545367,0.0011766894112813834,0.0011766894112813834,0.00466964481667184
49,490,0.7364320809682643,0.759865634223172,0.759865634223172,0.0011556449242463352,0.0011556449242463352,0.0011738874733718868,0.0011738874733718868,0.0046590647952364445
50,500,0.7332644498181471,0.7562425247374563,0.7562425247374563,0.0011531568456716315,0.0011531568456716315,0.0011710855274806962,0.0011710855274806962,0.004648484746304655
51,510,0.7301036385095157,0.7526280632328863,0.7526280632328863,0.001150668761305475,0.001150668761305475,0.001168283573569503,0.001168283573569503,0.004637904669749956
52,520,0.7269496470582444,0.749022249734215,0.749022249734215,0.001148180671122752,0.001148180671122752,0.0011654816115997228,0.0011654816115997228,0.004627324565444949
53,530,0.7238024754802765,0.7454250842663147,0.7454250842663147,0.0011456925750981852,0.0011456925750981852,0.0011626796415324906,0.0011626796415324906,0.004616744433261351
54,540,0.7206621237916246,0.7418365668541774,0.7418365668541774,0.0011432044732063323,0.0011432044732063323,0.0011598776633286604,0.0011598776633286604,0.004606164273069985
55,550,0.7175285920083709,0.7382566975229161,0.7382566975229161,0.0011407163654215842,0.0011407163654215842,0.0011570756769488006,0.0011570756769488006,0.00459558408474077
56,560,0.714401880146668,0.7346854762977655,0.7346854762977655,0.001138228251718164,0.001138228251718164,0.0011542736823531936,0.0011542736823531936,0.0045850038681427155
57,570,0.7112819882227388,0.7311229032040828,0.7311229032040828,0.0011357401320701245,0.0011357401320701245,0.0011514716795018305,0.0011514716795018305,0.00457442362314391
58,580,0.7081689162528777,0.7275689782673488,0.7275689782673488,0.001133252006451348,0.001133252006451348,0.0011486696683544095,0.0011486696683544095,0.004563843349611516
59,590,0.7050626642534505,0.7240237015131685,0.7240237015131685,0.0011307638748355446,0.0011307638748355446,0.001145867648870333,0.001145867648870333,0.004553263047411755
60,600,0.7019632322408952,0.7204870729672724,0.7204870729672724,0.0011282757371962498,0.0011282757371962498,0.001143065621008704,0.001143065621008704,0.004542682716409908
61,610,0.698870620231722,0.7169590926555172,0.7169590926555172,0.0011257875935068234,0.0011257875935068234,0.0011402635847283249,0.0011402635847283249,0.0045321023564702965
62,620,0.6957848282425144,0.7134397606038865,0.7134397606038865,0.0011232994437404477,0.0011232994437404477,0.001137461539987692,0.001137461539987692,0.004521521967456279
63,630,0.6927058562899295,0.7099290768384924,0.7099290768384924,0.0011208112878701272,0.0011208112878701272,0.0011346594867449947,0.0011346594867449947,0.004510941549230244
64,640,0.6896337043906983,0.7064270413855758,0.7064270413855758,0.0011183231258686858,0.0011183231258686858,0.001131857424958111,0.001131857424958111,0.004500361101653594
65,650,0.6865683725616261,0.7029336542715076,0.7029336542715076,0.0011158349577087647,0.0011158349577087647,0.0011290553545846055,0.0011290553545846055,0.0044897806245867405
66,660,0.6835098608195933,0.6994489155227896,0.6994489155227896,0.001113346783362822,0.001113346783362822,0.0011262532755817252,0.0011262532755817252,0.004479200117889094
67,670,0.680458169181556,0.695972825166056,0.695972825166056,0.001110858602803131,0.001110858602803131,0.0011234511879063974,0.0011234511879063974,0.004468619581419056
68,680,0.677413297664546,0.6925053832280732,0.6925053832280732,0.001108370416001777,0.001108370416001777,0.0011206490915152256,0.0011206490915152256,0.004458039015034006
69,690,0.6743752462856718,0.6890465897357423,0.6890465897357423,0.0011058822229306577,0.0011058822229306577,0.0011178469863644862,0.0011178469863644862,0.004447458418590288
70,700,0.6713440150621188,0.6855964447160988,0.6855964447160988,0.00110339402356148,0.00110339402356148,0.0011150448724101271,0.0011150448724101271,0.004436877791943215
71,710,0.6683196040111502,0.6821549481963145,0.6821549481963145,0.0011009058178657592,0.0011009058178657592,0.0011122427496077611,0.0011122427496077611,0.0044262971349470406
72,720,0.665302013150107,0.6787221002036979,0.6787221002036979,0.001098417605814816,0.001098417605814816,0.0011094406179126654,0.0011094406179126654,0.004415716447454963
73,730,0.6622912424964088,0.6752979007656958,0.6752979007656958,0.0010959293873797767,0.0010959293873797767,0.0011066384772797772,0.0011066384772797772,0.004405135729319108
74,740,0.6592872920675545,0.671882349909894,0.671882349909894,0.0010934411625315695,0.0010934411625315695,0.0011038363276636896,0.0011038363276636896,0.004394554980390518
75,750,0.6562901618811228,0.6684754476640185,0.6684754476640185,0.0010909529312409234,0.0010909529312409234,0.0011010341690186486,0.0011010341690186486,0.004383974200519144
76,760,0.6532998519547722,0.6650771940559362,0.6650771940559362,0.0010884646934783678,0.0010884646934783678,0.0010982320012985502,0.0010982320012985502,0.004373393389553836
77,770,0.6503163623062426,0.6616875891136568,0.6616875891136568,0.0010859764492142272,0.0010859764492142272,0.0010954298244569359,0.0010954298244569359,0.004362812547342327
78,780,0.6473396929533546,0.6583066328653329,0.6583066328653329,0.0010834881984186232,0.0010834881984186232,0.0010926276384469894,0.0010926276384469894,0.004352231673731225
79,790,0.6443698439140111,0.6549343253392619,0.6549343253392619,0.00108099994106147,0.00108099994106147,0.0010898254432215326,0.0010898254432215326,0.004341650768566005
80,800,0.6414068152061974,0.6515706665638867,0.6515706665638867,0.001078511677112474,0.001078511677112474,0.0010870232387330226,0.0010870232387330226,0.004331069831690993
81,810,0.6384506068479816,0.6482156565677971,0.6482156565677971,0.0010760234065411306,0.0010760234065411306,0.0010842210249335472,0.0010842210249335472,0.004320488862949355
82,820,0.6355012188575159,0.6448692953797306,0.6448692953797306,0.0010735351293167232,0.0010735351293167232,0.0010814188017748217,0.0010814188017748217,0.00430990786218309
83,830,0.6325586512530361,0.6415315830285737,0.6415315830285737,0.0010710468454083208,0.0010710468454083208,0.0010786165692081844,0.0010786165692081844,0.00429932682923301
84,840,0.6296229040528633,0.6382025195433633,0.6382025195433633,0.0010685585547847763,0.0010685585547847763,0.0010758143271845926,0.0010758143271845926,0.004288745763938738
85,850,0.6266939772754035,0.6348821049532873,0.6348821049532873,0.001066070257414724,0.001066070257414724,0.0010730120756546196,0.0010730120756546196,0.004278164666138687
86,860,0.6237718709391493,0.6315703392876867,0.6315703392876867,0.0010635819532665784,0.0010635819532665784,0.0010702098145684497,0.0010702098145684497,0.004267583535670056
