Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.114125,19.75506318,19.75506318,80.24493682
0.038,0.2018,34.93162541,54.68668859,45.31331141
0.025,0.1439,24.90912238,79.59581097,20.40418903
pan,0.117875,20.40418903,100,0
TOTAL,0.5777,,,
