Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.147,17.60689903,17.60689903,82.39310097
0.038,0.3036,36.36363636,53.97053539,46.02946461
0.025,0.1829,21.90681519,75.87735058,24.12264942
pan,0.2014,24.12264942,100,0
TOTAL,0.8349,,,
