Sieve Size (mm),T0C,T0D,T25A,T25B,T25C,T25D,T4A,T4B,T4C,T4D,T5A,T5B,T5C,T5D,T6A,T6B,T6C,T6D,T7A,T7C,T7D,T8A,T8B
0.063,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.053,87.66670466,87.70933014,86.73460575,80.24493682,83.15091211,83.24104235,80.99534054,76.65574964,50.01542416,82.39310097,81.32928548,80.5364627,80.91754004,87.15615305,80.78710877,72.465622,85.42153048,78.96592244,87.75769916,87.07427165,85.81830217,86.53693407,82.87887486
0.038,51.04297276,60.13755981,65.28197599,45.31331141,51.50912106,36.95439739,42.83731536,42.04876274,25.86118252,46.02946461,37.52575084,37.83977967,37.71010481,60.91003102,44.96436319,34.79373201,54.77302205,41.55895025,50.07635531,54.96512105,55.70081086,50.675139,44.10160735
0.025,23.37854782,36.3187799,53.32930305,20.40418903,29.08789386,12.36156352,14.5831268,21.88864629,4.627249357,24.12264942,4.727312154,5.687941564,9.195175005,33.85729059,15.12240471,5.46850016,25.94033722,9.576968273,12.3568338,17.00861715,17.14380275,19.06274821,10.8065442
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
