Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.1193,17.12112514,17.12112514,82.87887486
0.038,0.2702,38.77726751,55.89839265,44.10160735
0.025,0.232,33.29506315,89.1934558,10.8065442
pan,0.0753,10.8065442,100,0
TOTAL,0.6968,,,
