Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.0962,12.24230084,12.24230084,87.75769916
0.038,0.2961,37.68134385,49.92364469,50.07635531
0.025,0.2964,37.71952151,87.6431662,12.3568338
pan,0.0971,12.3568338,100,0
TOTAL,0.7858,,,
