Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.1722,18.67071452,18.67071452,81.32928548
0.038,0.404,43.80353464,62.47424916,37.52575084
0.025,0.3025,32.79843869,95.27268785,4.727312154
pan,0.0436,4.727312154,100,0
TOTAL,0.9223,,,
