Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.1029,16.75895765,16.75895765,83.24104235
0.038,0.2842,46.28664495,63.04560261,36.95439739
0.025,0.151,24.59283388,87.63843648,12.36156352
pan,0.0759,12.36156352,100,0
TOTAL,0.614,,,
