Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
0.063,0,0,0,100
0.053,0.0857,14.18169783,14.18169783,85.81830217
0.038,0.182,30.11749131,44.29918914,55.70081086
0.025,0.233,38.55700811,82.85619725,17.14380275
pan,0.1036,17.14380275,100,0
TOTAL,0.6043,,,
