SM23T01,SM23T02,SM23T03,SM23T04,SM23T05,SM23T06,SM23T07,SM23T08,SM23T09,SM23T10,SM23T11,SM23T12,SM23T13,SM23T14,SM23T15,SM23T16,SM23T17,SM23T18,SM23T19,SM23T20,SM23T21,SM23T22,SM23T23,SM23T24,SM23T25,SM23T26,SM23T27,SM23T28,SM23T29,SM23T30,SM23T31,SM23T32,SM23T33,SM23T34,SM23T35,SM23T36,SM23T37,SM23T38,SM23T39,SM23T40,SM23T41,SM23T42,SM23T43,SM23T44,SM23T45,SM23T46,SM23T47,SM23T48,SM23T49,SM23T50,SM23T51,SM23T52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.823,0.794,0.785,0.781,0.838,0.784,0.784,0.768,0.759,0.778,0.779,0.814,0.821,0.822,0.81,0.803,0.875,0.793,0.766,0.825,0.824,0.82,0.85,0.758,0.761,0.757,0.768,0.769,0.767,0.757,0.758,0.757,0.749,0.766,0.77,0.791,0.796,0.792,0.796,0.798,0.8,0.759,0.766,0.764,0.757,0.763,0.796,0.797,0.797,0.798,0.796,0.796
147.942,177.913,154.634,158.489,119.972,154.755,97.841,163.901,149.956,103.277,141.37,83.828,103.116,113.496,120.037,125.033,97.375,79.865,169.683,92.781,130.927,125.825,105.547,106.286,101.745,105.559,81.603,80.238,84.508,105.556,109.577,105.421,154.334,140.896,138.324,86.352,61.701,79.023,63.523,65.76,60.888,153.896,128.42,133.496,160.924,133.473,128.791,111.494,113.886,99.042,104.912,106.186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.049,43.821,30.388,31.187,35.615,31.206,17.179,33.127,24.779,24.281,28.157,18.002,24.91,29.89,29.641,27.654,44.05,14.234,34.052,38.551,49.398,41.738,41.583,16.295,15.749,16.143,12.415,11.867,12.693,16.043,17.79,15.663,25.826,25.223,25.493,29.049,10.538,21.486,11.041,13.509,10.652,36.053,23.276,24.367,36.329,23.667,44.299,31.111,33.579,22.502,24.921,24.383
78.225,87.267,45.538,45.021,55.404,52.074,51.44,72.207,38.682,142.709,68.115,56.331,31.276,59.59,71.499,58.258,95.263,26.271,88.15,173.292,148.34,123.756,112.335,22.691,21.331,22.844,17.57,15.367,17.575,31.865,42.929,21.407,43.026,38.421,35.633,173.145,15.595,138.625,17.29,80.709,15.265,124.771,40.197,44.558,121.916,37.413,161.931,111.126,133.198,42.094,55.566,47.707
3.385,3.257,2.697,2.656,2.827,2.628,1.893,2.57,2.26,1.881,2.344,1.862,2.169,2.344,2.329,2.349,3.03,1.643,2.649,2.044,2.727,2.602,2.602,1.84,1.814,1.828,1.561,1.541,1.586,1.871,1.944,1.87,2.301,2.299,2.335,1.707,1.42,1.617,1.437,1.482,1.43,2.381,2.109,2.137,2.423,2.13,2.258,2.049,2.072,1.911,1.968,1.981
7.593,7.101,5.206,5.27,6.037,5.21,3.193,5.249,4.149,3.15,4.358,3.197,4.107,4.616,4.55,4.416,6.748,2.587,5.289,3.587,5.553,5.178,5.487,3.068,3.029,3.06,2.443,2.402,2.489,3.132,3.294,3.137,4.273,4.276,4.388,2.742,2.146,2.548,2.185,2.276,2.162,4.505,3.746,3.866,4.659,3.828,4.131,3.537,3.611,3.21,3.368,3.382
13.801,13.047,8.995,9.319,11.199,9.212,5.07,9.476,7.133,4.985,7.579,5.199,7.35,8.417,8.207,7.668,12.931,3.912,9.367,5.898,10.242,9.374,10.539,4.877,4.808,4.877,3.653,3.57,3.744,4.961,5.269,4.961,7.406,7.41,7.616,4.239,3.086,3.874,3.162,3.318,3.106,7.903,6.374,6.623,8.25,6.544,7.294,5.988,6.151,5.261,5.618,5.637
