SP25C01,SP25D01,SPST5C01,SPST5C02,SPT0C01,SPT0C02,SPT0D01,SPT0D02,SPT25B01,SPT4A01,SPT4B01,SPT4C01,SPT4D01,SPT4D02,SPT5B01,SPT5B02,SPT5D01,SPT5D02,SPT6A01,SPT6A02,SPT6A03,SPT6A04,SPT6A05,SPT6A06,SPT6D01,SPT6D02,SPT7A01,SPT7A02,SPT7A03,SPT7A04,SPT7A05,SPT7A06,SPT7A07,SPT7A08,SPT7A09,SPT8A01,SPT8A02,SPT8A03,SPT8A04
57.263,45.368,56.511,54.707,52.821,52.353,49.135,46.673,62.453,52.043,74.652,51.557,56.676,59.831,42.664,46.407,43.88,39.33,46.688,41.27,49.404,46.407,45.675,45.412,43.568,40.489,44.161,49.96,36.22,43.91,44.796,54.338,49.59,51.889,54.273,48.809,46.092,44.456,48.291
105.254,85.791,115.064,112.738,104.05,98.498,102.826,90.47,123.779,102.57,161.859,105.957,112.9,118.192,76.8,85.272,83.89,76.407,83.691,70.214,89.813,78.153,81.251,80.651,78.061,71.215,87.63,96.395,73.662,75.085,77.201,116.036,100.542,105.286,107.848,96.121,87.266,81.978,93.585
130.421,107.459,148.357,147.269,131.955,122.222,133.474,112.695,154.436,132.909,204.229,134.704,146.41,152.683,93.395,106.176,103.633,95.281,103.41,83.698,111.454,94.386,99.113,97.929,95.102,86.06,111.105,121.033,93.031,89.838,93.298,150.78,126.929,136.652,140.533,120.874,108.555,101.39,118.04
188.39,160.721,224.131,227.553,196.987,176.491,206.572,163.977,223.2,209.808,287.033,202.483,226.76,231.309,129.984,156.647,148.596,139.117,151.569,113.681,163.488,133.271,139.891,136.545,134.008,119.26,165.655,176.914,138.276,121.068,129.391,230.431,185.84,208.541,217.83,178.58,159.038,147.58,174.15
255.189,224.333,295.308,301.957,264.924,233.302,279.796,220.218,295.53,291.682,356.288,278.614,302.384,303.858,168.825,213.07,197.674,189.236,202.102,146.357,222.018,178.314,185.67,178.808,176.823,156.933,223.865,234.51,189.101,154.771,169.086,307.271,251.09,278.267,291.271,239.175,214.734,198.057,232.052
327.204,302.332,361.624,367.742,334.095,296.667,350.191,284.881,361.177,359.969,419.944,349.172,369.703,369.154,217.062,279.558,262.762,249.983,265.77,189.177,288.58,240.602,244.201,233.615,232.974,206.223,288.55,298.467,254.292,194.595,222.296,371.741,322.62,345.366,359.129,306.802,279.728,257.282,295.904
410.163,394.175,437.744,441.709,419.938,383.066,431.011,379.02,433.555,432.197,481.525,425.901,442.986,442.033,298.56,377.484,356.95,345.418,369.285,272.307,381.603,345.469,341.328,330.204,331.803,307.54,380.251,385.318,351.3,266.215,319.681,441.316,407.418,424.294,435.93,395.912,377.44,345.828,384.094
5.131,5.644,6.858,7.123,6.215,5.638,7.112,6.115,6.896,6.045,8.149,7.046,6.032,5.892,5.137,5.218,6.083,6.276,4.912,4.45,4.87,4.111,4.616,4.657,4.775,4.508,6.02,5.642,7.145,4.211,4.314,7.778,6.752,6.625,5.923,6.564,5.871,5.21,5.649
0.079,0.096,0.081,0.084,0.084,0.085,0.09,0.095,0.081,0.087,0.074,0.091,0.078,0.075,0.102,0.095,0.101,0.108,0.092,0.101,0.083,0.088,0.088,0.089,0.093,0.098,0.095,0.086,0.119,0.093,0.092,0.088,0.092,0.087,0.08,0.093,0.095,0.096,0.089
98.783,104.663,62.076,61.674,55.34,57.246,76.51,86.191,89.051,132.34,77.622,100.25,42.9,89.486,57.536,72.26,95.799,85.171,118.867,129.192,75.263,93.152,162.992,152.467,143.636,120.558,76.536,91.475,109.206,80.505,105.284,109.295,105.567,56.698,50.494,88.816,81.876,57.286,53.35
0.343,0.437,0.333,0.344,0.362,0.374,0.376,0.413,0.3,0.371,0.249,0.359,0.338,0.32,0.484,0.437,0.445,0.488,0.444,0.534,0.412,0.474,0.456,0.459,0.476,0.524,0.432,0.388,0.505,0.495,0.481,0.339,0.378,0.366,0.356,0.39,0.428,0.454,0.402
0.19,0.19,0.117,0.115,0.106,0.106,0.147,0.161,0.185,0.273,0.194,0.208,0.079,0.172,0.097,0.136,0.181,0.148,0.255,0.231,0.132,0.167,0.309,0.295,0.263,0.216,0.14,0.173,0.202,0.134,0.184,0.227,0.208,0.108,0.089,0.169,0.151,0.101,0.093
0.189,0.19,0.118,0.116,0.104,0.106,0.147,0.162,0.187,0.272,0.192,0.208,0.079,0.171,0.098,0.135,0.18,0.148,0.24,0.225,0.13,0.161,0.298,0.284,0.257,0.21,0.14,0.171,0.207,0.132,0.181,0.229,0.209,0.108,0.089,0.169,0.15,0.1,0.094
0.187,0.191,0.119,0.118,0.103,0.105,0.146,0.162,0.191,0.268,0.187,0.207,0.078,0.169,0.098,0.133,0.179,0.148,0.221,0.217,0.125,0.154,0.283,0.267,0.248,0.201,0.139,0.169,0.214,0.129,0.176,0.232,0.211,0.109,0.09,0.169,0.148,0.099,0.094
0.186,0.193,0.121,0.12,0.101,0.105,0.146,0.164,0.196,0.265,0.181,0.207,0.077,0.167,0.1,0.131,0.178,0.149,0.199,0.208,0.121,0.145,0.264,0.248,0.237,0.19,0.14,0.167,0.225,0.125,0.171,0.236,0.214,0.11,0.09,0.17,0.146,0.099,0.096
0.189,0.198,0.126,0.125,0.102,0.107,0.15,0.168,0.206,0.266,0.177,0.212,0.079,0.168,0.104,0.133,0.18,0.153,0.184,0.202,0.119,0.14,0.25,0.233,0.229,0.182,0.143,0.168,0.24,0.123,0.168,0.245,0.221,0.114,0.093,0.174,0.147,0.101,0.1
0.206,0.218,0.139,0.139,0.112,0.117,0.164,0.184,0.229,0.287,0.189,0.233,0.088,0.183,0.116,0.146,0.197,0.169,0.193,0.214,0.128,0.149,0.258,0.241,0.24,0.19,0.157,0.182,0.27,0.132,0.179,0.271,0.243,0.127,0.103,0.192,0.161,0.111,0.111
0.258,0.273,0.174,0.174,0.142,0.147,0.207,0.23,0.287,0.357,0.242,0.294,0.113,0.23,0.146,0.185,0.248,0.214,0.253,0.266,0.16,0.187,0.318,0.299,0.296,0.234,0.196,0.228,0.334,0.163,0.222,0.339,0.303,0.159,0.13,0.241,0.203,0.14,0.139
0.366,0.386,0.247,0.248,0.204,0.209,0.295,0.329,0.41,0.513,0.373,0.423,0.16,0.329,0.206,0.265,0.357,0.309,0.384,0.378,0.228,0.266,0.452,0.427,0.42,0.334,0.278,0.324,0.467,0.229,0.314,0.483,0.431,0.226,0.183,0.346,0.293,0.199,0.195
0.513,0.542,0.35,0.353,0.288,0.294,0.418,0.467,0.589,0.734,0.57,0.602,0.223,0.463,0.288,0.369,0.509,0.442,0.547,0.524,0.317,0.36,0.619,0.586,0.581,0.463,0.389,0.455,0.663,0.318,0.433,0.693,0.616,0.317,0.255,0.494,0.415,0.277,0.274
0.621,0.654,0.427,0.431,0.354,0.36,0.509,0.565,0.724,0.896,0.725,0.741,0.272,0.564,0.347,0.445,0.625,0.547,0.666,0.624,0.382,0.422,0.728,0.692,0.688,0.542,0.47,0.55,0.806,0.379,0.51,0.852,0.752,0.384,0.307,0.607,0.509,0.335,0.332
0.713,0.751,0.495,0.502,0.415,0.419,0.592,0.654,0.843,1.034,0.885,0.865,0.316,0.658,0.396,0.512,0.727,0.644,0.77,0.708,0.438,0.472,0.819,0.787,0.775,0.61,0.537,0.634,0.922,0.43,0.572,0.989,0.868,0.444,0.354,0.711,0.598,0.386,0.381
